sex,status,dept
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
Male,Admitted,A
