hostBird,eggLen
meadowPipit,19.65
meadowPipit,20.05
meadowPipit,20.65
meadowPipit,20.85
meadowPipit,21.65
meadowPipit,21.65
meadowPipit,21.65
meadowPipit,21.85
meadowPipit,21.85
meadowPipit,21.85
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.05
meadowPipit,22.25
meadowPipit,22.25
meadowPipit,22.25
meadowPipit,22.25
meadowPipit,22.25
meadowPipit,22.25
meadowPipit,22.25
meadowPipit,22.25
meadowPipit,22.45
meadowPipit,22.45
meadowPipit,22.45
meadowPipit,22.65
meadowPipit,22.65
meadowPipit,22.85
meadowPipit,22.85
meadowPipit,22.85
meadowPipit,22.85
meadowPipit,23.05
meadowPipit,23.25
meadowPipit,23.25
meadowPipit,23.45
meadowPipit,23.65
meadowPipit,23.85
meadowPipit,24.25
meadowPipit,24.45
treePipit,21.05
treePipit,21.85
treePipit,22.05
treePipit,22.45
treePipit,22.65
treePipit,23.25
treePipit,23.25
treePipit,23.25
treePipit,23.45
treePipit,23.45
treePipit,23.65
treePipit,23.85
treePipit,24.05
treePipit,24.05
treePipit,24.05
hedgeSparrow,20.85
hedgeSparrow,21.65
hedgeSparrow,22.05
hedgeSparrow,22.85
hedgeSparrow,23.05
hedgeSparrow,23.05
hedgeSparrow,23.05
hedgeSparrow,23.05
hedgeSparrow,23.45
hedgeSparrow,23.85
hedgeSparrow,23.85
hedgeSparrow,23.85
hedgeSparrow,24.05
hedgeSparrow,25.05
robin,21.05
robin,21.85
robin,22.05
robin,22.05
robin,22.05
robin,22.25
robin,22.45
robin,22.45
robin,22.65
robin,23.05
robin,23.05
robin,23.05
robin,23.05
robin,23.05
robin,23.25
robin,23.85
piedWagtail,21.05
piedWagtail,21.85
piedWagtail,21.85
piedWagtail,21.85
piedWagtail,22.05
piedWagtail,22.45
piedWagtail,22.65
piedWagtail,23.05
piedWagtail,23.05
piedWagtail,23.25
piedWagtail,23.45
piedWagtail,24.05
piedWagtail,24.05
piedWagtail,24.05
piedWagtail,24.85
wren,19.85
wren,20.05
wren,20.25
wren,20.85
wren,20.85
wren,20.85
wren,21.05
wren,21.05
wren,21.05
wren,21.25
wren,21.45
wren,22.05
wren,22.05
wren,22.05
wren,22.25
