"","presz","postsz","inc","year","lf"
"1",113.6,127.7,14.1,NA,0
"2",118.1,133.2,15.1,NA,0
"3",119.9,135.3,15.4,NA,0
"4",126.2,143.3,17.1,NA,0
"5",126.7,139.3,12.6,NA,0
"6",127.3,140.2,12.9,NA,0
"7",128.2,143.8,15.6,NA,0
"8",129.5,144.6,15.1,NA,0
"9",130.5,147.6,17.1,NA,0
"10",131.6,144.8,13.2,NA,0
"11",131.7,146.8,15.1,NA,0
"12",132.2,145.9,13.7,NA,0
"13",132.4,151,18.6,NA,0
"14",132.8,148.7,15.9,NA,0
"15",132.8,147.8,15,NA,0
"16",133.6,148.3,14.7,NA,0
"17",133.8,149.2,15.4,NA,0
"18",134.1,149,14.9,NA,0
"19",134.3,149.2,14.9,NA,0
"20",134.6,148.7,14.1,NA,0
"21",135.2,149,13.8,NA,0
"22",135.2,151.1,15.9,NA,0
"23",135.5,150.4,14.9,NA,0
"24",135.6,149.4,13.8,NA,0
"25",136.1,150,13.9,NA,0
"26",136.2,151,14.8,NA,0
"27",136.3,150,13.7,NA,0
"28",136.4,150.7,14.3,NA,0
"29",136.7,147.6,10.9,NA,0
"30",136.8,151.9,15.1,NA,0
"31",136.9,151.5,14.6,NA,0
"32",137.3,151.1,13.8,NA,0
"33",137.4,151,13.6,NA,0
"34",137.6,151.8,14.2,NA,0
"35",137.6,150.9,13.3,NA,0
"36",137.6,150,12.4,NA,0
"37",138,154,16,NA,0
"38",138.2,152.6,14.4,NA,0
"39",138.3,152.6,14.3,NA,0
"40",138.3,152.6,14.3,NA,0
"41",138.3,151.1,12.8,NA,0
"42",138.5,151.4,12.9,NA,0
"43",138.9,155,16.1,NA,0
"44",139.2,151.8,12.6,NA,0
"45",139.5,154.2,14.7,NA,0
"46",139.5,154,14.5,NA,0
"47",140,151.9,11.9,NA,0
"48",140.1,155.5,15.4,NA,0
"49",140.2,155.9,15.7,NA,0
"50",140.3,153.1,12.8,NA,0
"51",140.3,155.4,15.1,NA,0
"52",140.6,154.2,13.6,NA,0
"53",140.7,153,12.3,NA,0
"54",141,151.7,10.7,NA,0
"55",141.3,153.4,12.1,NA,0
"56",141.3,154,12.7,NA,0
"57",141.3,155.6,14.3,NA,0
"58",141.3,156.2,14.9,NA,0
"59",141.5,155.6,14.1,NA,0
"60",142,154.3,12.3,NA,0
"61",142,158.2,16.2,NA,0
"62",142.3,155.6,13.3,NA,0
"63",142.3,156.5,14.2,NA,0
"64",142.4,157.3,14.9,NA,0
"65",142.7,155.8,13.1,NA,0
"66",142.9,156.6,13.7,NA,0
"67",143,155.9,12.9,NA,0
"68",143.1,156.6,13.5,NA,0
"69",143.5,155,11.5,NA,0
"70",143.6,158.2,14.6,NA,0
"71",143.7,158.7,15,NA,0
"72",143.7,155.9,12.2,NA,0
"73",143.7,159.1,15.4,NA,0
"74",143.9,155.6,11.7,NA,0
"75",144,158.6,14.6,NA,0
"76",144.5,154.3,9.8,NA,0
"77",144.6,161.6,17,NA,0
"78",144.6,157,12.4,NA,0
"79",144.7,154.6,9.9,NA,0
"80",145,157.9,12.9,NA,0
"81",145.2,160,14.8,NA,0
"82",145.4,159.9,14.5,NA,0
"83",145.4,157.1,11.7,NA,0
"84",145.7,159.9,14.2,NA,0
"85",145.7,157,11.3,NA,0
"86",145.7,159.6,13.9,NA,0
"87",145.9,160.6,14.7,NA,0
"88",146,155.6,9.6,NA,0
"89",147.2,159.6,12.4,NA,0
"90",147.4,162.7,15.3,NA,0
"91",147.6,158.3,10.7,NA,0
"92",148,160.1,12.1,NA,0
"93",148.1,163.7,15.6,NA,0
"94",148.1,163.2,15.1,NA,0
"95",151,164.7,13.7,NA,0
"96",151.2,163.5,12.3,NA,0
"97",153.9,166.5,12.6,NA,0
"98",115.6,130.8,15.2,NA,0
"99",123,141.6,18.6,NA,0
"100",124.4,142.5,18.1,NA,0
"101",136.1,147.5,11.4,NA,0
"102",136.9,151.4,14.5,NA,0
"103",138.6,154.2,15.6,NA,0
"104",139.7,152.3,12.6,NA,0
"105",139.8,159.5,19.7,NA,0
"106",141.3,156.6,15.3,NA,0
"107",143.7,154.6,10.9,NA,0
"108",144.2,157.8,13.6,NA,0
"109",146.4,161.7,15.3,NA,0
"110",147.8,160.6,12.8,NA,0
"111",147.9,156,8.1,NA,0
"112",142.3,154.8,12.5,81,1
"113",125.1,142.5,17.4,81,1
"114",140.8,154.9,14.1,81,1
"115",122.4,136.5,14.1,81,1
"116",133.2,146.6,13.4,81,1
"117",138.9,151.5,12.6,81,1
"118",143.1,154.4,11.3,81,1
"119",139.7,152.2,12.5,81,1
"120",140.4,155.3,14.9,81,1
"121",116.6,133.3,16.7,81,1
"122",137.4,149.7,12.3,81,1
"123",143,157.5,14.5,81,1
"124",143.2,155.3,12.1,81,1
"125",140.8,152.9,12.1,81,1
"126",140.7,154.3,13.6,81,1
"127",130.8,143.1,12.3,81,1
"128",131.8,145.2,13.4,81,1
"129",120.6,135.4,14.8,81,1
"130",140.1,153.5,13.4,81,1
"131",133,148.9,15.9,81,1
"132",122.9,139.1,16.2,81,1
"133",143,155.4,12.4,81,1
"134",139.5,154.7,15.2,81,1
"135",137.5,149.5,12,81,1
"136",136.7,151.5,14.8,81,1
"137",145.9,160.1,14.2,81,1
"138",143.1,153.2,10.1,81,1
"139",128.5,142,13.5,81,1
"140",141.1,153.8,12.7,81,1
"141",150.9,164.9,14,81,1
"142",144.6,155.7,11.1,81,1
"143",143.3,155.8,12.5,81,1
"144",146.5,158.9,12.4,81,1
"145",143.5,155.2,11.7,81,1
"146",150.2,164.1,13.9,81,1
"147",148.3,161.3,13,81,1
"148",143.1,156.7,13.6,81,1
"149",135.7,148.2,12.5,81,1
"150",143.4,156.5,13.1,81,1
"151",133,147.8,14.8,81,1
"152",143.2,157.7,14.5,81,1
"153",137,149.1,12.1,81,1
"154",140.8,151.5,10.7,81,1
"155",132.8,146.7,13.9,81,1
"156",134.7,148.5,13.8,81,1
"157",142.4,156.6,14.2,81,1
"158",141.2,155,13.8,81,1
"159",111.9,129.5,17.6,81,1
"160",84.3,101.4,17.1,81,1
"161",109.8,128.9,19.1,81,1
"162",83.8,101.9,18.1,81,1
"163",86.1,105.1,19,81,1
"164",92,114.8,22.8,81,1
"165",71.4,91.5,20.1,81,1
"166",77.9,96.4,18.5,81,1
"167",75.2,94.5,19.3,81,1
"168",113.1,131.1,18,81,1
"169",71.4,93.8,22.4,81,1
"170",81.4,101.3,19.9,81,1
"171",74.8,95.5,20.7,81,1
"172",62.7,82.3,19.6,81,1
"173",75.8,97.2,21.4,81,1
"174",74.2,92.1,17.9,81,1
"175",72.4,96.3,23.9,81,1
"176",83.6,104.6,21,81,1
"177",31.1,38.8,7.7,81,1
"178",40.5,51.8,11.3,81,1
"179",88.3,110.2,21.9,81,1
"180",98.2,120,21.8,82,1
"181",102.1,121.9,19.8,82,1
"182",116.1,134.8,18.7,82,1
"183",135.6,148,12.4,82,1
"184",143.2,158.2,15,82,1
"185",142.9,154.8,11.9,82,1
"186",123.4,141.8,18.4,82,1
"187",125.5,141.6,16.1,82,1
"188",129.5,146.6,17.1,82,1
"189",120.1,133.8,13.7,82,1
"190",122.5,136.5,14,82,1
"191",123.3,140.9,17.6,82,1
"192",127.8,140.4,12.6,82,1
"193",134.7,148.5,13.8,82,1
"194",128.6,145.8,17.2,82,1
"195",124.2,142.8,18.6,82,1
"196",125.5,142.4,16.9,82,1
"197",131.4,149.1,17.7,82,1
"198",136.1,149.5,13.4,82,1
"199",110.6,127.6,17,82,1
"200",122.3,136.2,13.9,82,1
"201",134.1,145.8,11.7,82,1
"202",138.3,154.2,15.9,82,1
"203",133.3,147.1,13.8,82,1
"204",149.8,159.4,9.6,82,1
"205",149.2,162.6,13.4,82,1
"206",142.5,151.5,9,82,1
"207",104.6,118,13.4,82,1
"208",127.1,145.5,18.4,82,1
"209",129.8,148.2,18.4,82,1
"210",121.1,135.9,14.8,82,1
"211",119.2,136.1,16.9,82,1
"212",110.9,128.6,17.7,82,1
"213",122.5,139.8,17.3,82,1
"214",119.3,136.7,17.4,82,1
"215",118.2,135.1,16.9,82,1
"216",137.5,149,11.5,82,1
"217",148.9,163.7,14.8,82,1
"218",131.3,149.8,18.5,82,1
"219",126.9,143.2,16.3,82,1
"220",129.3,143.2,13.9,82,1
"221",144.3,157,12.7,82,1
"222",137.2,152.7,15.5,82,1
"223",139,153.6,14.6,82,1
"224",123.3,140.6,17.3,82,1
"225",138.4,151.7,13.3,82,1
"226",111.7,132,20.3,82,1
"227",117.2,132.5,15.3,82,1
"228",142,154.5,12.5,82,1
"229",130,143.3,13.3,82,1
"230",122.3,138.1,15.8,82,1
"231",114.7,126.7,12,82,1
"232",119.3,132.4,13.1,82,1
"233",131.7,149.3,17.6,82,1
"234",120.3,139.3,19,82,1
"235",136.2,151.5,15.3,82,1
"236",154.5,166.8,12.3,82,1
"237",109.5,126.8,17.3,82,1
"238",139.2,152.1,12.9,82,1
"239",108.3,126.9,18.6,82,1
"240",128.5,145.4,16.9,82,1
"241",144.5,156.3,11.8,82,1
"242",123.3,142.7,19.4,82,1
"243",117.7,132.9,15.2,82,1
"244",119.7,137.9,18.2,82,1
"245",113.6,126.1,12.5,82,1
"246",148.2,160.4,12.2,82,1
"247",155.1,166.2,11.1,82,1
"248",131,145.4,14.4,82,1
"249",132.2,144.3,12.1,82,1
"250",144.9,156.8,11.9,82,1
"251",112.5,131.2,18.7,82,1
"252",124.1,140.8,16.7,82,1
"253",113.9,130.8,16.9,82,1
"254",135.5,149.7,14.2,82,1
"255",142.4,156.7,14.3,82,1
"256",121.3,136.1,14.8,82,1
"257",136.7,150.1,13.4,82,1
"258",122,140.7,18.7,82,1
"259",125.6,139.4,13.8,82,1
"260",149.9,160.1,10.2,82,1
"261",123.3,138.2,14.9,82,1
"262",133.6,148.6,15,82,1
"263",138.8,152,13.2,82,1
"264",110.7,128.2,17.5,82,1
"265",111.5,126.7,15.2,82,1
"266",124.8,142.5,17.7,82,1
"267",126.2,139.7,13.5,82,1
"268",138.6,151.8,13.2,82,1
"269",125.2,141.1,15.9,82,1
"270",126.2,140.7,14.5,82,1
"271",145.1,157.5,12.4,82,1
"272",126,143.8,17.8,82,1
"273",110.5,127.7,17.2,82,1
"274",140.5,155.2,14.7,82,1
"275",128.6,146.9,18.3,82,1
"276",103.9,125,21.1,82,1
"277",118.9,133.5,14.6,82,1
"278",131,144.4,13.4,82,1
"279",141.4,154.6,13.2,82,1
"280",139.2,154.4,15.2,82,1
"281",119.8,138.6,18.8,82,1
"282",115,133.7,18.7,82,1
"283",139.8,153.2,13.4,82,1
"284",144.5,159.1,14.6,82,1
"285",134.7,149.5,14.8,82,1
"286",126.1,144.7,18.6,82,1
"287",130.4,147.3,16.9,82,1
"288",120.8,138.4,17.6,82,1
"289",119.2,136.9,17.7,82,1
"290",132.3,146.6,14.3,82,1
"291",106.3,124.5,18.2,82,1
"292",125.7,144.1,18.4,82,1
"293",107.6,124.4,16.8,82,1
"294",128.5,142.2,13.7,82,1
"295",119.5,134.1,14.6,92,1
"296",116.2,133.8,17.6,92,1
"297",112.3,127.8,15.5,92,1
