"Group","Attend"
"Group-1",68.5
"Group-1",73.2
"Group-1",80.2
"Group-1",75.9
"Group-1",80.3
"Group-1",80.2
"Group-1",84
"Group-1",77.1
"Group-1",94.2
"Group-1",64.3
"Group-1",83.5
"Group-2",86.6
"Group-2",85.9
"Group-2",68
"Group-2",71.9
"Group-2",80.5
"Group-2",69.2
"Group-2",77
"Group-2",82.6
"Group-2",82.9
"Group-2",72.2
"Group-2",73
"Group-3",86.4
"Group-3",86.2
"Group-3",68
"Group-3",76.7
"Group-3",58.3
"Group-3",76.4
"Group-3",91.7
"Group-3",69.2
"Group-3",59
"Group-3",72.1
"Group-3",66.8
"Group-4",77.4
"Group-4",72.1
"Group-4",55.9
"Group-4",75
"Group-4",48.5
"Group-4",65
"Group-4",62.2
"Group-4",61.3
"Group-4",64.8
"Group-4",60.9
"Group-4",75.2
