size, weight, dist
big, heavy, 39
big, heavy, 45
big, heavy, 60
big, heavy, 111
big, heavy, 76
big, heavy, 76
big, heavy, 64
big, heavy, 52
big, heavy, 96
big, heavy, 63
small, heavy, 69
small, heavy, 136
small, heavy, 146
small, heavy, 151
small, heavy, 31
small, heavy, 72
small, heavy, 128
small, heavy, 64
small, heavy, 100
small, heavy, 98
big, light, 22
big, light, 35
big, light, 33
big, light, 34
big, light, 29
big, light, 19
big, light, 54
big, light, 13
big, light, 67
big, light, 15
small, light, 41
small, light, 46
small, light, 53
small, light, 75
small, light, 59
small, light, 29
small, light, 95
small, light, 42
small, light, 36
small, light, 30
