Group,Malaria
Control,No
Control,No
Control,No
Control,Yes
Control,No
Control,No
Control,Yes
Control,No
Control,Yes
Control,No
Control,No
Control,No
Control,No
Control,Yes
Control,No
Control,No
Control,No
Control,No
Control,No
Control,No
Control,No
Control,Yes
Control,Yes
Control,No
Control,No
Control,No
Control,No
Control,No
Control,No
Control,Yes
Control,No
Control,No
Control,No
Control,No
Control,No
Egg removed,Yes
Egg removed,Yes
Egg removed,No
Egg removed,Yes
Egg removed,No
Egg removed,No
Egg removed,No
Egg removed,Yes
Egg removed,Yes
Egg removed,No
Egg removed,Yes
Egg removed,No
Egg removed,No
Egg removed,Yes
Egg removed,No
Egg removed,Yes
Egg removed,Yes
Egg removed,Yes
Egg removed,Yes
Egg removed,No
Egg removed,No
Egg removed,No
Egg removed,No
Egg removed,Yes
Egg removed,No
Egg removed,Yes
Egg removed,Yes
Egg removed,No
Egg removed,No
Egg removed,Yes
