"","Country","fert_1997","fert_2000","fert_2002","fert_2005","fert_2006"
"1","Albania",15.742,15.6448,15.58,15.5944,15.5992
"2","Algeria",11.771,9.8312,8.538,7.8192,7.5796
"3","Angola",145.314,143.8236,142.83,139.6416,138.5788
"4","Argentina",69.8,64.34,60.7,58.42,57.66
"5","Armenia",52.955,39.7106,30.881,30.0746,29.8058
"6","Aruba",35.063,31.1534,28.547,24.8828,23.6614
"7","Australia",19.252,17.8996,16.998,15.3816,14.8428
"8","Austria",15.712,14.3776,13.488,12.3648,11.9904
"9","Azerbaijan",41.008,33.7378,28.891,28.9366,28.9518
"10","Bahamas",63.36,58.7838,55.733,54.0806,53.5298
"11","Bahrain",21.142,19.6738,18.695,17.5172,17.1246
"12","Bangladesh",151.491,150.105,149.181,134.3652,129.4266
"13","Barbados",43.2,42.84,42.6,42.24,42.12
"14","Belarus",33.223,27.7978,24.181,22.618,22.097
"15","Belgium",9.496,8.8498,8.419,7.6738,7.4254
"16","Belize",106.26,97.2162,91.187,83.7032,81.2086
"17","Benin",150.947,141.9632,135.974,126.5174,123.3652
"18","Bhutan",73.15,59.7886,50.881,42.4192,39.5986
"19","Bolivia",86.9,85.4,84.4,80.68,79.44
"20","Bosnia and Herzegovina",29.84,25.808,23.12,21.4838,20.9384
"21","Botswana",73.26,66.0522,61.247,55.7756,53.9518
"22","Brazil",89.7,89.64,89.6,89.42,89.36
"23","Brunei",34.236,32.1438,30.749,28.6514,27.9522
"24","Bulgaria",47.677,45.181,43.517,41.6312,41.0026
"25","Burkina Faso",148.999,145.4836,143.14,132.9088,129.4984
"26","Burundi",54.944,54.944,54.944,54.944,54.944
"27","Cambodia",57.672,52.6596,49.318,44.9494,43.4932
"28","Cameroon",143.82,139.4256,136.496,125.3102,121.5816
"29","Canada",20.113,16.0816,13.394,14.0432,14.2596
"30","Cape Verde",102.5,97.2482,93.747,87.4788,85.3894
"31","Central African Rep.",150.732,139.8984,132.676,122.125,118.608
"32","Chad",193.407,191.115,189.587,174.4838,169.4494
"33","Channel Islands",13.776,12.6372,11.878,10.6984,10.3052
"34","Chile",66.9,63.72,61.6,60.4,60
"35","China",6.266,3.8612,2.258,5.768,6.938
"36","Colombia",84.4,78.7,74.9,69.08,67.14
"37","Comoros",67.716,62.2692,58.638,52.9326,51.0308
"38","Congo, Dem. Rep.",230.48,230.48,230.48,225.4952,223.8336
"39","Congo, Rep.",126.45,127.7778,128.663,120.407,117.655
"40","Costa Rica",86.9,81.26,77.5,73.78,72.54
"41","Cote d'Ivoire",159.103,143.3668,132.876,117.3786,112.2128
"42","Croatia",17.43,15.6906,14.531,13.6946,13.4158
"43","Cuba",67.9,57.34,50.3,48.32,47.66
"44","Cyprus",12.819,10.2258,8.497,8.0272,7.8706
"45","Czech Rep.",16.697,13.5938,11.525,11.1776,11.0618
"46","Denmark",8.007,7.1712,6.614,6.1646,6.0148
"47","Djibouti",31.081,29.7778,28.909,25.3534,24.1682
"48","Dominican Rep.",113.7,114.06,114.3,110.28,108.94
"49","Ecuador",85.4,84.86,84.5,83.48,83.14
"50","Egypt",53.34,50.5494,48.689,42.9272,41.0066
"51","El Salvador",95.2,90.34,87.1,83.44,82.22
"52","Equatorial Guinea",133.908,130.8264,128.772,125.1918,123.9984
"53","Eritrea",101.996,92.4266,86.047,77.6614,74.8662
"54","Estonia",30.48,25.9128,22.868,21.8792,21.5496
"55","Ethiopia",120.187,114.2794,110.341,100.2526,96.8898
"56","Fiji",52.893,46.1916,41.724,35.619,33.584
"57","Finland",9.621,10.2048,10.594,9.8002,9.5356
"58","France",7.226,7.6814,7.985,7.325,7.105
"59","French Polynesia",57.824,49.3388,43.682,37.8848,35.9524
"60","Gabon",114.134,103.2278,95.957,87.608,84.825
"61","Gambia",131.492,120.3176,112.868,107.4392,105.6296
"62","Georgia",55.616,43.2638,35.029,32.1112,31.1386
"63","Germany",12.784,11.7034,10.983,9.9258,9.5734
"64","Ghana",86.146,76.5016,70.072,60.9502,57.9096
"65","Greece",11.742,10.6428,9.91,9.1,8.83
"66","Grenada",61.458,55.2762,51.155,45.9038,44.1534
"67","Guam",78.24,63.9786,54.471,52.7136,52.1278
"68","Guatemala",121.1,117.68,115.4,110.48,108.84
"69","Guinea",178.615,172.9546,169.181,157.04,152.993
"70","Guinea-Bissau",197.38,197.38,197.38,192.028,190.244
"71","Guyana",78.3,73.6386,70.531,65.824,64.255
"72","Haiti",61.85,56.24,52.5,48.84,47.62
"73","Honduras",114.6,107.34,102.5,96.86,94.98
"74","Hong Kong, China",6.048,5.5776,5.264,5.3516,5.3808
"75","Hungary",25.99,23.263,21.445,19.9906,19.5058
"76","Iceland",23.521,19.7638,17.259,15.7434,15.2382
"77","India",99.493,81.1342,68.895,64.6482,63.2326
"78","Indonesia",52.326,49.3296,47.332,42.7864,41.2712
"79","Iran",46.068,32.9808,24.256,21.967,21.204
"80","Iraq",46.182,NA,NA,NA,NA
"81","Ireland",17.1,18.5124,19.454,17.3738,16.6804
"82","Israel",17.77,16.5934,15.809,14.7386,14.3818
"83","Italy",6.409,6.73,6.944,6.5672,6.4416
"84","Jamaica",93.45,90.3918,88.353,82.2966,80.2778
"85","Japan",4.476,4.0368,3.744,3.4482,3.3496
"86","Jordan",39.18,31.9758,27.173,25.5926,25.0658
"87","Kazakhstan",40.04,33.059,28.405,29.7682,30.2226
"88","Kenya",104.2,104.2,104.2,103.8064,103.6752
