"","state","resident"
"1","Alabama",35.7000007629395
"2","Alaska",22.5
"3","Arizona",21.7000007629395
"4","Arkansas",50.5
"5","California",26.7000007629395
"6","Colorado",40
"7","Connecticut",54.5999984741211
"8","Delaware",43.2000007629395
"9","District of Columbia",34.4000015258789
"10","Florida",23.1000003814697
"11","Georgia",45.5
"12","Hawaii",13.6000003814697
"13","Idaho",31.2999992370605
"14","Illinois",52.0999984741211
"15","Indiana",59.2000007629395
"16","Iowa",70.5
"17","Kansas",65.4000015258789
"18","Kentucky",47.7999992370605
"19","Louisiana",59.7000007629395
"20","Maine",51.4000015258789
"21","Maryland",44.5999984741211
"22","Massachusetts",54
"23","Michigan",36.0999984741211
"24","Minnesota",67.5999984741211
"25","Mississippi",40.5999984741211
"26","Missouri",57.5999984741211
"27","Montana",44.2000007629395
"28","Nebraska",67.4000015258789
"29","Nevada",18.6000003814697
"30","New Hampshire",52.7000007629395
"31","New Jersey",33.4000015258789
"32","New Mexico",30.2000007629395
"33","New York",37
"34","North Carolina",30.3999996185303
"35","North Dakota",59.5
"36","Ohio",49.2999992370605
"37","Oklahoma",59.0999984741211
"38","Oregon",30.2000007629395
"39","Pennsylvania",40.5999984741211
"40","Rhode Island",60.2999992370605
"41","South Carolina",28.7999992370605
"42","South Dakota",74.9000015258789
"43","Tennessee",45.7999992370605
"44","Texas",47.7000007629395
"45","Utah",29.1000003814697
"46","Vermont",46.2000007629395
"47","Virginia",33.7999992370605
"48","Washington",37.7999992370605
"49","West Virginia",32.2999992370605
"50","Wisconsin",62.0999984741211
"51","Wyoming",37.7999992370605
