institution,sat,state,enrollment,cccu
"Abilene Christian University",1120,TX,5291,Y
"Adrian College",1020,MI,1865,N
"Albion College",1050,MI,1506,N
"Aletheia Christian College",0,ID,0,N
"Allegheny College",1250,PA,1667,N
"American University",1310,DC,14001,N
"Amherst College",1500,MA,1745,N
"Anderson University",1060,IN,1406,Y
"Andrews University",1210,MI,3162,N
"Appalachian State University",1160,NC,20023,N
"Aquinas College",1120,MI,1517,N
"Aquinas College",1240,TN,342,N
"Arcadia University",1130,PA,3300,N
"Arizona State University",1210,AZ,74795,N
"Asbury University",1200,KY,1741,Y
"Ashland University",1100,OH,4447,N
"Auburn University",1240,AL,30737,N
"Augsburg College",1060,MN,3346,N
"Augustana University",1220,SD,2019,N
"Aurora University",1060,IL,6265,N
"Austin College",1210,TX,1302,N
"Azusa Pacific University",1110,CA,9006,Y

"Baylor University",1293,TX,19297,N
"Belhaven University",1070,MS,4999,Y
"Berea College",1123,KY,1688,N
"Bethel University",1190,MN,3814,Y
"Bethel University",1058,IN,1362,Y
"Bethlehem College",1280,MN,200,N
"Biola University",1180,CA,5815,Y
"Boise State University",1120,ID,24069,N
"Boston College",1420,MA,14934,N
"Boston University",1410,MA,32718,N
"Bowdoin College",1405,ME,1777,N
"Bowling Green State University",1120,OH,18142,N
"Boyce College",0,KY,1235,N
"Bradley University",1180,IL,5855,N
"Brandeis University",1420,MA,5440,N
"Brigham Young University",1310,UT,36461,N
"Brown University",1500,RI,9948,N
"Bucknell University",1340,PA,3726,N
"Butler University",1240,IN,5544,N
"California Baptist University",1060,CA,11317,Y
"California Lutheran University",1160,CA,4027,N
"Calvin College",1210,MI,3307,Y
"Canisius College",1140,NY,2820,N
"Carleton College",1430,MN,1940,N
"Carnegie Mellon University",1510,PA,13519,N
"Carroll College",1190,MT,1108,N
"Carthage College",1120,WI,2763,N
"Case Western Reserve University",1430,OH,11465,N
"Cedarville University",1230,OH,4461,N
"Central Michigan University",1110,MI,17311,N
"Christendom College",1260,VA,539,N
"Citadel Military College",1120,SC,3740,N
"Claremont McKenna College",1420,CA,1264,N
"Clarkson University",1250,NY,4025,N
"Clemson University",1300,SC,26406,N
"Cleveland Institute of Art",1190,OH,599,N
"Cleveland State University",1060,OH,15247,N
"Colby College",1450,ME,2155,N
"Colgate University",1390,NY,3054,N
"College of Charleston",1160,SC,10384,N
"College of the Ozarks",1170,MO,1489,Y
"College of William and Mary",1400,VA,8939,N
"Colorado School of Mines",1360,CO,6744,N
"Colorado State University",1180,CO,32428,N
"Columbia University",1520,NY,30135,N
"Cornell University",1470,NY,23620,N
"Cornerstone University",1050,MI,1917,Y
"Covenant College",1180,GA,911,Y
"Crown College",1140,MN,1485,Y
"Dartmouth College",1500,NH,6292,N
