group, groupNum, wtGain
Control, 0, 380
Control, 0, 321
Control, 0, 366
Control, 0, 356
Control, 0, 283
Control, 0, 349
Control, 0, 402
Control, 0, 462
Control, 0, 356
Control, 0, 410
Control, 0, 329
Control, 0, 399
Control, 0, 350
Control, 0, 384
Control, 0, 316
Control, 0, 272
Control, 0, 345
Control, 0, 455
Control, 0, 360
Control, 0, 431
Exper, 1, 361
Exper, 1, 447
Exper, 1, 401
Exper, 1, 375
Exper, 1, 434
Exper, 1, 403
Exper, 1, 393
Exper, 1, 426
Exper, 1, 406
Exper, 1, 318
Exper, 1, 467
Exper, 1, 407
Exper, 1, 427
Exper, 1, 420
Exper, 1, 477
Exper, 1, 392
Exper, 1, 430
Exper, 1, 339
Exper, 1, 410
Exper, 1, 326
