"","jobcat","jobc","SCI"
"1","unskill",1,76
"2","unskill",1,61
"3","unskill",1,56
"4","unskill",1,92
"5","unskill",1,41
"6","unskill",1,51
"7","unskill",1,66
"8","unskill",1,61
"9","unskill",1,30
"10","unskill",1,76
"11","unskill",1,71
"12","unskill",1,97
"13","unskill",1,71
"14","unskill",1,87
"15","unskill",1,51
"16","unskill",1,61
"17","unskill",1,76
"18","unskill",1,76
"19","unskill",1,100
"20","unskill",1,51
"21","unskill",1,56
"22","unskill",1,35
"23","unskill",1,71
"24","unskill",1,51
"25","unskill",1,100
"26","unskill",1,66
"27","unskill",1,66
"28","unskill",1,71
"29","unskill",1,87
"30","unskill",1,56
"31","unskill",1,92
"32","unskill",1,61
"33","unskill",1,41
"34","unskill",1,76
"35","unskill",1,71
"36","unskill",1,76
"37","unskill",1,71
"38","unskill",1,61
"39","unskill",1,92
"40","unskill",1,41
"41","unskill",1,76
"42","unskill",1,87
"43","unskill",1,35
"44","unskill",1,41
"45","unskill",1,81
"46","unskill",1,51
"47","unskill",1,97
"48","unskill",1,76
"49","unskill",1,56
"50","unskill",1,76
"51","unskill",1,97
"52","unskill",1,81
"53","unskill",1,87
"54","unskill",1,92
"55","unskill",1,71
"56","unskill",1,71
"57","unskill",1,51
"58","unskill",1,71
"59","unskill",1,41
"60","unskill",1,56
"61","unskill",1,61
"62","unskill",1,51
"63","unskill",1,87
"64","unskill",1,76
"65","unskill",1,71
"66","unskill",1,61
"67","unskill",1,41
"68","unskill",1,66
"69","unskill",1,87
"70","unskill",1,87
"71","unskill",1,56
"72","unskill",1,56
"73","unskill",1,81
"74","unskill",1,100
"75","unskill",1,56
"76","unskill",1,76
"77","unskill",1,66
"78","unskill",1,71
"79","unskill",1,76
"80","unskill",1,81
"81","unskill",1,76
"82","unskill",1,66
"83","unskill",1,61
"84","unskill",1,97
"85","unskill",1,81
"86","unskill",1,51
"87","unskill",1,46
"88","unskill",1,81
"89","unskill",1,30
"90","unskill",1,100
"91","unskill",1,61
"92","unskill",1,71
"93","unskill",1,76
"94","unskill",1,97
"95","unskill",1,20
"96","unskill",1,71
"97","unskill",1,87
"98","unskill",1,46
"99","unskill",1,56
"100","unskill",1,56
"101","unskill",1,51
"102","unskill",1,76
"103","unskill",1,56
"104","unskill",1,71
"105","unskill",1,56
"106","unskill",1,92
"107","unskill",1,56
"108","unskill",1,92
"109","unskill",1,66
"110","unskill",1,51
"111","unskill",1,92
"112","unskill",1,41
"113","unskill",1,71
"114","unskill",1,61
"115","unskill",1,61
"116","unskill",1,76
"117","unskill",1,81
"118","unskill",1,66
"119","unskill",1,56
"120","unskill",1,25
"121","unskill",1,66
"122","unskill",1,61
"123","unskill",1,92
"124","unskill",1,81
"125","unskill",1,76
"126","unskill",1,92
"127","unskill",1,97
"128","unskill",1,30
"129","unskill",1,100
"130","unskill",1,100
"131","unskill",1,87
"132","unskill",1,56
"133","unskill",1,92
"134","unskill",1,71
"135","unskill",1,92
"136","unskill",1,66
"137","unskill",1,66
"138","unskill",1,56
"139","unskill",1,81
"140","unskill",1,46
"141","unskill",1,41
"142","unskill",1,41
"143","unskill",1,100
"144","unskill",1,61
"145","unskill",1,76
"146","unskill",1,76
"147","unskill",1,87
"148","unskill",1,61
"149","unskill",1,76
"150","unskill",1,87
"151","unskill",1,41
"152","unskill",1,81
"153","unskill",1,71
"154","unskill",1,61
"155","unskill",1,61
"156","unskill",1,56
"157","unskill",1,87
"158","unskill",1,87
"159","unskill",1,41
"160","unskill",1,71
"161","unskill",1,61
"162","unskill",1,100
"163","unskill",1,87
"164","unskill",1,81
"165","unskill",1,66
"166","unskill",1,56
"167","unskill",1,71
"168","unskill",1,66
"169","unskill",1,61
"170","unskill",1,92
"171","unskill",1,76
"172","unskill",1,81
"173","unskill",1,81
"174","unskill",1,71
"175","unskill",1,100
"176","unskill",1,100
"177","unskill",1,100
"178","unskill",1,100
"179","unskill",1,76
"180","unskill",1,100
"181","unskill",1,35
"182","unskill",1,61
"183","unskill",1,41
"184","unskill",1,100
"185","unskill",1,56
"186","unskill",1,76
"187","unskill",1,61
"188","unskill",1,56
"189","unskill",1,81
"190","unskill",1,71
"191","unskill",1,66
"192","unskill",1,51
"193","unskill",1,41
"194","unskill",1,100
"195","unskill",1,81
"196","unskill",1,71
"197","unskill",1,87
"198","unskill",1,76
"199","unskill",1,71
"200","unskill",1,35
"201","unskill",1,71
"202","unskill",1,71
"203","unskill",1,76
"204","unskill",1,87
"205","unskill",1,66
"206","unskill",1,71
"207","unskill",1,71
"208","unskill",1,66
"209","unskill",1,100
"210","unskill",1,66
"211","unskill",1,46
"212","unskill",1,76
"213","unskill",1,41
"214","unskill",1,76
"215","unskill",1,61
"216","unskill",1,61
"217","unskill",1,81
"218","unskill",1,51
"219","unskill",1,100
"220","unskill",1,46
"221","unskill",1,87
"222","unskill",1,35
"223","unskill",1,97
"224","unskill",1,87
"225","unskill",1,41
"226","unskill",1,61
"227","unskill",1,76
"228","unskill",1,71
"229","unskill",1,41
"230","unskill",1,92
"231","unskill",1,71
"232","unskill",1,87
"233","unskill",1,92
"234","unskill",1,35
"235","unskill",1,51
"236","unskill",1,71
"237","unskill",1,76
"238","unskill",1,81
"239","unskill",1,30
"240","unskill",1,81
"241","unskill",1,71
"242","unskill",1,71
"243","unskill",1,76
"244","unskill",1,87
"245","unskill",1,71
"246","unskill",1,81
"247","unskill",1,81
"248","unskill",1,76
"249","unskill",1,41
"250","unskill",1,100
"251","unskill",1,71
"252","unskill",1,97
"253","unskill",1,66
"254","unskill",1,71
"255","unskill",1,76
"256","unskill",1,76
"257","unskill",1,76
"258","unskill",1,71
"259","unskill",1,46
"260","unskill",1,81
"261","unskill",1,76
"262","unskill",1,81
"263","unskill",1,87
"264","unskill",1,71
"265","unskill",1,66
"266","unskill",1,51
"267","unskill",1,56
"268","unskill",1,76
"269","unskill",1,56
"270","unskill",1,76
"271","unskill",1,87
"272","unskill",1,71
"273","unskill",1,81
"274","unskill",1,51
"275","unskill",1,61
"276","unskill",1,100
"277","unskill",1,61
"278","unskill",1,97
"279","unskill",1,92
"280","unskill",1,20
"281","unskill",1,71
"282","unskill",1,92
"283","unskill",1,87
"284","unskill",1,71
"285","unskill",1,56
"286","unskill",1,46
"287","unskill",1,81
"288","unskill",1,92
"289","unskill",1,66
"290","unskill",1,46
"291","unskill",1,41
"292","unskill",1,71
"293","unskill",1,81
"294","unskill",1,100
"295","unskill",1,66
"296","unskill",1,76
"297","unskill",1,97
"298","unskill",1,56
"299","unskill",1,81
"300","unskill",1,56
"301","unskill",1,61
"302","unskill",1,97
"303","unskill",1,51
"304","unskill",1,71
"305","unskill",1,100
"306","unskill",1,35
"307","unskill",1,71
"308","unskill",1,76
"309","unskill",1,81
"310","unskill",1,71
"311","unskill",1,87
"312","unskill",1,97
"313","unskill",1,61
"314","unskill",1,81
"315","unskill",1,61
"316","unskill",1,76
"317","unskill",1,56
"318","unskill",1,56
"319","unskill",1,61
"320","unskill",1,92
"321","unskill",1,92
"322","unskill",1,71
"323","unskill",1,61
"324","unskill",1,46
"325","unskill",1,92
"326","unskill",1,66
"327","unskill",1,87
"328","unskill",1,76
"329","unskill",1,46
"330","unskill",1,92
"331","unskill",1,25
"332","unskill",1,87
"333","unskill",1,71
"334","unskill",1,76
"335","unskill",1,97
"336","unskill",1,51
"337","unskill",1,51
"338","unskill",1,71
"339","unskill",1,61
"340","unskill",1,81
"341","unskill",1,51
"342","unskill",1,61
"343","unskill",1,71
"344","unskill",1,46
"345","unskill",1,81
"346","unskill",1,71
"347","unskill",1,66
"348","unskill",1,66
"349","unskill",1,30
"350","unskill",1,87
"351","unskill",1,97
"352","unskill",1,56
"353","unskill",1,76
"354","unskill",1,30
"355","unskill",1,97
"356","unskill",1,97
"357","unskill",1,81
"358","unskill",1,87
"359","unskill",1,61
"360","unskill",1,92
"361","unskill",1,66
"362","unskill",1,87
"363","unskill",1,100
"364","unskill",1,71
"365","unskill",1,46
"366","unskill",1,51
"367","unskill",1,100
"368","unskill",1,97
"369","unskill",1,66
"370","unskill",1,100
"371","unskill",1,61
"372","unskill",1,92
"373","unskill",1,76
"374","unskill",1,100
"375","unskill",1,71
"376","unskill",1,92
"377","unskill",1,76
"378","unskill",1,56
"379","unskill",1,100
"380","unskill",1,56
"381","unskill",1,71
"382","unskill",1,61
"383","unskill",1,76
"384","unskill",1,41
"385","unskill",1,76
"386","unskill",1,66
"387","unskill",1,71
"388","unskill",1,61
"389","unskill",1,66
"390","unskill",1,76
"391","unskill",1,76
"392","unskill",1,66
"393","unskill",1,71
"394","unskill",1,51
"395","unskill",1,92
"396","unskill",1,71
"397","unskill",1,61
"398","unskill",1,66
"399","unskill",1,87
"400","unskill",1,51
"401","unskill",1,66
"402","unskill",1,71
"403","unskill",1,100
"404","unskill",1,76
"405","unskill",1,76
"406","unskill",1,25
"407","unskill",1,61
"408","unskill",1,92
"409","unskill",1,97
"410","unskill",1,71
"411","unskill",1,61
"412","unskill",1,66
"413","unskill",1,51
"414","unskill",1,100
"415","unskill",1,87
"416","unskill",1,71
"417","unskill",1,0
"418","unskill",1,76
"419","unskill",1,61
"420","unskill",1,92
"421","unskill",1,66
"422","unskill",1,87
"423","unskill",1,76
"424","unskill",1,35
"425","unskill",1,100
"426","unskill",1,76
"427","unskill",1,56
"428","unskill",1,66
"429","unskill",1,71
"430","unskill",1,66
"431","unskill",1,87
"432","unskill",1,46
"433","unskill",1,92
"434","unskill",1,92
"435","unskill",1,87
"436","unskill",1,76
"437","unskill",1,41
"438","unskill",1,46
"439","unskill",1,100
"440","unskill",1,56
"441","unskill",1,61
"442","unskill",1,71
"443","unskill",1,66
"444","unskill",1,56
"445","unskill",1,81
"446","unskill",1,61
"447","unskill",1,61
"448","unskill",1,87
"449","skilled",2,78
"450","skilled",2,31
"451","skilled",2,60
"452","skilled",2,78
"453","skilled",2,96
"454","skilled",2,72
"455","skilled",2,31
"456","skilled",2,72
"457","skilled",2,78
"458","skilled",2,90
"459","skilled",2,84
"460","skilled",2,49
"461","skilled",2,72
"462","skilled",2,78
"463","skilled",2,84
"464","skilled",2,84
"465","skilled",2,72
"466","skilled",2,78
"467","skilled",2,100
"468","skilled",2,100
"469","skilled",2,100
"470","skilled",2,66
"471","skilled",2,72
"472","skilled",2,72
"473","skilled",2,60
"474","skilled",2,72
"475","skilled",2,66
"476","skilled",2,90
"477","skilled",2,96
"478","skilled",2,37
"479","skilled",2,66
"480","skilled",2,100
"481","skilled",2,78
"482","skilled",2,100
"483","skilled",2,100
"484","skilled",2,43
"485","skilled",2,25
"486","skilled",2,43
"487","skilled",2,31
"488","skilled",2,60
"489","skilled",2,78
"490","skilled",2,84
"491","skilled",2,60
"492","skilled",2,84
"493","skilled",2,60
"494","skilled",2,60
"495","skilled",2,66
"496","skilled",2,49
"497","skilled",2,72
"498","skilled",2,66
"499","skilled",2,66
"500","skilled",2,60
"501","skilled",2,84
"502","skilled",2,43
"503","skilled",2,78
"504","skilled",2,49
"505","skilled",2,84
"506","skilled",2,60
"507","skilled",2,49
"508","skilled",2,37
"509","skilled",2,60
"510","skilled",2,72
"511","skilled",2,90
"512","skilled",2,66
"513","skilled",2,54
"514","skilled",2,84
"515","skilled",2,84
"516","skilled",2,49
"517","skilled",2,43
"518","skilled",2,72
"519","skilled",2,90
"520","skilled",2,78
"521","skilled",2,100
"522","skilled",2,96
"523","skilled",2,96
"524","skilled",2,90
"525","skilled",2,43
"526","skilled",2,84
"527","skilled",2,90
"528","skilled",2,72
"529","skilled",2,100
"530","skilled",2,72
"531","skilled",2,60
"532","skilled",2,84
"533","skilled",2,66
"534","skilled",2,90
"535","skilled",2,60
"536","skilled",2,72
"537","skilled",2,84
"538","skilled",2,54
"539","skilled",2,72
"540","superv",3,92
"541","superv",3,81
"542","superv",3,100
"543","superv",3,77
"544","superv",3,100
"545","superv",3,84
"546","superv",3,100
"547","superv",3,73
"548","superv",3,73
"549","superv",3,73
"550","superv",3,96
"551","superv",3,84
"552","superv",3,92
"553","superv",3,54
"554","superv",3,81
"555","superv",3,88
