"age","net","gun","sex","year","previous","nruns","id"
37,100.1,103.3,"F",2003,0,2,"r1"
42,NA,112.4,"F",2008,1,2,"r1"
14,89.37,94.37,"F",2005,0,2,"r2"
15,71.22,74.83,"F",2006,1,2,"r2"
31,85.35,86.88,"M",2005,0,4,"r3"
32,91.75,92.53,"M",2006,1,4,"r3"
33,NA,92.4,"M",2007,2,4,"r3"
34,NA,89.28,"M",2008,3,4,"r3"
24,63.52,63.82,"M",2005,0,2,"r4"
26,NA,61.75,"M",2007,1,2,"r4"
25,67.33,67.48,"M",2001,0,3,"r5"
26,70.45,70.7,"M",2002,1,3,"r5"
30,82.37,85.7,"M",2006,2,3,"r5"
26,73.27,74.73,"M",2001,0,4,"r6"
27,78.73,83.77,"M",2002,1,4,"r6"
29,69.32,69.68,"M",2004,2,4,"r6"
30,67.27,68.33,"M",2005,3,4,"r6"
29,76.38,79.12,"M",2006,0,2,"r7"
31,NA,87.43,"M",2008,1,2,"r7"
25,NA,84.73,"M",1999,0,8,"r8"
27,74.22,75.08,"M",2001,1,8,"r8"
28,79.7,80.42,"M",2002,2,8,"r8"
29,88.9,91,"M",2003,3,8,"r8"
30,77.87,79.45,"M",2004,4,8,"r8"
31,90.68,91.63,"M",2005,5,8,"r8"
32,91.72,96.55,"M",2006,6,8,"r8"
34,NA,98.77,"M",2008,7,8,"r8"
26,NA,98.97,"M",2007,0,2,"r9"
27,NA,97.73,"M",2008,1,2,"r9"
33,72.48,74.75,"M",2006,0,2,"r10"
34,NA,67.05,"M",2007,1,2,"r10"
31,NA,93.6,"M",2007,0,2,"r11"
32,NA,95.03,"M",2008,1,2,"r11"
26,76.25,77.23,"M",2005,0,2,"r12"
27,76.77,78.73,"M",2006,1,2,"r12"
29,96.13,103.3,"M",2006,0,2,"r13"
30,NA,83.97,"M",2007,1,2,"r13"
42,NA,86.33,"M",1999,0,2,"r14"
43,77.25,78.97,"M",2000,1,2,"r14"
30,58.62,58.72,"M",2006,0,2,"r15"
32,NA,61.13,"M",2008,1,2,"r15"
32,139,139,"M",2001,0,2,"r16"
33,107.1,113.4,"M",2002,1,2,"r16"
29,NA,111.6,"M",2007,0,2,"r17"
30,NA,98.4,"M",2008,1,2,"r17"
32,82.82,83.38,"M",2001,0,2,"r18"
33,81.48,81.98,"M",2002,1,2,"r18"
27,102.4,111.6,"M",2006,0,2,"r19"
28,NA,104.7,"M",2007,1,2,"r19"
24,71.1,72.33,"M",2001,0,2,"r20"
26,68.1,69.78,"M",2003,1,2,"r20"
13,NA,111.2,"M",2007,0,2,"r21"
14,NA,95.95,"M",2008,1,2,"r21"
30,NA,74.9,"M",1999,0,2,"r22"
32,80.85,83.73,"M",2001,1,2,"r22"
36,NA,115.2,"F",2007,0,2,"r23"
37,NA,131.8,"F",2008,1,2,"r23"
24,NA,82.07,"F",2007,0,2,"r24"
25,NA,81.87,"F",2008,1,2,"r24"
31,95.15,100.8,"F",2006,0,3,"r25"
32,NA,103.8,"F",2007,1,3,"r25"
33,NA,105.4,"F",2008,2,3,"r25"
41,86.33,89.27,"F",2003,0,2,"r26"
46,NA,81.83,"F",2008,1,2,"r26"
40,91.3,101.6,"F",2006,0,2,"r27"
41,NA,88.92,"F",2007,1,2,"r27"
21,115,123.4,"F",2005,0,2,"r28"
22,108.2,116.1,"F",2006,1,2,"r28"
32,NA,99,"F",1999,0,2,"r29"
33,115.4,120,"F",2000,1,2,"r29"
30,70.22,70.63,"M",2005,0,2,"r30"
