"","name","team","position","games","AB","R","H","doubles","triples","HR","RBI","walks","strike_outs","stolen_bases","caught_stealing_base","AVG","OBP","SLG","OPS"
"1"," Betts, M","BOS","RF",136,520,129,180,47,5,32,80,81,91,30,6,0.346,0.438,0.64,1.078
"2"," Martinez, J","BOS","LF",150,569,111,188,37,2,43,130,69,146,6,1,0.33,0.402,0.629,1.031
"3"," McNeil, J","NYM","2B",63,225,35,74,11,6,3,19,14,24,7,1,0.329,0.381,0.471,0.852
"4"," Yelich, C","MIL","LF",147,574,118,187,34,7,36,110,68,135,22,4,0.326,0.402,0.598,1
"5"," Voit, L","NYY","1B",47,143,30,46,5,0,15,36,17,43,0,0,0.322,0.398,0.671,1.069
"6"," Altuve, J","HOU","2B",137,534,84,169,29,2,13,61,55,79,17,4,0.316,0.386,0.451,0.837
"7"," Turner, J","LAD","3B",103,365,62,114,31,1,14,52,47,54,2,1,0.312,0.406,0.518,0.924
"8"," Trout, M","LAA","CF",140,471,101,147,24,4,39,79,122,124,24,2,0.312,0.46,0.628,1.088
"9"," Diaz, Y","CLE","3B",39,109,15,34,5,2,1,15,11,19,0,0,0.312,0.375,0.422,0.797
"10"," Gennett, S","CIN","2B",154,584,86,181,30,3,23,92,42,125,4,2,0.31,0.357,0.49,0.847
"11"," Freeman, F","ATL","1B",162,618,94,191,44,4,23,98,76,132,10,3,0.309,0.388,0.505,0.892
"12"," Brantley, M","CLE","LF",143,570,89,176,36,2,17,76,48,60,12,3,0.309,0.364,0.468,0.832
"13"," Rendon, A","WSH","3B",136,529,88,163,44,2,24,92,55,82,2,1,0.308,0.374,0.535,0.909
"14"," Cain, L","MIL","CF",141,539,90,166,25,2,10,38,71,94,30,7,0.308,0.395,0.417,0.813
"15"," Ramos, W","PHI","C",111,382,39,117,22,1,15,70,32,80,0,0,0.306,0.358,0.487,0.845
"16"," Zobrist, B","CHC","2B",139,455,67,139,28,3,9,58,55,60,3,4,0.305,0.378,0.44,0.817
"17"," Martinez, J","STL","1B",152,534,64,163,30,0,17,83,49,104,0,3,0.305,0.364,0.457,0.821
"18"," Merrifield, W","KC","2B",158,632,88,192,43,3,12,60,61,114,45,10,0.304,0.367,0.438,0.806
