team,runs
"Detroit Tigers",701
"Baltimore Orioles",779
"Cleveland Indians",573
"Boston Red Sox",743
"New York Yankees",562
"Oakland Athletics",740
"Minnesota Twins",790
"California Angels",528
"Chicago White Sox",625
"Washington Senators",694
"Seattle Mariners",639
"Kansas City Royals",586
"St. Louis Cardinals",595
"San Francisco Giants",713
"Chicago Cubs",720
"Cincinnati Reds",798
"Atlanta Braves",691
"Pittsburgh Pirates",725
"Philadelphia Phillies",645
"Los Angeles Dodgers",645
"New York Mets",632
"Houston Astros",676
"Montreal Expos",582
"San Diego Padres",468
