label, mpg
US, 18
US, 15
US, 18
US, 16
US, 17
US, 15
US, 14
US, 14
US, 14
US, 15
US, 15
US, 14
US, 15
US, 14
US, 22
US, 18
US, 21
US, 21
US, 10
US, 10
US, 11
US, 9
US, 28
US, 25
US, 19
US, 16
US, 17
US, 19
US, 18
US, 14
US, 14
US, 14
US, 14
US, 12
US, 13
US, 13
US, 18
US, 22
US, 19
US, 18
US, 23
US, 26
US, 25
US, 20
US, 21
US, 13
US, 14
US, 15
US, 14
US, 17
US, 11
US, 13
US, 12
US, 13
US, 15
US, 13
US, 13
US, 14
US, 22
US, 28
US, 13
US, 14
US, 13
US, 14
US, 15
US, 12
US, 13
US, 13
US, 14
US, 13
US, 12
US, 13
US, 18
US, 16
US, 18
US, 18
US, 23
US, 11
US, 12
US, 13
US, 12
US, 18
US, 21
US, 19
US, 21
US, 15
US, 16
US, 15
US, 11
US, 20
US, 21
US, 19
US, 15
US, 26
US, 25
US, 16
US, 16
US, 18
US, 16
US, 13
US, 14
US, 14
US, 14
US, 28
US, 19
US, 18
US, 15
US, 15
US, 16
US, 15
US, 16
US, 14
US, 17
US, 16
US, 15
US, 18
US, 21
US, 20
US, 13
US, 23
US, 20
US, 23
US, 18
US, 19
US, 25
US, 26
US, 18
US, 16
US, 16
US, 15
US, 22
US, 22
US, 24
US, 23
US, 29
US, 25
US, 20
US, 18
US, 19
US, 18
US, 27
US, 13
US, 17
US, 13
US, 13
US, 13
US, 30
US, 26
US, 18
US, 17
US, 16
US, 15
US, 18
US, 21
US, 19
US, 19
US, 16
US, 16
US, 16
US, 16
US, 25
US, 26
US, 31
US, 34
US, 36
US, 20
US, 19
US, 20
US, 19
US, 21
US, 20
US, 25
US, 21
US, 19
US, 21
US, 21
US, 19
US, 18
US, 19
US, 18
US, 18
US, 18
US, 30
US, 31
US, 23
US, 24
US, 22
US, 20
US, 22
US, 20
US, 21
US, 17
US, 18
US, 17
US, 18
US, 17
US, 16
US, 19
US, 19
US, 36
US, 27
US, 23
US, 24
US, 34
US, 35
US, 28
US, 29
US, 27
US, 34
US, 32
US, 28
US, 26
US, 24
US, 19
US, 28
US, 24
US, 27
US, 27
US, 26
US, 24
US, 30
US, 39
US, 35
US, 34
US, 30
US, 22
US, 27
US, 20
US, 18
US, 28
US, 27
US, 34
US, 31
US, 29
US, 27
US, 24
US, 23
US, 38
US, 36
US, 25
US, 38
US, 26
US, 22
US, 36
US, 27
US, 27
US, 32
US, 28
US, 31
Jap, 24
Jap, 27
Jap, 27
Jap, 25
Jap, 31
Jap, 35
Jap, 24
Jap, 19
Jap, 28
Jap, 23
Jap, 27
Jap, 20
Jap, 22
Jap, 18
Jap, 20
Jap, 31
Jap, 32
Jap, 31
Jap, 32
Jap, 24
Jap, 26
Jap, 29
Jap, 24
Jap, 24
Jap, 33
Jap, 33
Jap, 32
Jap, 28
Jap, 19
Jap, 32
Jap, 34
Jap, 26
Jap, 30
Jap, 22
Jap, 22
Jap, 33
Jap, 39
Jap, 36
Jap, 28
Jap, 27
Jap, 21
Jap, 24
Jap, 30
Jap, 34
Jap, 32
Jap, 38
Jap, 37
Jap, 30
Jap, 31
Jap, 37
Jap, 32
Jap, 47
Jap, 41
Jap, 45
Jap, 34
Jap, 33
Jap, 24
Jap, 32
Jap, 39
Jap, 35
Jap, 32
Jap, 37
Jap, 38
Jap, 34
Jap, 34
Jap, 32
Jap, 33
Jap, 32
Jap, 25
Jap, 24
Jap, 37
Jap, 31
Jap, 36
Jap, 36
Jap, 34
Jap, 38
Jap, 32
Jap, 38
Jap, 32
