Mammals
1. Aardvark
2. Buffalo
3. Elephant
4. Squirrel
5. Rabbit
6. Lion
7. Zebra
8. Pig
9. Dog
10. Horse

Birds
11. Flamingo
12. Swan
13. Sparrow
14. Parrot
15. Pelican
16. Hawk
17. Owl
18. Chicken
19. Duck
20. Turkey

Reptiles
21. Gecko
22. Iguana
23. Chameleon
24. Rattlesnake
25. Boa Constrictor
26. Python
27. Turtle
28. Tortoise
29. Alligator
30. Crocodile

Fish
31. Catfish
32. Tuna
33. Cod
34. Salmon
35. Goldfish
36. Shark
37. Trout
38. Perch
39. Guppy
40. Minnow
