Movies Rated PG or PG-13,,,MoviesRatedR,
Clash of the Titans (2010),110,,Hot Tub Time Machine,100
Tyler Perry’s Why Did I Get Married Too?,121,,She’s Out of My League,105
How to Train Your Dragon,90,,Shutter Island,136
The Last Song,108,,Green Zone,115
Alice in Wonderland (2010),108,,Greenberg,107
The Bounty Hunter,106,,Repo Men,111
Diary of a Wimpy Kid,91,,Chloe,96
The Ghost Writer,128,,Crazy Heart,111
Avatar,162,,Cop Out,110
Our Family Wedding,90,,The Crazies,101
Remember Me,113,,The Book of Eli,118
Percy Jackson & The Olympians,120,,Brooklyn’s Finest,125
The Blind Side,120,,The Runaways,105
Tooth Fairy,102,,A Prophet (Unproph`ete),149
Shirlock Holms,129,,The Last Station,112
