Sea Level,High Altitude
1.5,1.5
0.6,0.6
1.2,1.2
1.6,1.6
2.4,2.4
3.1,3.1
3.5,3.5
8.9,0.9
5.3,1.3
9.5,1.6
6.3,3.7
5.3,2.1
4.4,0.5
5.8,3.6
2.7,1.1
2,2.5
5.6,2.1
3.6,0.6
2.9,2.7
9.2,0.3
5.9,3.1
2.1,1.3
4.4,1.5
4.7,6.6
7.3,2.7
5.6,1.2
1.1,0.5
3.8,3.3
1.9,3.5
2.1,1.1
5.6,4
3.3,2.6
2.4,3.3
9.1,3.4
6.3,4.6
1.5,1.1
1.8,1.1
3.8,2.5
8.7,3
6.5,3.8
6.5,3.5
7.6,1.1
,2.2
,1.4
,1.2
,1.3
,2.7
,0.9
,0.9
,1.4
,1
,2.1
,1.9
,1.3
,1.8
,1.8
,1.6
,6.6
,5.9
,0.9
,1.5
,1.1
,3.1
,1.2
,4.2
