Team,Payroll
New York Yankees,209
Detroit Tigers,139
New York Mets,138
Boston Red Sox,133
Chicago White Sox,121
Los Angeles Angels,119
Chicago Cubs,119
Los Angeles Dodgers,119
Seattle Mariners,118
Atlanta Braves,102
St. Louis Cardinals,101
Toronto Blue Jays,99
Philadelphia Phillies,98
Houston Astros,89
Milwaukee Brewers,81
Cleveland Indians,79
San Francisco Giants,77
Cincinnati Reds,74
San Diego Padres,74
Colorado Rockies,69
Texas Rangers,68
Baltimore Orioles,67
Arizona Diamondbacks,66
Minnesota Twins,62
Kansas City Royals,58
Washington Nationals,55
Pittsburgh Pirates,49
Oakland Athletics,48
Tampa Bay Rays,44
Florida Marlins,22
