Vehicle,Curb Weight,Mileage
Toyota Prius Hatchback,3042,48
Toyota Camry LE Sedan,3307,32
Honda Accord LX Sedan,3269,31
Honda Pilot LXS port Utility,4319,23
Hyundai Sonata SE Sedan,3327,32
Chevy Impala LT Sedan,3555,29
Chrysler Town & Country LX Van,4335,24
Volkswagen Jetta SE Sedan,3285,30
Acura TL Sedan,3735,26
Mazda RX-8 Grand Touring Coupe,3111,23
Mercedes-Benz E350 Sedan,3825,24
Ford Escape XLS Sport Utility,3477,23
Ford Fusion SEL Sedan,3342,31
Cadillac Escalade Sport Utility,5526,19
Infinity M45 Sedan,3958,21
