,,First 
State ,Population ,Digit 
Alabama ,"4,557,808",4
Alaska ,"663,661",6
Arizona ,"5,939,292",5
Arkansas ,"2,779,154",2
California ,"36,132,147",3
Colorado ,"4,665,177",4
Connecticut ,"3,510,297",3
Delaware ,"843,524",8
Florida ,"17,789,864",1
Georgia ,"9,072,576",9
Hawaii ,"1,275,194",1
Idaho ,"1,429,096",1
Illinois ,"12,763,371",1
Indiana ,"6,271,973",6
Iowa ,"2,966,334",2
Kansas ,"2,744,687",2
Kentucky ,"4,173,405",4
Louisiana ,"4,523,628",4
Maine ,"1,321,505",1
Maryland ,"5,600,388",5
Massachusetts ,"6,398,743",6
Michigan ,"10,120,860",1
Minnesota ,"5,132,799",5
Mississippi ,"2,921,088",2
Missouri ,"5,800,310",5
Montana ,"935,670",9
Nebraska ,"1,758,787",1
Nevada ,"2,414,807",2
New Hampshire ,"1,309,940",1
New Jersey ,"8,717,925",8
New Mexico ,"1,928,384",1
New York ,"19,254,630",1
North Carolina ,"8,683,242",8
North Dakota ,"636,677",6
Ohio ,"11,464,042",1
Oklahoma ,"3,547,884",3
Oregon ,"3,641,056",3
Pennsylvania ,"12,429,616",1
Rhode Island ,"1,076,189",1
South Carolina ,"4,255,083",4
South Dakota ,"775,933",7
Tennessee ,"5,962,959",5
Texas ,"22,859,968",2
Utah ,"2,469,585",2
Vermont ,"623,050",6
Virginia ,"7,567,465",7
Washington ,"6,287,759",6
West Virginia ,"1,816,856",1
Wisconsin ,"5,536,201",5
Wyoming ,"509,294",5
