Sample,Sample Mean
"1, 1, 1",1
"1, 1, 2",1.33
"1, 1, 3",1.67
"1, 1, 4",2
"1, 2, 1",1.33
"1, 2, 2",1.67
"1, 2, 3",2
"1, 2, 4",2.33
"1, 3, 1",1.67
"1, 3, 2",2
"1, 3, 3",2.33
"1, 3, 4",2.67
"1, 4, 1",2
"1, 4, 2",2.33
"1, 4, 3",2.67
"1, 4, 4",3
"2, 1, 1",1.33
"2, 1, 2",1.67
"2, 1, 3",2
"2, 1, 4",2.33
"2, 2, 1",1.67
"2, 2, 2",2
"2, 2, 3",2.33
"2, 2, 4",2.67
"2, 3, 1",2
"2, 3, 2",2.33
"2, 3, 3",2.67
"2, 3, 4",3
"2, 4, 1",2.33
"2, 4, 2",2.67
"2, 4, 3",3
"2, 4, 4",3.33
"3, 1, 1",1.67
"3, 1, 2",2
"3, 1, 3",2.33
"3, 1, 4",2.67
"3, 2, 1",2
"3, 2, 2",2.33
"3, 2, 3",2.67
"3, 2, 4",3
"3, 3, 1",2.33
"3, 3, 2",2.67
"3, 3, 3",3
"3, 3, 4",3.33
"3, 4, 1",2.67
"3, 4, 2",3
"3, 4, 3",3.33
"3, 4, 4",3.67
"4, 1, 1",2
"4, 1, 2",2.33
"4, 1, 3",2.67
"4, 1, 4",3
"4, 2, 1",2.33
"4, 2, 2",2.67
"4, 2, 3",3
"4, 2, 4",3.33
"4, 3, 1",2.67
"4, 3, 2",3
"4, 3, 3",3.33
"4, 3, 4",3.67
"4, 4, 1",3
"4, 4, 2",3.33
"4, 4, 3",3.67
"4, 4, 4",4
