,2007–2008,,,,2008–2009,,
PM,OC,TC,LE,PM,OC,TC,LE
21.7,15.6,17.73,1.78,27.0,15.79,19.46,2.06
27.8,15.6,17.87,2.25,24.7,13.61,15.98,3.10
24.7,17.2,18.75,1.98,21.8,12.94,15.79,2.68
15.3,8.3,9.21,0.67,23.2,12.97,16.32,2.80
18.4,11.3,12.46,0.86,23.3,11.19,13.49,2.07
14.4,8.4,9.66,1.93,16.2,9.61,12.44,2.14
19.0,13.2,14.73,1.51,13.4,6.97,8.40,2.32
23.7,11.4,13.23,1.98,13.0,7.96,10.02,2.18
22.4,13.8,17.08,1.69,16.9,8.43,11.08,2.06
25.6,13.2,15.86,2.30,26.3,14.92,21.46,1.94
15.0,15.7,17.27,1.24,31.4,17.15,20.57,1.85
17.0,9.3,10.21,1.44,40.1,15.13,19.64,2.11
23.2,10.5,11.47,1.43,28.0,8.66,10.75,2.50
17.7,14.2,15.64,1.07,4.2,15.95,20.36,2.27
11.1,11.6,13.48,0.59,15.9,11.73,14.59,2.17
29.8,7.0,7.795,2.10,20.5,14.34,17.64,2.74
20.0,19.9,21.20,1.73,23.8,8.99,11.75,2.45
21.6,14.8,15.65,1.56,14.6,10.63,13.12,
14.8,12.6,13.51,1.10,17.8,,,
21.0,9.1,9.94,,,,,
