Date,High,Year,Low,Year,"More
Recent"
1-Jan,69,2005,?14,1881,High
8,73,2008,0,1878,High
15,77,1932,4,1886,High
22,76,1927,1,1893,High
29,76,1975,2,1873,High
5-Feb,70,1991,?2,1918,High
12,74,1999,4,1899,High
19,74,1939,4,1903,High
26,74,1932,12,1970,Low
5-Mar,83,1976,6,1872,High
12,89,1990,11,1900,High
19,87,1945,12,1876,High
26,87,1921,23,1955,Low
2-Apr,89,1963,23,1907,High
9,90,1959,28,1972,Low
16,92,2002,29,1928,High
23,95,1960,33,1933,High
30,92,1942,34,1874,High
7-May,95,1930,38,1970,Low
14,93,1956,41,1928,High
21,95,1934,41,1907,High
28,97,1941,42,1961,Low
4-Jun,99,1925,46,1929,Low
11,101,1911,45,1913,Low
18,97,1944,51,1965,Low
25,100,1997,53,1902,High
2-Jul,101,1898,55,1940,Low
9,104,1936,55,1891,High
16,104,1988,56,1930,High
23,101,1991,56,1890,High
30,99,1953,56,1914,High
6-Aug,106,1918,53,1912,High
13,101,1881,55,1930,Low
20,101,1983,50,1896,High
27,100,1987,51,1885,High
3-Sep,98,1953,48,1909,High
10,98,1983,44,1883,High
17,96,1991,44,1923,High
24,94,1970,39,1963,High
1-Oct,93,1941,36,1899,High
8,91,2007,36,1964,High
15,87,1975,32,1874,High
22,84,1979,29,1895,High
29,82,1918,30,1976,Low
 Nov 5,81,2003,20,1879,High
12,77,1912,24,1926,Low
19,77,1928,18,1891,High
26,74,1979,17,1950,High
3-Dec,70,1950,15,1976,Low
10,67,1966,4,1876,High
17,64,1984,10,1876,High
24,69,1933,5,1983,Low
