"Wind
Speed",Power,,,
4.2,10.3,,,
1.4,1.4,,,
6.6,39.4,,,
4.7,12.3,,,
2.6,9.0,,,
5.8,20.6,,,
1.8,3.8,,,
5.8,21.1,,,
7.3,41.3,,,
7.1,45.2,,,
6.4,28.4,,,
4.6,5.0,,,
1.6,0.6,,,
2.3,9.4,,,
4.2,5.3,,,
3.7,1.1,,,
5.9,29.2,,,
6.0,24.4,,,
5.3,13.9,,,
5.1,9.5,,,
4.9,2.9,,,
8.3,63.7,,,
7.1,37.1,,,
9.2,87.5,,,
4.4,0.5,,,
8.0,65.1,,,
5.1,17.9,,,
5.8,10.8,,,
2.6,9.1,,,
7.7,46.1,,,
6.1,26.9,,,
5.5,19.7,,,
4.7,5.4,,,
4.0,12.4,,,
2.3,5.0,,,
8.6,67.4,,,
5.6,15.2,,,
4.2,11.0,,,
6.2,21.4,,,
7.7,54.6,,,
6.6,32.5,,,
6.9,29.3,,,
