promos, discount, price
1, 10, 4.10
1, 10, 4.50
1, 10, 4.47
1, 10, 4.42
1, 10, 4.56
1, 10, 4.69
1, 10, 4.42
1, 10, 4.17
1, 10, 4.31
1, 10, 4.59
1, 20, 3.57
1, 20, 3.77
1, 20, 3.90
1, 20, 4.49
1, 20, 4.00
1, 20, 4.66
1, 20, 4.48
1, 20, 4.64
1, 20, 4.31
1, 20, 4.43
1, 30, 4.94
1, 30, 4.59
1, 30, 4.58
1, 30, 4.48
1, 30, 4.55
1, 30, 4.53
1, 30, 4.59
1, 30, 4.66
1, 30, 4.73
1, 30, 5.24
1, 40, 5.19
1, 40, 4.88
1, 40, 4.78
1, 40, 4.89
1, 40, 4.69
1, 40, 4.96
1, 40, 5.00
1, 40, 4.93
1, 40, 5.10
1, 40, 4.78
3, 10, 4.07
3, 10, 4.13
3, 10, 4.25
3, 10, 4.23
3, 10, 4.57
3, 10, 4.33
3, 10, 4.17
3, 10, 4.47
3, 10, 4.60
3, 10, 4.02
3, 20, 4.20
3, 20, 3.94
3, 20, 4.20
3, 20, 3.88
3, 20, 4.35
3, 20, 3.99
3, 20, 4.01
3, 20, 4.22
3, 20, 3.70
3, 20, 4.48
3, 30, 4.88
3, 30, 4.80
3, 30, 4.46
3, 30, 4.73
3, 30, 3.96
3, 30, 4.42
3, 30, 4.30
3, 30, 4.68
3, 30, 4.45
3, 30, 4.56
3, 40, 4.90
3, 40, 5.15
3, 40, 4.68
3, 40, 4.98
3, 40, 4.66
3, 40, 4.46
3, 40, 4.70
3, 40, 4.37
3, 40, 4.69
3, 40, 4.97
5, 10, 3.89
5, 10, 4.18
5, 10, 3.82
5, 10, 4.09
5, 10, 3.94
5, 10, 4.41
5, 10, 4.14
5, 10, 4.15
5, 10, 4.06
5, 10, 3.90
5, 20, 3.90
5, 20, 3.77
5, 20, 3.86
5, 20, 4.10
5, 20, 4.10
5, 20, 3.81
5, 20, 3.97
5, 20, 3.67
5, 20, 4.05
5, 20, 3.67
5, 30, 4.11
5, 30, 4.35
5, 30, 4.17
5, 30, 4.11
5, 30, 4.02
5, 30, 4.41
5, 30, 4.48
5, 30, 3.76
5, 30, 4.66
5, 30, 4.44
5, 40, 4.31
5, 40, 4.36
5, 40, 4.75
5, 40, 4.62
5, 40, 3.74
5, 40, 4.34
5, 40, 4.52
5, 40, 4.37
5, 40, 4.40
5, 40, 4.52
7, 10, 3.56
7, 10, 3.91
7, 10, 4.05
7, 10, 3.91
7, 10, 4.11
7, 10, 3.61
7, 10, 3.72
7, 10, 3.69
7, 10, 3.79
7, 10, 3.45
7, 20, 3.45
7, 20, 4.06
7, 20, 3.35
7, 20, 3.67
1, 20, 3.74
7, 20, 3.80
7, 20, 3.90
7, 20, 4.08
7, 20, 3.52
7, 20, 4.03
7, 30, 3.89
7, 30, 4.45
7, 30, 3.80
7, 30, 4.15
7, 30, 4.41
7, 30, 3.75
7, 30, 3.98
7, 30, 4.07
7, 30, 4.21
7, 30, 4.23
7, 40, 4.04
7, 40, 4.22
7, 40, 4.39
7, 40, 3.89
7, 40, 4.26
7, 40, 4.41
7, 40, 4.39
7, 40, 4.52
7, 40, 3.87
7, 40, 4.70
