Score,Total,Male,Female
2400,360,220,140
2390,253,133,120
2380,395,226,169
2370,527,289,238
2360,598,321,277
2350,580,325,255
2340,876,475,401
2330,902,510,392
2320,1168,654,514
2310,1005,552,453
2300,1413,719,694
2290,1370,756,614
2280,1495,786,709
2270,1601,862,739
2260,1780,952,828
2250,1865,954,911
2240,1854,972,882
2230,2122,1124,998
2220,2235,1177,1058
2210,2319,1193,1126
2200,2527,1338,1189
2190,2544,1343,1201
2180,2744,1465,1279
2170,2849,1492,1357
2160,2998,1588,1410
2150,3240,1670,1570
2140,3427,1771,1656
2130,3570,1864,1706
2120,3836,1989,1847
2110,4117,2096,2021
2100,4310,2253,2057
2090,4312,2235,2077
2080,4474,2341,2133
2070,4767,2530,2237
2060,5034,2573,2461
2050,5256,2733,2523
2040,5397,2720,2677
2030,5812,3014,2798
2020,6074,3114,2960
2010,6302,3211,3091
2000,6411,3206,3205
1990,6484,3353,3131
1980,6834,3384,3450
1970,7296,3703,3593
1960,7654,3868,3786
1950,7680,3910,3770
1940,8034,4021,4013
1930,8299,4191,4108
1920,8705,4356,4349
1910,9058,4619,4439
1900,9423,4695,4728
1890,9561,4781,4780
1880,9743,4921,4822
1870,10203,5110,5093
1860,10543,5225,5318
1850,10732,5354,5378
1840,11233,5531,5702
1830,11566,5677,5889
1820,11617,5729,5888
1810,12096,5947,6149
1800,12609,6256,6353
1790,12682,6308,6374
1780,12945,6366,6579
1770,13262,6426,6836
1760,13286,6354,6932
1750,13908,6713,7195
1740,14076,6886,7190
1730,14716,7130,7586
1720,14993,7254,7739
1710,15308,7330,7978
1700,15644,7499,8145
1690,15458,7518,7940
1680,15973,7676,8297
1670,16345,7796,8549
1660,16751,7958,8793
1650,16563,7847,8716
1640,17082,8099,8983
1630,17451,8382,9069
1620,17713,8474,9239
1610,17960,8598,9362
1600,18517,8703,9814
1590,18458,8634,9824
1580,18709,8719,9990
1570,18733,8785,9948
1560,19417,9109,10308
1550,19393,9077,10316
1540,19321,9135,10186
1530,19437,9065,10372
1520,19882,9166,10716
1510,20064,9297,10767
1500,20134,9259,10875
1490,20291,9301,10990
1480,19986,9049,10937
1470,20279,9253,11026
1460,20426,9378,11048
1450,20294,9322,10972
1440,20637,9320,11317
1430,20294,9198,11096
1420,20557,9335,11222
1410,20603,9345,11258
1400,20731,9450,11281
1390,20079,9062,11017
1380,19858,9052,10806
1370,19789,8881,10908
1360,19681,8809,10872
1350,19671,8743,10928
1340,19669,8736,10933
1330,19270,8583,10687
1320,19125,8508,10617
1310,19034,8354,10680
1300,18642,8247,10395
1290,18272,7927,10345
1280,17971,7975,9996
1270,18030,8059,9971
1260,17644,7740,9904
1250,17022,7500,9522
1240,16684,7391,9293
1230,16739,7351,9388
1220,15998,6952,9046
1210,15541,6833,8708
1200,14936,6481,8455
1190,14915,6500,8415
1180,13959,6141,7818
1170,13873,6097,7776
1160,13495,5896,7599
1150,12890,5528,7362
1140,12540,5489,7051
1130,12061,5236,6825
1120,11170,4880,6290
1110,10864,4763,6101
1100,10519,4553,5966
1090,10193,4444,5749
1080,9477,4160,5317
1070,9376,4100,5276
1060,8688,3817,4871
1050,8255,3645,4610
1040,7836,3494,4342
1030,7253,3323,3930
1020,6965,3158,3807
1010,6737,3011,3726
1000,6394,2916,3478
990,5893,2808,3085
980,5658,2561,3097
970,5085,2322,2763
960,4928,2295,2633
950,4566,2134,2432
940,4327,2053,2274
930,4071,1862,2209
920,3815,1792,2023
910,3625,1737,1888
900,3422,1657,1765
890,3149,1488,1661
880,2893,1384,1509
870,2772,1296,1476
860,2702,1310,1392
850,2382,1151,1231
840,2231,1074,1157
830,2094,1059,1035
820,1889,932,957
810,1836,906,930
800,1631,828,803
790,1447,714,733
780,1334,690,644
770,1201,587,614
760,1127,580,547
750,973,488,485
740,863,466,397
730,783,400,383
720,739,365,374
710,603,318,285
700,517,271,246
690,467,245,222
680,383,200,183
670,308,176,132
660,266,157,109
650,247,139,108
640,169,108,61
630,145,87,58
620,112,69,43
610,94,54,40
600,249,153,96
