last,yrs
Feinstein,27
Grassley,39
Hatch,43
Shelby,33
Inhofe,25
Roberts,23
Mikulski,33
McCain,33
Cochran,41
Reid,33
Leahy,45
Alexander,17
Boxer,27
Sanders,13
McConnell,35
Nelson,19
Risch,11
Coats,9
Cardin,13
Enzi,23
King,7
Durbin,23
Isakson,15
Blumenthal,9
Markey,6
Sessions,23
Carper,19
Shaheen,11
Manchin,9
Hirono,7
Udall,11
Wyden,24
Warren,7
Reed,23
Perdue,5
Blunt,9
Stabenow,19
Murray,27
Schumer,21
Boozman,9
Fischer,7
Crapo,21
Franken,10
Wicker,12
Cornyn,17
Barrasso,12
Corker,13
Brown,13
Collins,23
McCaskill,13
Moore Capito,5
Menendez,14
Moran,9
Rounds,5
Warner,11
Johnson,9
Graham,17
Donnelly,7
Whitehouse,13
Heitkamp,7
Burr,15
Portman,9
Tester,13
Merkley,11
Hoeven,9
Murkowski,17
Cassidy,5
Kaine,7
Cantwell,19
Peters,5
Kirk,9
Casey,13
Heller,9
Klobuchar,13
Tillis,5
Thune,15
Vitter,15
Toomey,9
Baldwin,7
Daines,5
Flake,7
Paul,9
Coons,9
Sullivan,5
Bennet,11
Scott,7
Gillibrand,11
Lankford,5
Ayotte,9
Booker,6
Ernst,5
Cruz,7
Rubio,9
Lee,9
Heinrich,7
Sasse,5
Schatz,7
Murphy,7
Gardner,5
Cotton,5
