last, fi, rFems, rDems, mYrs
Kalinowski, J, .1, .5, 7.4
Coe, M, 0, .3, 7.7
Velis, D, 0, .6, 12.3
Thomas, Z, , , 14.6
Kamper, L, 0, .3, 9.4
Omnes, A, 0, .6, 6.1
Cisneros, K, 0, .6, 16.7
McMillan, K, .2, .5, 13.3
Van Dyk, J, .1, .4, 11.4
Lesniak, S, .1, .6, 11.2
Reid, B, .2, .5, 10.4
Rietema, D, 0, .4, 16.2
Waters, L, 0, , 10.9
Westmaas, R, .2, .6, 14
Jahr, K, 0, .3, 14.4
Mindliing, A, 0, .3, 13.8
Rios, L, 0, .4, 9.4
Voskuilen, K, 0, .5, 12.4
Kreamer, C, .1, .3, 13.4
Tammeling, A, .1, .6, 6.7
Sanderson, M, .3, .2,
Postmus, K, .1, .5, 13
Grandia, R, 0, .6, 14.5
VanderWal, T, 0, .6, 23.2
Ellens, B, .1, .3, 11.3
Diekema, E, 0, .5, 13.6
Peterson, J, 0, .4, 9.2
Babachenko, N, .1, .6, 12
