last, fi, rFems, rDems, mYrs
Burghgraef, D, 0, .5, 11.6
Klanderman, J, 0, .6, 12.2
Coe, M, 0, .3, 7.7
Lemmen, L, 0, .4, 16.2
Lesniak, S, .1, .6, 11.2
Nelson, C, .3, .1, 7.8
Kramer, N, .1, .5, 13
DeWaal Malefyt, S, .1, .3, 9.3
Konyndyk, J, 0, .6, 6.1
Kim, C, .1, .8, 11.9
Vanden Berg, M, 0, .6,
Bulthuis, A, .1, .6, 12
Ansari, J, .2, .2, 11.7
Meiste, D, 0, .8, 13.2
Karsten, E, .1, .2, 12
Voskuilen, K, 0, .5, 12.4
Romero, N, .1, .5, 8.7
Wolffis, A, 0, .3, 12.5
Roode, T, .1, .6, 6.7
Kreuze, J, .2, .5, 10.4
Kloosterman, R, .2, .5, 13.3
Kraker, L, 0, .4, 9.2
