first,last,state,yrs,party
Dianne,Feinstein,California,27,Democratic
Chuck,Grassley,Iowa,39,Republican
Orrin,Hatch,Utah,43,Republican
Richard,Shelby,Alabama,33,Republican
Jim,Inhofe,Oklahoma,25,Republican
Pat,Roberts,Kansas,23,Republican
Barbara,Mikulski,Maryland,33,Democratic
John,McCain,Arizona,33,Republican
Thad,Cochran,Mississippi,41,Republican
Harry,Reid,Nevada,33,Democratic
Patrick,Leahy,Vermont,45,Democratic
Lamar,Alexander,Tennessee,17,Republican
Barbara,Boxer,California,27,Democratic
Bernie,Sanders,Vermont,13,Independent
Mitch,McConnell,Kentucky,35,Republican
Bill,Nelson,Florida,19,Democratic
Jim,Risch,Idaho,11,Republican
Dan,Coats,Indiana,9,Republican
Ben,Cardin,Maryland,13,Democratic
Mike,Enzi,Wyoming,23,Republican
Angus,King,Maine,7,Independent
Dick,Durbin,Illinois,23,Democratic
Johnny,Isakson,Georgia,15,Republican
Richard,Blumenthal,Connecticut,9,Democratic
Ed,Markey,Massachusetts,6,Democratic
Jeff,Sessions,Alabama,23,Republican
Tom,Carper,Delaware,19,Democratic
Jeanne,Shaheen,New Hampshire,11,Democratic
Joe,Manchin,West Virginia,9,Democratic
Mazie,Hirono,Hawaii,7,Democratic
Tom,Udall,New Mexico,11,Democratic
Ron,Wyden,Oregon,24,Democratic
Elizabeth,Warren,Massachusetts,7,Democratic
Jack,Reed,Rhode Island,23,Democratic
David,Perdue,Georgia,5,Republican
Roy,Blunt,Missouri,9,Republican
Debbie,Stabenow,Michigan,19,Democratic
Patty,Murray,Washington,27,Democratic
Chuck,Schumer,New York,21,Democratic
John,Boozman,Arkansas,9,Republican
Deb,Fischer,Nebraska,7,Republican
Mike,Crapo,Idaho,21,Republican
Al,Franken,Minnesota,10,Democratic
Roger,Wicker,Mississippi,12,Republican
John,Cornyn,Texas,17,Republican
John,Barrasso,Wyoming,12,Republican
Bob,Corker,Tennessee,13,Republican
Sherrod,Brown,Ohio,13,Democratic
Susan,Collins,Maine,23,Republican
Claire,McCaskill,Missouri,13,Democratic
Shelley,Moore Capito,West Virginia,5,Republican
Bob,Menendez,New Jersey,14,Democratic
Jerry,Moran,Kansas,9,Republican
Mike,Rounds,South Dakota,5,Republican
Mark,Warner,Virginia,11,Democratic
Ron,Johnson,Wisconsin,9,Republican
Lindsey,Graham,South Carolina,17,Republican
Joe,Donnelly,Indiana,7,Democratic
Sheldon,Whitehouse,Rhode Island,13,Democratic
Heidi,Heitkamp,North Dakota,7,Democratic
Richard,Burr,North Carolina,15,Republican
Rob,Portman,Ohio,9,Republican
Jon,Tester,Montana,13,Democratic
Jeff,Merkley,Oregon,11,Democratic
John,Hoeven,North Dakota,9,Republican
Lisa,Murkowski,Alaska,17,Republican
Bill,Cassidy,Louisiana,5,Republican
Tim,Kaine,Virginia,7,Democratic
Maria,Cantwell,Washington,19,Democratic
Gary,Peters,Michigan,5,Democratic
Mark,Kirk,Illinois,9,Republican
Bob,Casey,Pennsylvania,13,Democratic
Dean,Heller,Nevada,9,Republican
Amy,Klobuchar,Minnesota,13,Democratic
Thom,Tillis,North Carolina,5,Republican
John,Thune,South Dakota,15,Republican
David,Vitter,Louisiana,15,Republican
Pat,Toomey,Pennsylvania,9,Republican
Tammy,Baldwin,Wisconsin,7,Democratic
Steve,Daines,Montana,5,Republican
Jeff,Flake,Arizona,7,Republican
Rand,Paul,Kentucky,9,Republican
Chris,Coons,Delaware,9,Democratic
Dan,Sullivan,Alaska,5,Republican
Michael,Bennet,Colorado,11,Democratic
Tim,Scott,South Carolina,7,Republican
Kirsten,Gillibrand,New York,11,Democratic
James,Lankford,Oklahoma,5,Republican
Kelly,Ayotte,New Hampshire,9,Republican
Cory,Booker,New Jersey,6,Democratic
Joni,Ernst,Iowa,5,Republican
Ted,Cruz,Texas,7,Republican
Marco,Rubio,Florida,9,Republican
Mike,Lee,Utah,9,Republican
Martin,Heinrich,New Mexico,7,Democratic
Ben,Sasse,Nebraska,5,Republican
Brian,Schatz,Hawaii,7,Democratic
Chris,Murphy,Connecticut,7,Democratic
Cory,Gardner,Colorado,5,Republican
Tom,Cotton,Arkansas,5,Republican
