era, skull.breadth
"4000 B.C.E",131
"4000 B.C.E",125
"4000 B.C.E",131
"4000 B.C.E",119
"4000 B.C.E",136
"4000 B.C.E",138
"4000 B.C.E",139
"4000 B.C.E",125
"4000 B.C.E",131
"4000 B.C.E",134
"4000 B.C.E",129
"4000 B.C.E",134
"4000 B.C.E",126
"4000 B.C.E",132
"4000 B.C.E",141
"4000 B.C.E",131
"4000 B.C.E",135
"4000 B.C.E",132
"4000 B.C.E",139
"4000 B.C.E",132
"4000 B.C.E",126
"4000 B.C.E",135
"4000 B.C.E",134
"4000 B.C.E",128
"4000 B.C.E",130
"4000 B.C.E",138
"4000 B.C.E",128
"4000 B.C.E",127
"4000 B.C.E",131
"4000 B.C.E",124
"200 B.C.E",141
"200 B.C.E",141
"200 B.C.E",135
"200 B.C.E",133
"200 B.C.E",131
"200 B.C.E",140
"200 B.C.E",139
"200 B.C.E",140
"200 B.C.E",138
"200 B.C.E",132
"200 B.C.E",134
"200 B.C.E",135
"200 B.C.E",133
"200 B.C.E",136
"200 B.C.E",134
"200 B.C.E",131
"200 B.C.E",129
"200 B.C.E",136
"200 B.C.E",131
"200 B.C.E",139
"200 B.C.E",144
"200 B.C.E",141
"200 B.C.E",130
"200 B.C.E",133
"200 B.C.E",138
"200 B.C.E",131
"200 B.C.E",136
"200 B.C.E",132
"200 B.C.E",135
"200 B.C.E",141
