Visitor,Vscore,Home,Hscore
Michigan St.,54,Ohio St.,63
Bowling Green,59,Miami OH,75
DePaul,79,Pittsburgh,98
Florida,70,Kentucky,75
Vermont,64,MD Baltimore County,73
Virginia Tech,69,Clemson,70
New Orleans,77,South Alabama,81
Toledo,90,Central Michigan,83
Indiana,64,Penn St.,68
Ball St.,53,Western Michigan,57
South Carolina,56,Tennessee,89
Northern Illinois,63,Eastern Michigan,82
Buffalo,80,Ohio,94
Rutgers,64,Seton Hall,61
Illinois St.,49,Drake,79
Boston University,52,Hartford,59
Mount St. Mary's,83,Robert Morris,65
Colorado,49,Nebraska,68
William & Mary,56,Virginia Commonweal,54
Purdue,72,Michigan,58
Troy,59,Middle Tennessee,65
Oklahoma St.,57,Texas,62
Loyola MD,63,Siena,65
George Mason,53,NC Wilmington,41
NC Greensboro,52,Davidson,82
Kent St.,61,Akron,58
Cincinnati,51,Connecticut,96
Sacred Heart,55,Wagner,49
IUPU Fort Wayne,66,Southern Utah,62
Florida Atlantic,60,Arkansas Little Roc,66
Maryland,76,Virginia,91
Marist,71,Rider,76
Elon,75,College of Charlest,61
Santa Clara,48,Gonzaga,52
Western Illinois,66,Oakland,80
North Texas,70,Western Kentucky,84
St. Mary's,69,San Diego,75
Bucknell,40,Colgate,54
Army,60,American,72
