Study,Treatment,Cessation,Frequency
Allen,Expt,Yes,9
Allen,Expt,No,5
Allen,Ctrl,Yes,6
Allen,Ctrl,No,5
Carl,Expt,Yes,16
Carl,Expt,No,16
Carl,Ctrl,Yes,9
Carl,Ctrl,No,26
DeB,Expt,Yes,92
DeB,Expt,No,39
DeB,Ctrl,Yes,64
DeB,Ctrl,No,57
Holl,Expt,Yes,79
Holl,Expt,No,1918
Holl,Ctrl,Yes,15
Holl,Ctrl,No,695
Lanc,Expt,Yes,8
Lanc,Expt,No,241
Lanc,Ctrl,Yes,10
Lanc,Ctrl,No,238
Lew,Expt,Yes,4
Lew,Expt,No,58
Lew,Ctrl,Yes,3
Lew,Ctrl,No,58
Mill,Expt,Yes,245
Mill,Expt,No,755
Mill,Ctrl,Yes,191
Mill,Ctrl,No,751
Rice,Expt,Yes,24
Rice,Expt,No,183
Rice,Ctrl,Yes,16
Rice,Ctrl,No,32
Rig,Expt,Yes,22
Rig,Expt,No,22
Rig,Ctrl,Yes,22
Rig,Ctrl,No,21
Tay,Expt,Yes,47
Tay,Expt,No,37
Tay,Ctrl,Yes,20
Tay,Ctrl,No,62
