Time,Minutes,Seconds,TimeSeconds
17:31,17,31,1051
17:57,17,57,1077
 17:57,17,57,1077
 18:02 ,18,2,1082
 18:06,18,6,1086
 18:13 ,18,13,1093
 18:16 ,18,16,1096
18:25,18,25,1105
 18:25 ,18,25,1105
18:38,18,38,1118
 18:44 ,18,44,1124
 18:48,18,48,1128
 18:49 ,18,49,1129
 18:50,18,50,1130
18:51,18,51,1131
18:52,18,52,1132
 18:53 ,18,53,1133
18:56,18,56,1136
 19:00 ,19,0,1140
 19:00 ,19,0,1140
 19:02 ,19,2,1142
 19:07 ,19,7,1147
 19:08 ,19,8,1148
 19:10 ,19,10,1150
 19:12,19,12,1152
 19:12 ,19,12,1152
 19:12 ,19,12,1152
 19:15,19,15,1155
 19:17 ,19,17,1157
19:18,19,18,1158
 19:21 ,19,21,1161
 19:22,19,22,1162
 19:24,19,24,1164
19:28,19,28,1168
 19:30 ,19,30,1170
 19:33 ,19,33,1173
 19:34 ,19,34,1174
19:36,19,36,1176
 19:36  ,19,36,1176
19:37,19,37,1177
  19:37  ,19,37,1177
19:38,19,38,1178
 19:38 ,19,38,1178
 19:40,19,40,1180
  19:42 ,19,42,1182
 19:45 ,19,45,1185
19:46,19,46,1186
19:46,19,46,1186
19:49,19,49,1189
19:51,19,51,1191
 19:52 ,19,52,1192
 19:55,19,55,1195
19:55,19,55,1195
 19:56,19,56,1196
 19:56,19,56,1196
 19:58,19,58,1198
 19:58,19,58,1198
 19:59,19,59,1199
 20:01,20,1,1201
 20:04 ,20,4,1204
20:04,20,4,1204
20:05,20,5,1205
 20:06 ,20,6,1206
20:06,20,6,1206
 20:09,20,9,1209
 20:09,20,9,1209
20:09,20,9,1209
20:11,20,11,1211
 20:12,20,12,1212
 20:13,20,13,1213
 20:13,20,13,1213
 20:14,20,14,1214
 20:15,20,15,1215
 20:16,20,16,1216
 20:16 ,20,16,1216
20:17,20,17,1217
 20:19 ,20,19,1219
20:20,20,20,1220
20:21,20,21,1221
 20:22 ,20,22,1222
20:23,20,23,1223
 20:24,20,24,1224
 20:26,20,26,1226
 20:26 ,20,26,1226
20:28,20,28,1228
 20:29 ,20,29,1229
20:29,20,29,1229
20:30,20,30,1230
20:31,20,31,1231
20:32,20,32,1232
20:33,20,33,1233
 20:34,20,34,1234
 20:35,20,35,1235
 20:38 ,20,38,1238
20:39,20,39,1239
 20:41,20,41,1241
 20:44 ,20,44,1244
20:49,20,49,1249
 20:51,20,51,1251
 20:51 ,20,51,1251
20:52,20,52,1252
 20:52,20,52,1252
 20:54,20,54,1254
 20:56,20,56,1256
20:57,20,57,1257
 20:57 ,20,57,1257
20:59,20,59,1259
 21:00,21,0,1260
 21:03,21,3,1263
 21:05,21,5,1265
 21:09 ,21,9,1269
21:09,21,9,1269
 21:12,21,12,1272
 21:33,21,33,1293
 21:38 ,21,38,1298
21:40,21,40,1300
 21:42,21,42,1302
 21:44,21,44,1304
 21:51 ,21,51,1311
21:55,21,55,1315
21:57,21,57,1317
21:59,21,59,1319
22:01,22,1,1321
 22:03,22,3,1323
 22:09 ,22,9,1329
22:10,22,10,1330
 22:13,22,13,1333
 22:21 ,22,21,1341
22:25,22,25,1345
 22:27 ,22,27,1347
22:28,22,28,1348
 22:36,22,36,1356
 22:37,22,37,1357
 22:40,22,40,1360
 22:41 ,22,41,1361
22:47,22,47,1367
 22:47 ,22,47,1367
22:48,22,48,1368
22:58,22,58,1378
 22:59,22,59,1379
 23:09,23,9,1389
 23:11,23,11,1391
 23:19,23,19,1399
 23:20,23,20,1400
 23:21,23,21,1401
 23:23,23,23,1403
 23:30,23,30,1410
 23:35,23,35,1415
 23:43,23,43,1423
 23:53,23,53,1433
 23:53,23,53,1433
 23:56 ,23,56,1436
24:00:00,24,0,1440
24:06:00,24,6,1446
24:30:00,24,30,1470
24:38:00,24,38,1478
24:45:00,24,45,1485
24:51:00,24,51,1491
25:28:00,25,28,1528
25:32:00,25,32,1532
27:23:00,27,23,1643
