Yr,Tm,R/G,R,G,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,SB,CS
01,SEA,5.72,927,162,5680,1637,310,38,169,614,989,0.288,0.36,0.445,174,42
01,CLE,5.54,897,162,5600,1559,294,37,212,577,1076,0.278,0.35,0.458,79,41
01,TEX,5.49,890,162,5685,1566,326,23,246,548,1093,0.275,0.344,0.471,97,32
01,OAK,5.46,884,162,5573,1469,334,22,199,640,1021,0.264,0.345,0.439,68,29
01,NYY,4.99,804,161,5577,1488,289,20,203,519,1035,0.267,0.334,0.435,161,53
01,CHW,4.93,798,162,5464,1463,300,29,214,520,998,0.268,0.334,0.451,123,59
01,BOS,4.8,772,161,5605,1493,316,29,198,520,1131,0.266,0.334,0.439,46,35
01,MIN,4.76,771,162,5560,1514,328,38,164,495,1083,0.272,0.337,0.433,146,67
01,TOR,4.73,767,162,5663,1489,287,36,195,470,1094,0.263,0.325,0.43,156,55
01,KCR,4.5,729,162,5643,1503,277,37,152,406,898,0.266,0.318,0.409,100,42
01,DET,4.47,724,162,5537,1439,291,60,139,466,972,0.26,0.32,0.409,133,61
01,ANA,4.27,691,162,5551,1447,275,26,158,494,1001,0.261,0.327,0.405,116,52
01,BAL,4.24,687,162,5472,1359,262,24,136,514,989,0.248,0.319,0.38,133,53
01,TBD,4.15,672,162,5524,1426,311,21,121,456,1116,0.258,0.32,0.388,115,52
02,NYY,5.57,897,161,5601,1540,314,12,223,640,1171,0.275,0.354,0.455,100,38
02,BOS,5.3,859,162,5640,1560,348,33,177,545,944,0.277,0.345,0.444,80,28
02,CHW,5.28,856,162,5502,1475,289,29,217,555,952,0.268,0.338,0.449,75,31
02,ANA,5.25,851,162,5678,1603,333,32,152,462,805,0.282,0.341,0.433,117,51
02,TEX,5.2,843,162,5618,1510,304,27,230,554,1055,0.269,0.338,0.455,62,34
02,SEA,5.02,814,162,5569,1531,285,31,152,629,1003,0.275,0.35,0.419,137,58
02,TOR,5.02,813,162,5581,1457,305,38,187,522,1142,0.261,0.327,0.43,71,18
02,OAK,4.94,800,162,5558,1450,279,28,205,609,1008,0.261,0.339,0.432,46,20
02,MIN,4.77,768,161,5582,1518,348,36,167,472,1089,0.272,0.332,0.437,79,62
02,CLE,4.56,739,162,5423,1349,255,26,192,542,1000,0.249,0.321,0.412,52,37
02,KCR,4.55,737,162,5535,1415,285,42,140,524,921,0.256,0.323,0.398,140,65
02,TBD,4.18,673,161,5604,1418,297,35,133,456,1115,0.253,0.314,0.39,102,45
02,BAL,4.12,667,162,5491,1353,311,27,165,452,993,0.246,0.309,0.403,110,48
02,DET,3.57,575,161,5406,1340,265,37,124,363,1035,0.248,0.3,0.379,65,44
03,BOS,5.93,961,162,5769,1667,371,40,238,620,943,0.289,0.36,0.491,88,35
03,TOR,5.52,894,162,5661,1580,357,33,190,546,1081,0.279,0.349,0.455,37,25
03,NYY,5.38,877,163,5605,1518,304,14,230,684,1042,0.271,0.356,0.453,98,33
03,KCR,5.16,836,162,5568,1526,288,39,162,476,926,0.274,0.336,0.427,120,42
03,TEX,5.1,826,162,5664,1506,274,36,239,488,1052,0.266,0.33,0.454,65,25
03,MIN,4.94,801,162,5655,1567,318,45,155,512,1027,0.277,0.341,0.431,94,44
03,SEA,4.91,795,162,5561,1509,290,33,139,586,989,0.271,0.344,0.41,108,37
03,CHW,4.88,791,162,5487,1445,303,19,220,519,916,0.263,0.331,0.446,77,29
03,OAK,4.74,768,162,5497,1398,317,24,176,556,898,0.254,0.327,0.417,48,14
03,BAL,4.56,743,163,5665,1516,277,24,152,431,902,0.268,0.323,0.405,89,36
03,ANA,4.54,736,162,5487,1473,276,33,150,476,838,0.268,0.33,0.413,129,61
03,TBD,4.41,715,162,5654,1501,298,38,137,420,1030,0.265,0.32,0.404,142,42
03,CLE,4.31,699,162,5572,1413,296,26,158,466,1062,0.254,0.316,0.401,86,61
03,DET,3.65,591,162,5466,1312,201,39,153,443,1099,0.24,0.3,0.375,98,63
04,BOS,5.86,949,162,5720,1613,373,25,222,659,1189,0.282,0.36,0.472,68,30
04,NYY,5.54,897,162,5527,1483,281,20,242,670,982,0.268,0.353,0.458,84,33
04,CHW,5.34,865,162,5534,1481,284,19,242,499,1030,0.268,0.333,0.457,78,51
04,TEX,5.31,860,162,5615,1492,323,34,227,500,1099,0.266,0.329,0.457,69,36
04,CLE,5.3,858,162,5676,1565,345,29,184,606,1009,0.276,0.351,0.444,94,55
04,BAL,5.2,842,162,5736,1614,319,18,169,528,949,0.281,0.345,0.432,101,41
04,ANA,5.16,836,162,5675,1603,272,37,162,450,942,0.282,0.341,0.429,143,46
04,DET,5.1,827,162,5623,1531,284,54,201,518,1144,0.272,0.337,0.449,86,50
04,OAK,4.9,793,162,5728,1545,336,15,189,608,1061,0.27,0.343,0.433,47,22
04,MIN,4.81,780,162,5623,1494,310,24,191,513,982,0.266,0.332,0.431,116,46
04,TOR,4.47,719,161,5531,1438,290,34,145,513,1083,0.26,0.328,0.403,58,31
04,KCR,4.44,720,162,5538,1432,261,29,150,461,1057,0.259,0.322,0.397,67,48
04,TBD,4.43,714,161,5483,1416,278,46,145,469,944,0.258,0.32,0.405,132,42
04,SEA,4.31,698,162,5722,1544,276,20,136,492,1058,0.27,0.331,0.396,110,42
05,BOS,5.62,910,162,5626,1579,339,21,199,653,1044,0.281,0.357,0.454,45,12
05,NYY,5.47,886,162,5624,1552,259,16,229,637,989,0.276,0.355,0.45,84,27
05,TEX,5.34,865,162,5716,1528,311,29,260,495,1112,0.267,0.329,0.468,67,15
05,CLE,4.88,790,162,5609,1522,337,30,207,503,1093,0.271,0.334,0.453,62,36
05,TOR,4.78,775,162,5581,1480,307,39,136,486,955,0.265,0.331,0.407,72,35
05,OAK,4.77,772,162,5627,1476,310,20,155,537,819,0.262,0.33,0.407,31,22
05,LAA,4.7,761,162,5624,1520,278,30,147,447,848,0.27,0.325,0.409,161,57
05,TBD,4.63,750,162,5552,1519,289,40,157,412,990,0.274,0.329,0.425,151,49
05,CHW,4.57,741,162,5529,1450,253,23,200,435,1002,0.262,0.322,0.425,137,67
05,BAL,4.5,729,162,5551,1492,296,27,189,447,902,0.269,0.327,0.434,83,37
05,DET,4.46,723,162,5602,1521,283,45,168,384,1038,0.272,0.321,0.428,66,28
05,KCR,4.33,701,162,5503,1445,289,34,126,424,1008,0.263,0.32,0.396,53,33
05,SEA,4.31,699,162,5507,1408,289,34,130,466,986,0.256,0.317,0.391,102,47
05,MIN,4.25,688,162,5564,1441,269,32,134,485,978,0.259,0.323,0.391,102,44
06,NYY,5.74,930,162,5651,1608,327,21,210,649,1053,0.285,0.363,0.461,139,35
06,CLE,5.37,870,162,5619,1576,351,27,196,556,1204,0.28,0.349,0.457,55,23
06,CHW,5.36,868,162,5657,1586,291,20,236,502,1056,0.28,0.342,0.464,93,48
06,TEX,5.15,835,162,5659,1571,357,23,183,505,1061,0.278,0.338,0.446,53,24
06,DET,5.07,822,162,5642,1548,294,40,203,430,1133,0.274,0.329,0.449,60,40
06,BOS,5.06,820,162,5619,1510,327,16,192,672,1056,0.269,0.351,0.435,51,23
06,TOR,4.99,809,162,5596,1591,348,27,199,514,906,0.284,0.348,0.463,65,33
06,MIN,4.94,801,162,5602,1608,275,34,143,490,872,0.287,0.347,0.425,101,42
06,OAK,4.76,771,162,5500,1429,266,22,175,650,976,0.26,0.34,0.412,61,20
06,BAL,4.74,768,162,5610,1556,288,20,164,474,878,0.277,0.339,0.424,121,32
06,LAA,4.73,766,162,5609,1539,309,29,159,486,914,0.274,0.334,0.425,148,57
06,KCR,4.67,757,162,5589,1515,335,37,124,474,1040,0.271,0.332,0.411,65,34
06,SEA,4.67,756,162,5670,1540,266,42,172,404,974,0.272,0.325,0.424,106,37
06,TBD,4.25,689,162,5474,1395,267,33,190,441,1106,0.255,0.314,0.42,134,52
