CLUB,BAT,SLG,OBA,G,AB,R,H,TB,2B,3B,HR,RBI,SH,SF,HBP,BB,IBB,SO,SB,CS,GDP,LOB,SHO,E,DP,TP,W,L,ERA,CG,SHO,SV,IP,OH,OR,OER,OHR,OHB,OBB,OIBB,OSO,WP,BK,HOME,ROAD
Anaheim,0.268,0.413,0.33,162,5487,736,1473,2265,276,33,150,687,50,50,56,476,42,838,129,61,125,1086,12,105,138,0,77,85,4.28,5,9,39,1431.1,1444,743,680,190,76,486,38,980,53,3,3061094,2177087
Baltimore,0.268,0.405,0.323,163,5665,743,1516,2297,277,24,152,695,51,40,54,431,32,902,89,36,123,1121,12,105,164,0,71,91,4.76,9,3,41,1449.2,1579,820,767,198,80,526,43,981,42,4,2454118,2184013
Boston,0.289,0.491,0.36,162,5769,961,1667,2832,371,40,238,932,24,64,53,620,61,943,88,35,126,1224,5,113,130,0,95,67,4.48,5,6,36,1464.2,1503,809,729,153,76,488,41,1141,44,0,2724165,2443590
Chicago,0.263,0.446,0.331,162,5487,791,1445,2446,303,19,220,766,43,41,58,519,27,916,77,29,132,1074,8,93,154,0,86,76,4.17,12,4,36,1431,1364,715,663,162,53,518,30,1056,39,4,1939594,2187539
Cleveland,0.254,0.401,0.316,162,5572,699,1413,2235,296,26,158,660,46,41,62,466,25,1062,86,61,128,1068,5,126,178,0,68,94,4.21,5,7,34,1459.1,1477,778,682,179,64,501,37,943,49,7,1730001,1959032
Detroit,0.24,0.375,0.3,162,5466,591,1312,2050,201,39,153,553,65,49,47,443,24,1099,98,63,114,1047,17,138,194,0,43,119,5.3,3,5,27,1438.2,1616,928,847,195,56,557,35,764,52,5,1368245,1960621
Kansas,0.274,0.427,0.336,162,5568,836,1526,2378,288,39,162,781,63,57,75,476,32,926,120,42,128,1096,5,108,143,0,83,79,5.05,7,10,36,1438.2,1569,867,808,190,66,566,33,865,60,9,1774535,2118048
Minnesota,0.277,0.431,0.341,162,5655,801,1567,2440,318,45,155,755,42,52,63,512,36,1027,94,44,139,1166,5,87,114,0,90,72,4.41,7,8,45,1462,1526,758,716,187,50,402,35,997,62,9,1946011,2027371
New,0.271,0.453,0.356,163,5605,877,1518,2540,304,14,230,845,25,35,81,684,54,1042,98,33,154,1239,7,114,126,0,101,61,4.02,8,12,49,1462,1512,716,653,145,49,375,36,1119,33,0,3465640,2811145
Oakland,0.254,0.417,0.327,162,5497,768,1398,2291,317,24,176,742,22,53,59,556,52,898,48,14,118,1130,6,107,145,0,96,66,3.63,16,14,48,1441.2,1336,643,582,140,54,499,42,1018,41,10,2216596,2151186
Seattle,0.271,0.41,0.344,162,5561,795,1509,2282,290,33,139,759,35,46,53,586,34,989,108,37,130,1202,10,65,159,0,93,69,3.76,8,15,38,1441,1340,637,602,173,54,466,24,1001,35,4,3268509,2197822
Tampa,0.265,0.404,0.32,162,5654,715,1501,2286,298,38,137,678,32,50,56,420,46,1030,142,42,108,1129,10,103,158,0,63,99,4.93,7,7,30,1436.2,1454,852,787,196,95,639,37,877,65,9,1058677,2189633
Texas,0.266,0.454,0.33,162,5664,826,1506,2569,274,36,239,799,24,42,75,488,31,1052,65,25,115,1141,11,94,168,0,71,91,5.67,4,3,43,1433.1,1625,969,903,208,63,603,45,1009,51,8,2094394,2343652
Toronto,0.279,0.455,0.349,162,5661,894,1580,2573,357,33,190,853,11,56,90,546,40,1081,37,25,146,1175,5,117,161,0,86,76,4.69,14,6,36,1435,1560,826,748,184,57,485,46,984,56,2,1799458,2120100
