"CLUB","LEAGUE","BA","SLG","OBP","G","AB","R","H","TB","X2B","X3B","HR","RBI","SH","SF","HBP","BB","IBB","SO","SB","CS","GDP","LOB","SHO","E","DP","TP"
"New York","A",0.29,0.463,0.366,162,5717,968,1656,2649,326,32,201,929,41,54,78,637,32,991,123,40,138,1249,8,88,174,0
"Detroit","A",0.287,0.458,0.345,162,5757,887,1652,2635,352,50,177,857,31,45,56,474,45,1054,103,30,128,1148,3,99,148,0
"Seattle","A",0.287,0.425,0.337,162,5684,794,1629,2416,284,22,153,754,33,40,62,389,32,861,81,30,154,1128,7,90,167,0
"Los Angeles","A",0.284,0.417,0.345,162,5554,822,1578,2317,324,23,123,776,32,65,40,507,55,883,139,55,146,1100,8,101,154,0
"Boston","A",0.279,0.444,0.362,162,5589,867,1561,2481,352,35,166,829,30,54,64,689,54,1042,96,24,146,1291,7,81,145,0
"Baltimore","A",0.272,0.412,0.333,162,5631,756,1529,2321,306,30,142,718,38,47,47,500,31,939,144,42,139,1152,4,79,155,0
"Cleveland","A",0.268,0.428,0.343,162,5604,811,1504,2397,305,27,178,784,32,59,80,590,56,1202,72,41,114,1215,7,92,167,1
"Tampa Bay","A",0.268,0.433,0.336,162,5593,782,1500,2424,291,36,187,750,34,52,53,545,31,1324,131,48,119,1166,7,117,155,0
"Minnesota","A",0.264,0.391,0.33,162,5522,718,1460,2159,273,36,118,671,34,45,48,512,41,839,112,30,149,1121,14,95,151,0
"Texas","A",0.263,0.426,0.328,162,5555,816,1460,2367,298,36,179,768,57,42,56,503,27,1224,88,25,129,1092,8,124,179,0
"Kansas City","A",0.261,0.388,0.322,162,5534,706,1447,2145,300,46,102,660,41,47,89,428,34,1069,78,44,151,1089,11,106,160,0
"Toronto","A",0.259,0.419,0.327,162,5536,753,1434,2321,344,24,165,719,33,48,47,533,32,1044,57,22,127,1112,4,102,160,0
"Oakland","A",0.256,0.407,0.338,162,5577,741,1430,2270,295,16,171,711,18,56,49,664,29,1119,52,20,142,1258,10,90,153,0
"Chicago","A",0.246,0.404,0.318,162,5441,693,1341,2200,249,20,190,667,41,35,52,532,33,1149,78,45,138,1074,11,108,168,0
"Colorado","N",0.28,0.437,0.354,163,5691,860,1591,2489,313,36,171,823,83,44,58,622,51,1152,100,31,140,1251,8,68,180,1
"New York","N",0.275,0.432,0.342,162,5605,804,1543,2422,294,27,177,761,77,58,54,549,64,981,200,46,114,1196,5,101,124,0
"Los Angeles","N",0.275,0.406,0.337,162,5614,735,1544,2277,276,35,129,706,58,55,41,511,41,864,137,50,116,1200,12,114,160,0
"Atlanta","N",0.275,0.435,0.339,162,5689,810,1562,2472,328,27,176,781,55,47,49,534,43,1149,64,30,137,1205,10,107,141,0
"Philadelphia","N",0.274,0.458,0.354,162,5688,892,1558,2605,326,41,213,850,65,52,90,641,74,1205,138,19,125,1295,3,89,162,2
"St. Louis","N",0.274,0.405,0.337,162,5529,725,1513,2241,279,13,141,690,68,54,54,506,47,909,56,33,154,1167,12,121,155,0
"Chicago","N",0.271,0.422,0.333,162,5643,752,1530,2379,340,28,151,711,48,37,40,500,48,1054,86,33,127,1190,5,94,134,0
"Florida","N",0.267,0.448,0.336,162,5627,790,1504,2523,340,38,201,749,72,42,82,521,46,1332,105,34,107,1192,9,137,159,0
"Cincinnati","N",0.267,0.436,0.335,162,5607,783,1496,2447,293,23,204,747,73,46,66,536,51,1113,97,31,140,1170,6,95,155,0
"Pittsburgh","N",0.263,0.411,0.325,162,5569,724,1463,2291,322,31,148,694,60,51,71,463,31,1135,68,30,130,1119,13,83,190,0
"Milwaukee","N",0.262,0.456,0.329,162,5554,801,1455,2532,310,37,231,774,60,47,76,501,60,1137,96,32,112,1117,5,109,144,0
"Houston","N",0.26,0.412,0.33,162,5605,723,1457,2311,293,30,167,700,77,40,55,547,40,1043,65,33,142,1181,7,103,128,0
"Washington","N",0.256,0.39,0.325,162,5520,673,1415,2155,309,31,123,646,63,41,53,524,38,1128,69,23,143,1163,12,109,153,0
"San Francisco","N",0.254,0.387,0.322,162,5538,683,1407,2141,267,37,131,641,67,36,39,532,74,907,119,33,142,1141,12,88,148,0
"San Diego","N",0.251,0.411,0.322,163,5612,741,1408,2305,322,31,171,704,64,44,49,557,45,1229,55,24,113,1152,8,92,147,0
"Arizona","N",0.25,0.413,0.321,162,5398,712,1350,2229,286,40,171,687,55,58,57,532,38,1111,109,24,121,1090,7,106,157,0
