YR,CLUB,Runs,Single,Double,Triple,HomeRun,Walk,Strikeout,StolenBase,CaughtStealing
98,ARI,4.104938272,5.63580247,1.450617284,0.283950617,0.981481481,3.018518519,7.648148148,0.450617284,0.234567901
98,FLA,4.117283951,5.888888889,1.709876543,0.222222222,0.703703704,3.240740741,6.913580247,0.709876543,0.351851852
98,MON,3.975308642,5.487654321,1.728395062,0.197530864,0.907407407,2.709876543,6.524691358,0.561728395,0.277777778
98,LA,4.12962963,6.043209876,1.290123457,0.166666667,0.981481481,2.759259259,6.524691358,0.845679012,0.327160494
98,SD,4.62345679,5.561728395,1.802469136,0.185185185,1.030864198,3.728395062,6.617283951,0.487654321,0.228395062
98,PIT,3.987730061,6.024539878,1.662576687,0.214723926,0.656441718,2.411042945,6.503067485,0.975460123,0.312883436
98,OAK,4.956790123,5.901234568,1.820987654,0.080246914,0.919753086,3.907407407,6.925925926,0.808641975,0.290123457
98,STL,4.969325153,5.515337423,1.791411043,0.18404908,1.36809816,4.147239264,7.233128834,0.81595092,0.251533742
98,NYN,4.358024691,6.024691358,1.783950617,0.148148148,0.839506173,3.530864198,6.475308642,0.382716049,0.283950617
98,MIL,4.364197531,6.197530863,1.641975309,0.104938272,0.938271605,3.283950617,6.413580247,0.5,0.364197531
98,TAM,3.803680982,6.312883435,1.63803681,0.263803681,0.680981595,2.901840491,6.803680982,0.736196319,0.447852761
98,CIN,4.62962963,6.030864197,1.839506173,0.172839506,0.851851852,3.75308642,6.833333333,0.586419753,0.259259259
98,KC,4.386503067,6.202453987,1.680981595,0.245398773,0.82208589,2.914110429,6.024539877,0.828220859,0.306748466
98,CHN,5.098159509,6.122699387,1.533742331,0.208588957,1.300613497,3.687116564,7.503067485,0.398773006,0.26993865
98,DET,4.456790123,6.135802468,1.888888889,0.179012346,1.018518519,2.808641975,6.604938272,0.74691358,0.382716049
98,PHI,4.374233129,6.343558282,1.754601227,0.220858896,0.773006135,3.116564417,6.625766871,0.595092025,0.27607362
98,MIN,4.503067485,6.54601227,1.748466258,0.196319018,0.705521472,3.104294479,5.613496933,0.687116564,0.331288344
98,TOR,5.006134969,5.674846626,1.944785276,0.116564417,1.355828221,3.460122699,6.944785276,1.128834356,0.496932515
98,CHA,5.282208589,6.067484663,1.785276074,0.233128834,1.214723926,3.380368098,5.619631902,0.779141104,0.282208589
98,ANA,4.858024691,6.432098765,1.938271605,0.166666667,0.907407407,3.148148148,6.345679012,0.580246914,0.277777778
98,ATL,5.098765432,5.87037037,1.827160494,0.166666667,1.327160494,3.382716049,6.555555556,0.604938272,0.265432099
98,CLE,5.24691358,5.975308642,2.061728395,0.185185185,1.222222222,3.895061728,6.549382716,0.882716049,0.37037037
98,BAL,5.043209877,6.12345679,1.87037037,0.067901235,1.320987654,3.660493827,5.574074074,0.530864198,0.296296296
98,SF,5.18404908,6.509202455,1.791411043,0.159509202,0.987730061,4.159509202,6.380368098,0.625766871,0.312883436
98,SEA,5.335403727,6.024844721,1.99378882,0.173913043,1.453416149,3.465838509,6.714285714,0.714285714,0.242236025
98,BOS,5.407407407,6.111111111,2.086419753,0.216049383,1.265432099,3.339506173,6.475308642,0.444444444,0.240740741
98,HOU,5.395061728,6.530864198,2.012345679,0.172839506,1.024691358,3.833333333,6.925925926,0.956790123,0.314814815
98,NYA,5.956790123,6.77160494,1.790123457,0.191358025,1.277777778,4.030864198,6.327160494,0.944444444,0.388888889
98,TEX,5.802469136,6.72839506,1.938271605,0.197530864,1.240740741,3.672839506,6.450617284,0.50617284,0.290123457
98,COL,5.098765432,6.716049382,2.055555556,0.222222222,1.12962963,2.895061728,5.858024691,0.413580247,0.290123457
97,TOR,4.043209877,5.370370371,1.697530864,0.25308642,0.907407407,3.00617284,7.024691358,0.827160494,0.308641975
97,CIN,4.018518519,5.851851852,1.660493827,0.166666667,0.87654321,3.197530864,6.864197531,1.172839506,0.413580247
97,PHI,4.12345679,5.858024691,1.790123457,0.216049383,0.716049383,3.203703704,6.364197531,0.567901235,0.345679012
