YR,CLUB,AVG,G,AB,ABG,R,RG,H,HG,TB,TBG,2B,2bG,3B,3BG,HR,HRG,BB,BBG,SO,SOG,SB,SBG,CS,CSG,SLG,OBP
98,ARI,0.246,162,5491,33.89506173,665,4.104938272,1353,8.351851852,2157,13.31481481,235,1.450617284,46,0.283950617,159,0.981481481,489,3.018518519,1239,7.648148148,73,0.450617284,38,0.234567901,0.393,0.314
98,FLA,0.248,162,5558,34.30864198,667,4.117283951,1381,8.524691358,2072,12.79012346,277,1.709876543,36,0.222222222,114,0.703703704,525,3.240740741,1120,6.913580247,115,0.709876543,57,0.351851852,0.373,0.317
98,MON,0.249,162,5417,33.4382716,644,3.975308642,1348,8.320987654,2133,13.16666667,280,1.728395062,32,0.197530864,147,0.907407407,439,2.709876543,1057,6.524691358,91,0.561728395,45,0.277777778,0.394,0.31
98,LA,0.252,162,5461,33.70987654,669,4.12962963,1374,8.481481481,2114,13.04938272,209,1.290123457,27,0.166666667,159,0.981481481,447,2.759259259,1057,6.524691358,137,0.845679012,53,0.327160494,0.387,0.31
98,SD,0.253,162,5490,33.88888889,749,4.62345679,1390,8.580246914,2243,13.84567901,292,1.802469136,30,0.185185185,167,1.030864198,604,3.728395062,1072,6.617283951,79,0.487654321,37,0.228395062,0.409,0.33
98,PIT,0.254,163,5493,33.6993865,650,3.987730061,1395,8.558282209,2057,12.6196319,271,1.662576687,35,0.214723926,107,0.656441718,393,2.411042945,1060,6.503067485,159,0.975460123,51,0.312883436,0.374,0.311
98,OAK,0.257,162,5490,33.88888889,803,4.956790123,1413,8.722222222,2181,13.46296296,295,1.820987654,13,0.080246914,149,0.919753086,633,3.907407407,1122,6.925925926,131,0.808641975,47,0.290123457,0.397,0.338
98,STL,0.258,163,5593,34.31288344,810,4.969325153,1444,8.858895706,2465,15.12269939,292,1.791411043,30,0.18404908,223,1.36809816,676,4.147239264,1179,7.233128834,133,0.81595092,41,0.251533742,0.441,0.341
98,NYN,0.259,162,5510,34.01234568,706,4.358024691,1425,8.796296296,2170,13.39506173,289,1.783950617,24,0.148148148,136,0.839506173,572,3.530864198,1049,6.475308642,62,0.382716049,46,0.283950617,0.394,0.33
98,MIL,0.26,162,5541,34.2037037,707,4.364197531,1439,8.882716049,2195,13.54938272,266,1.641975309,17,0.104938272,152,0.938271605,532,3.283950617,1039,6.413580247,81,0.5,59,0.364197531,0.396,0.33
98,TAM,0.261,163,5559,34.10429448,620,3.803680982,1450,8.895705521,2136,13.10429448,267,1.63803681,43,0.263803681,111,0.680981595,473,2.901840491,1109,6.803680982,120,0.736196319,73,0.447852761,0.384,0.321
98,CIN,0.262,162,5496,33.92592593,750,4.62962963,1441,8.895061728,2209,13.63580247,298,1.839506173,28,0.172839506,138,0.851851852,608,3.75308642,1107,6.833333333,95,0.586419753,42,0.259259259,0.402,0.337
98,KC,0.263,163,5543,34.00613497,715,4.386503067,1459,8.950920245,2215,13.58895706,274,1.680981595,40,0.245398773,134,0.82208589,475,2.914110429,982,6.024539877,135,0.828220859,50,0.306748466,0.4,0.325
98,CHN,0.264,163,5649,34.65644172,831,5.098159509,1494,9.165644172,2448,15.01840491,250,1.533742331,34,0.208588957,212,1.300613497,601,3.687116564,1223,7.503067485,65,0.398773006,44,0.26993865,0.433,0.337
98,DET,0.264,162,5664,34.96296296,722,4.456790123,1494,9.222222222,2353,14.52469136,306,1.888888889,29,0.179012346,165,1.018518519,455,2.808641975,1070,6.604938272,121,0.74691358,62,0.382716049,0.415,0.323
98,PHI,0.264,163,5617,34.4601227,713,4.374233129,1482,9.09202454,2218,13.60736196,286,1.754601227,36,0.220858896,126,0.773006135,508,3.116564417,1080,6.625766871,97,0.595092025,45,0.27607362,0.395,0.326
98,MIN,0.266,163,5641,34.60736196,734,4.503067485,1499,9.196319018,2193,13.45398773,285,1.748466258,32,0.196319018,115,0.705521472,506,3.104294479,915,5.613496933,112,0.687116564,54,0.331288344,0.389,0.328
98,TOR,0.266,163,5580,34.23312883,816,5.006134969,1482,9.09202454,2500,15.33742331,317,1.944785276,19,0.116564417,221,1.355828221,564,3.460122699,1132,6.944785276,184,1.128834356,81,0.496932515,0.448,0.34
98,CHA,0.271,163,5585,34.26380368,861,5.282208589,1516,9.300613497,2477,15.19631902,291,1.785276074,38,0.233128834,198,1.214723926,551,3.380368098,916,5.619631902,127,0.779141104,46,0.282208589,0.444,0.339
