PhysicalCapacity,Country
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,Canada
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,Canada
SomewhatWorse,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatWorse,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,Canada
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
SomewhatWorse,Canada
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatWorse,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,Canada
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,Canada
MuchBetter,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatWorse,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
MuchWorse,UnitedStates
SomewhatBetter,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,Canada
MuchWorse,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,UnitedStates
MuchWorse,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,Canada
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
SomewhatWorse,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,UnitedStates
SomewhatBetter,Canada
MuchBetter,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,Canada
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,UnitedStates
SomewhatWorse,Canada
SomewhatBetter,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
SomewhatWorse,Canada
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,Canada
SomewhatWorse,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,UnitedStates
MuchBetter,UnitedStates
SomewhatWorse,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
SomewhatWorse,UnitedStates
SomewhatWorse,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,UnitedStates
AboutTheSame,Canada
MuchBetter,UnitedStates
SomewhatBetter,Canada
SomewhatBetter,UnitedStates
AboutTheSame,UnitedStates
SomewhatBetter,UnitedStates
SomewhatBetter,UnitedStates
SomewhatBetter,UnitedStates
AboutTheSame,UnitedStates
MuchBetter,UnitedStates
MuchBetter,UnitedStates
