County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
Autauga County,Alabama,43671.00,17662.00,604.45,8.48,595.97,73.30,29.60
Baldwin County,Alabama,140415.00,74285.00,2026.93,430.58,1596.35,88.00,46.50
Barbour County,Alabama,29038.00,12461.00,904.52,19.61,884.90,32.80,14.10
Bibb County,Alabama,20826.00,8345.00,626.16,3.14,623.03,33.40,13.40
Blount County,Alabama,51024.00,21158.00,650.60,5.02,645.59,79.00,32.80
Bullock County,Alabama,11714.00,4727.00,626.06,1.04,625.01,18.70,7.60
Butler County,Alabama,21399.00,9957.00,777.92,1.05,776.87,27.50,12.80
Calhoun County,Alabama,112249.00,51322.00,612.32,3.86,608.46,184.50,84.30
Chambers County,Alabama,36583.00,16256.00,603.11,5.94,597.17,61.30,27.20
Cherokee County,Alabama,23988.00,14025.00,599.95,46.83,553.12,43.40,25.40
Chilton County,Alabama,39593.00,17651.00,700.76,6.78,693.98,57.10,25.40
Choctaw County,Alabama,15922.00,7839.00,920.85,7.34,913.51,17.40,8.60
Clarke County,Alabama,27867.00,12631.00,1252.51,14.13,1238.38,22.50,10.20
Clay County,Alabama,14254.00,6612.00,606.00,0.93,605.07,23.60,10.90
Cleburne County,Alabama,14123.00,6189.00,561.02,0.81,560.21,25.20,11.00
Coffee County,Alabama,43615.00,19837.00,680.48,1.49,678.99,64.20,29.20
Colbert County,Alabama,54984.00,24980.00,623.61,29.08,594.53,92.50,42.00
Conecuh County,Alabama,14089.00,7265.00,852.51,1.71,850.79,16.60,8.50
Coosa County,Alabama,12202.00,6142.00,666.36,13.91,652.44,18.70,9.40
Covington County,Alabama,37631.00,18578.00,1043.86,10.05,1033.82,36.40,18.00
Crenshaw County,Alabama,13665.00,6644.00,610.88,1.30,609.58,22.40,10.90
Cullman County,Alabama,77483.00,35233.00,754.82,16.39,738.43,104.90,47.70
Dale County,Alabama,49129.00,21779.00,562.67,1.60,561.07,87.60,38.80
Dallas County,Alabama,46365.00,20450.00,993.37,12.66,980.71,47.30,20.90
DeKalb County,Alabama,64452.00,28051.00,778.65,0.74,777.91,82.90,36.10
Elmore County,Alabama,65874.00,25733.00,657.21,35.96,621.26,106.00,41.40
Escambia County,Alabama,38440.00,16544.00,952.95,5.57,947.38,40.60,17.50
Etowah County,Alabama,103459.00,45959.00,548.75,13.93,534.82,193.40,85.90
Fayette County,Alabama,18495.00,8472.00,629.34,1.68,627.66,29.50,13.50
Franklin County,Alabama,31223.00,13749.00,646.51,10.86,635.64,49.10,21.60
