sex,Political04,Political07
Male,Conservative,Conservative
Male,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Conservative
Male,Conservative,Conservative
Female,Conservative,Conservative
Male,Middle-of-the-road,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Male,Liberal,Middle-of-the-road
Female,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Male,Conservative,Conservative
Male,Middle-of-the-road,Liberal
Female,Middle-of-the-road,Liberal
Female,Conservative,Conservative
Female,Conservative,Middle-of-the-road
Female,Middle-of-the-road,NA
Female,Conservative,NA
Female,Conservative,Conservative
Male,Middle-of-the-road,Liberal
Male,Conservative,Conservative
Male,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Conservative
Male,Conservative,Middle-of-the-road
Male,Middle-of-the-road,Conservative
Male,Conservative,Middle-of-the-road
Male,Middle-of-the-road,Liberal
Male,Conservative,Middle-of-the-road
Female,Conservative,Conservative
Female,Conservative,Liberal
Female,Conservative,Conservative
Female,Conservative,Conservative
Male,Conservative,Liberal
Female,Middle-of-the-road,Liberal
Female,Liberal,Middle-of-the-road
Male,Middle-of-the-road,Conservative
Female,Conservative,Conservative
Female,Conservative,Conservative
Male,Conservative,Middle-of-the-road
Male,Conservative,Liberal
Female,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Male,Middle-of-the-road,Liberal
Female,Conservative,Middle-of-the-road
Female,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Male,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Female,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Male,Liberal,Liberal
Female,Conservative,Conservative
Female,NA,Conservative
Female,Middle-of-the-road,NA
Female,Middle-of-the-road,Conservative
Female,Conservative,Conservative
Male,Far Right,Conservative
Female,Middle-of-the-road,Conservative
Female,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Middle-of-the-road
Male,Middle-of-the-road,Conservative
Male,Conservative,Middle-of-the-road
Male,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Middle-of-the-road
Male,Liberal,Liberal
Female,Liberal,Middle-of-the-road
Female,Middle-of-the-road,Liberal
Female,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Conservative
Female,NA,Conservative
Male,Conservative,Conservative
Male,Conservative,Conservative
Female,Middle-of-the-road,Liberal
Male,Middle-of-the-road,Conservative
Female,Middle-of-the-road,Liberal
Male,Conservative,Middle-of-the-road
Male,Far Right,Far Right
Female,NA,Middle-of-the-road
Female,Conservative,Conservative
Male,Conservative,Liberal
Male,Middle-of-the-road,Middle-of-the-road
Male,Liberal,Liberal
Male,Conservative,Conservative
Female,Conservative,Conservative
Female,Middle-of-the-road,Liberal
Female,Conservative,Liberal
Male,Middle-of-the-road,Middle-of-the-road
Male,Liberal,Liberal
Male,Liberal,Liberal
Female,Conservative,Conservative
Female,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Male,Conservative,Far Right
Male,Middle-of-the-road,Liberal
Male,Middle-of-the-road,Conservative
Male,Conservative,Liberal
Female,Middle-of-the-road,Middle-of-the-road
Male,Conservative,Middle-of-the-road
Female,Conservative,Conservative
Female,Conservative,Conservative
Male,Middle-of-the-road,Middle-of-the-road
Female,Middle-of-the-road,Liberal
Female,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Liberal
Female,Liberal,Liberal
Female,Liberal,Liberal
Female,Conservative,Liberal
Male,Conservative,Liberal
Female,Middle-of-the-road,Conservative
Male,Conservative,Conservative
Female,Conservative,Liberal
Female,Conservative,Conservative
Female,Conservative,Conservative
Female,Conservative,Middle-of-the-road
Female,Conservative,Conservative
Female,Conservative,Conservative
Female,Middle-of-the-road,Liberal
Female,Middle-of-the-road,Middle-of-the-road
Male,Conservative,Conservative
Female,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Conservative
Male,Conservative,Liberal
Female,Conservative,Middle-of-the-road
Male,Conservative,Middle-of-the-road
Male,Middle-of-the-road,Conservative
Male,Conservative,Conservative
Female,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Conservative
Female,Liberal,Liberal
Female,Liberal,Liberal
Male,Far Right,Far Right
Female,Conservative,NA
Female,Conservative,Liberal
Female,Middle-of-the-road,Middle-of-the-road
Female,Middle-of-the-road,Middle-of-the-road
Female,Liberal,Liberal
Female,Middle-of-the-road,Middle-of-the-road
Female,Liberal,Liberal
Male,Conservative,Conservative
Male,Middle-of-the-road,Middle-of-the-road
Male,Conservative,Conservative
Male,Conservative,Conservative
Male,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Conservative
Female,Liberal,Far Left
Female,Middle-of-the-road,Liberal
Male,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Male,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Middle-of-the-road
Female,NA,Conservative
Female,Conservative,Middle-of-the-road
Male,Conservative,Conservative
Male,Middle-of-the-road,Conservative
Male,Middle-of-the-road,Liberal
Female,Conservative,Conservative
Female,Conservative,Conservative
Male,Conservative,Liberal
Male,Far Right,Conservative
Female,Middle-of-the-road,Liberal
Male,Conservative,Middle-of-the-road
Female,Liberal,Liberal
Male,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Female,Middle-of-the-road,Conservative
Male,Conservative,Conservative
Male,Conservative,Conservative
Male,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Male,Middle-of-the-road,Liberal
Female,Conservative,Conservative
Female,Middle-of-the-road,Conservative
Male,Conservative,Conservative
Female,Middle-of-the-road,Middle-of-the-road
Male,Middle-of-the-road,Conservative
Male,Middle-of-the-road,Liberal
Male,Conservative,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Male,Middle-of-the-road,Conservative
Female,Middle-of-the-road,Conservative
Male,Middle-of-the-road,Middle-of-the-road
Female,Conservative,Conservative
Female,Conservative,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Female,Conservative,Liberal
Female,Liberal,Middle-of-the-road
Male,Conservative,Conservative
Female,Conservative,Conservative
Male,Far Right,Far Right
Male,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Liberal
Male,Middle-of-the-road,Conservative
Male,Far Right,Conservative
Male,Conservative,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Female,Middle-of-the-road,Liberal
Female,Middle-of-the-road,Conservative
Female,Conservative,Conservative
Female,Middle-of-the-road,Liberal
Female,Conservative,Middle-of-the-road
Female,Conservative,Middle-of-the-road
Female,Liberal,Liberal
Male,Far Right,Conservative
