CONTEST/PERIOD,PROS,DARTS,DJIA
1January-June1990,12.7,0,2.5
2February-July1990,26.4,1.8,11.5
3March-August1990,2.5,-14.3,-2.3
4April-September1990,-20,-7.2,-9.2
5May-October1990,-37.8,-16.3,-8.5
6June-November1990,-33.3,-27.4,-12.8
7July-December1990,-10.2,-22.5,-9.3
8August1990-January1991,-20.3,-37.3,-0.8
9September1990-February1991,38.9,-2.5,11
10October1990-March1991,20.2,11.2,15.8
11November1990-April1991,50.6,72.9,16.2
12December1990-May1991,66.9,16.6,17.3
13January-June1991,7.5,28.7,17.7
14February-July1991,17.5,44.8,7.6
15March-August1991,39.6,71.3,4.4
16April-September1991,15.6,2.8,3.4
17May-October1991,12.4,38,4.4
18June-November1991,3,-23.2,-3.3
19July-December1991,12.3,4.1,6.6
20August1991-January1992,39.3,-14,6.5
21September1991-February1992,51.2,11.7,8.6
22October1991-March1992,25.2,1.1,7.2
23November1991-April1992,-3.3,-3.1,10.6
24December1991-May1992,7.7,-1.4,17.6
25January-June1992,-21,7.7,3.6
26February-July1992,-13,15.4,4.2
27March-August1992,-2.5,3.6,-0.3
28April-September1992,-19.6,5.7,-0.1
29May-October1992,6.3,-5.7,-5
30June-November1992,-5.1,6.9,-2.8
31July-December1992,14.1,1.8,0.2
32August1992-January1993,15.6,-13.9,-0.8
33September1992-February1993,-26.7,15.6,2.5
34October1992-March1993,25.2,18.7,9
35November1992-April1993,-13.9,-3.6,5.8
36December1992-May1993,27.9,6.6,6.7
37January1993-June1993,-6.6,4.7,7.7
38February1993-July1993,29.1,-43,3.7
39March1993-August1993,0.3,-5.6,7.3
40April1993-September1993,2.6,-17.7,5.2
41May1993-October1993,5,-4.9,5.7
42June1993-November1993,-7.4,-21.4,4.9
43July1993-Dec.1993,2.2,42.2,8
44August1993-January1994,27.8,18.5,11.2
45September1993-February1994,3.7,1.5,5.5
46October1993-March1994,4.7,-9.2,1.6
47November1993-April1994,5.4,-10.5,0.5
48December1993-May1994,-9.5,1.4,1.3
49January-June1994,-13.1,-8.7,-6.2
50February-July1994,-10,16.9,-5.3
51March-August1994,28.4,-4.3,1.5
52April-September1994,10.6,20.6,4.4
53May-October1994,27.2,10.3,6.9
54June-November1994,37,-6.8,-0.3
55July-December1994,-15.8,5.3,3.6
56August1994-January1995,20.4,2.8,1.8
57September1994-Febuary1995,5.4,11.9,3.2
58October1994-March1995,-14.8,3.8,7.3
59November1994-April1995,12.1,1.4,12.8
60December1994-May1995,10.8,9,19.5
61January1995-June1995,72.7,11.8,16
62Febuary-July1995,30.5,16.5,19.6
63March-August1995,26.7,11.4,15.3
64April1995-September1995,75,3.3,14
65May-October1995,12.6,17.6,8.2
66June-November1995,31,23.8,13.1
67July1995-December1995,-11,18.7,9.3
68August1995-January1996,28.1,-2.4,15
69September1995-February1996,15.1,25.4,15.6
70October1995-March1996,1.5,50.5,18.4
71November1995-April1996,10.8,24.4,14.8
72December1995-May1996,2,11.5,9
73January-June1996,-9.2,-5.3,10.2
74February-July1996,-8.6,2.6,1.3
75March-August1996,31.7,-5.7,0.6
76April-September1996,8.7,7.8,5.8
77May-October1996,7,2,7.2
78June-November1996,5.1,6.2,15.1
79July-December1996,41.2,6.9,15.5
80August1996-January1997,7.7,4.7,19.6
81September1996-February1997,47.6,24.6,20.1
82October1996-March1997,-10,-16.9,9.6
83November1996-April1997,-13.6,-9.7,15.3
84December1996-May1997,10.5,-21.4,13.3
85January-June1997,20.2,18,16.2
86February-July1997,29.3,-13.9,20.8
87March-August1997,20.7,0.1,8.3
88April-September1997,50.3,35.6,20.2
89May-October1997,38.4,20.7,3
90June-November1997,-3.5,6.5,3.8
91July-December1997,-14.1,6.5,-0.7
92August1997-January1998,14.3,-9,-0.3
93September1997-February1998,10.9,-3.3,10.7
94October1997-March1998,5.5,13.3,7.6
95November1997-April1998,17.4,-10.5,22.5
96December1997-May1998,0,28.5,10.6
97January-June1998,24.4,3.2,15
98February-July1998,39.3,-10.1,7.1
99March-August1998,-18.8,-20.4,-13.1
100April-September1998,-20.1,-34.2,-11.8
