Institution ,Conference ,Division ,State ,Region
University of Akron ,Mid-American Conference ,I ,OH ,Midwest Region
Alabama A&M University ,Southwestern Athletic Conf. ,I ,AL ,South Region
Alabama State University ,Southwestern Athletic Conf. ,I ,AL ,South Region
University of Alabama at Birmingham ,Conference USA ,I ,AL ,Midwest Region
"University of Alabama, Tuscaloosa ",Southeastern Conference ,I ,AL ,South Region
University at Albany ,America East Conference ,I ,NY ,East Region
Alcorn State University ,Southwestern Athletic Conf. ,I ,MS ,South Region
American University ,Patriot League ,I ,DC ,East Region
Appalachian State University ,Southern Conference ,I ,NC ,South Region
University of Arizona ,Pacific-10 Conference ,I ,AZ ,West Region
Arizona State University ,Pacific-10 Conference ,I ,AZ ,West Region
Arkansas State University ,Sun Belt Conference ,I ,AR ,South Region
"University of Arkansas, Fayetteville ",Southeastern Conference ,I ,AR ,South Region
"University of Arkansas, Little Rock ",Sun Belt Conference ,I ,AR ,South Region
"University of Arkansas, Pine Bluff ",Southwestern Athletic Conf. ,I ,AR ,South Region
Auburn University ,Southeastern Conference ,I ,AL ,South Region
Austin Peay State University ,Ohio Valley Conference ,I ,TN ,South Region
Ball State University ,Mid-American Conference ,I ,IN ,Midwest Region
Baylor University ,Big 12 Conference ,I ,TX ,South Region
Belmont University ,Atlantic Sun Conference ,I ,TN ,South Region
Bethune-Cookman University ,Mid-Eastern Athletic Conf. ,I ,FL ,East Region
State University of New York at Binghamton ,America East Conference ,I ,NY ,East Region
Boise State University ,Western Athletic Conference ,I ,ID ,West Region
Boston College ,Atlantic Coast Conference ,I ,MA ,East Region
Boston University ,America East Conference ,I ,MA ,East Region
Bowling Green State University ,Mid-American Conference ,I ,OH ,Midwest Region
Bradley University ,Missouri Valley Conference ,I ,IL ,Midwest Region
Brigham Young University ,Mountain West Conference ,I ,UT ,West Region
Brown University ,Ivy Group ,I ,RI ,East Region
Bucknell University ,Patriot League ,I ,PA ,East Region
"University at Buffalo, the State University of New ",Mid-American Conference ,I ,NY ,Midwest Region
Butler University ,Horizon League ,I ,IN ,Midwest Region
California Polytechnic State University ,Big West Conference ,I ,CA ,West Region
"California State University, Fresno ",Western Athletic Conference ,I ,CA ,West Region
"California State University, Fullerton ",Big West Conference ,I ,CA ,West Region
"California State University, Northridge ",Big West Conference ,I ,CA ,West Region
"California State University, Sacramento ",Big Sky Conference ,I ,CA ,West Region
"University of California, Berkeley ",Pacific-10 Conference ,I ,CA ,West Region
"University of California, Davis ",Big West Conference ,I ,CA ,West Region
"University of California, Irvine ",Big West Conference ,I ,CA ,West Region
"University of California, Los Angeles ",Pacific-10 Conference ,I ,CA ,West Region
"University of California, Riverside ",Big West Conference ,I ,CA ,West Region
"University of California, Santa Barbara ",Big West Conference ,I ,CA ,West Region
Campbell University ,Atlantic Sun Conference ,I ,NC ,South Region
Canisius College ,Metro Atlantic Athletic Conference ,I ,NY ,East Region
Centenary College (Louisiana) ,The Summit League ,I ,LA ,Midwest Region
Central Connecticut State University ,Northeast Conference ,I ,CT ,East Region
University of Central Florida ,Conference USA ,I ,FL ,Midwest Region
Central Michigan University ,Mid-American Conference ,I ,MI ,Midwest Region
College of Charleston (South Carolina) ,Southern Conference ,I ,SC ,South Region
Charleston Southern University ,Big South Conference ,I ,SC ,South Region
Chicago State University ,Independent ,I ,IL ,Midwest Region
University of Cincinnati ,Big East Conference ,I ,OH ,East Region
The Citadel ,Southern Conference ,I ,SC ,South Region
Clemson University ,Atlantic Coast Conference ,I ,SC ,East Region
Cleveland State University ,Horizon League ,I ,OH ,Midwest Region
Coastal Carolina University ,Big South Conference ,I ,SC ,South Region
Colgate University ,Patriot League ,I ,NY ,East Region
"University of Colorado, Boulder ",Big 12 Conference ,I ,CO ,South Region
Colorado State University ,Mountain West Conference ,I ,CO ,West Region
Columbia University-Barnard College ,Ivy Group ,I ,NY ,East Region
University of Connecticut ,Big East Conference ,I ,CT ,East Region
Coppin State University ,Mid-Eastern Athletic Conf. ,I ,MD ,East Region
Cornell University ,Ivy Group ,I ,NY ,East Region
Creighton University ,Missouri Valley Conference ,I ,NE ,Midwest Region
Dartmouth College ,Ivy Group ,I ,NH ,East Region
Davidson College ,Southern Conference ,I ,NC ,South Region
University of Dayton ,Atlantic 10 Conference ,I ,OH ,East Region
University of Delaware ,Colonial Athletic Association ,I ,DE ,East Region
Delaware State University ,Mid-Eastern Athletic Conf. ,I ,DE ,East Region
University of Denver ,Sun Belt Conference ,I ,CO ,South Region
DePaul University ,Big East Conference ,I ,IL ,East Region
University of Detroit Mercy ,Horizon League ,I ,MI ,Midwest Region
Drake University ,Missouri Valley Conference ,I ,IA ,Midwest Region
Drexel University ,Colonial Athletic Association ,I ,PA ,East Region
Duke University ,Atlantic Coast Conference ,I ,NC ,East Region
Duquesne University ,Atlantic 10 Conference ,I ,PA ,East Region
East Carolina University ,Conference USA ,I ,NC ,Midwest Region
East Tennessee State University ,Atlantic Sun Conference ,I ,TN ,South Region
Eastern Illinois University ,Ohio Valley Conference ,I ,IL ,South Region
Eastern Kentucky University ,Ohio Valley Conference ,I ,KY ,South Region
Eastern Michigan University ,Mid-American Conference ,I ,MI ,Midwest Region
Eastern Washington University ,Big Sky Conference ,I ,WA ,West Region
Elon University ,Southern Conference ,I ,NC ,South Region
University of Evansville ,Missouri Valley Conference ,I ,IN ,Midwest Region
Fairfield University ,Metro Atlantic Athletic Conference ,I ,CT ,East Region
"Fairleigh Dickinson University, Metropolitan ",Northeast Conference ,I ,NJ ,East Region
University of Florida ,Southeastern Conference ,I ,FL ,South Region
Florida A&M University ,Mid-Eastern Athletic Conf. ,I ,FL ,East Region
Florida Atlantic University ,Sun Belt Conference ,I ,FL ,South Region
Florida International University ,Sun Belt Conference ,I ,FL ,South Region
Florida State University ,Atlantic Coast Conference ,I ,FL ,East Region
Fordham University ,Atlantic 10 Conference ,I ,NY ,East Region
Furman University ,Southern Conference ,I ,SC ,South Region
Gardner-Webb University ,Atlantic Sun Conference ,I ,NC ,South Region
George Mason University ,Colonial Athletic Association ,I ,VA ,East Region
George Washington University ,Atlantic 10 Conference ,I ,DC ,East Region
Georgetown University ,Big East Conference ,I ,DC ,East Region
University of Georgia ,Southeastern Conference ,I ,GA ,South Region
Georgia Institute of Technology ,Atlantic Coast Conference ,I ,GA ,East Region
Georgia Southern University ,Southern Conference ,I ,GA ,South Region
Georgia State University ,Colonial Athletic Association ,I ,GA ,East Region
Gonzaga University ,West Coast Conference ,I ,WA ,West Region
Grambling State University ,Southwestern Athletic Conf. ,I ,LA ,South Region
Hampton University ,Mid-Eastern Athletic Conf. ,I ,VA ,East Region
University of Hartford ,America East Conference ,I ,CT ,East Region
Harvard University ,Ivy Group ,I ,MA ,East Region
"University of Hawaii, Manoa ",Western Athletic Conference ,I ,HI ,West Region
High Point University ,Big South Conference ,I ,NC ,South Region
Hofstra University ,Colonial Athletic Association ,I ,NY ,East Region
College of the Holy Cross ,Patriot League ,I ,MA ,East Region
