Survey,Q1,Q2,Hours,Grade,Credits
1006,4,4,8.5,2.3,3
1006,3,4,8.5,2,3
1006,3,3,4.5,3.3,3
1006,3,3,4.5,3.65,3
1006,4,5,8.5,3.95,3
1006,3,2,6.5,3,3
1006,3,3,6.5,2,3
1006,5,5,6.5,3.95,3
1006,4,4,4.5,3.65,3
1006,3,3,8.5,3.65,3
1006,3,2,2.5,3.65,3
1006,2,2,4.5,2.65,3
1006,3,4,4.5,3.65,3
1006,3,3,4.5,3.3,3
1006,3,3,4.5,3.65,3
1008,4,4,12.5,3.3,3
1008,4,4,6.5,3.3,3
1008,4,4,4.5,3,3
1008,4,3,10.5,3.3,3
1008,4,4,8.5,3,3
1008,5,5,10.5,2.65,3
1008,4,3,2.5,3,3
1008,4,4,4.5,2,3
1008,4,4,10.5,3,3
1008,3,3,4.5,3,3
1008,4,4,6.5,3,3
1008,4,4,8.5,3.3,3
1008,4,4,4.5,3.65,3
1009,2,3,4.5,2.65,3
1009,3,3,6.5,3.3,3
1009,4,4,4.5,2.65,3
1009,4,4,4.5,3.3,3
1009,5,5,6.5,3.3,3
1009,3,3,16.5,3,3
1009,3,3,4.5,3.3,3
1009,4,4,6.5,3.3,3
1009,4,5,4.5,3.3,3
1009,4,4,2.5,3,3
1009,4,4,4.5,3.95,3
1009,4,4,6.5,3.65,3
1009,3,4,6.5,3.3,3
1009,4,4,4.5,3.3,3
1009,2,2,6.5,3.3,3
1009,3,3,4.5,3.95,3
1009,4,4,6.5,3.3,3
1009,3,3,6.5,3,3
1009,4,4,6.5,3.3,3
1009,3,3,12.5,3.3,3
1009,4,4,4.5,3.65,3
1009,3,2,4.5,3.3,3
1009,2,3,4.5,3.65,3
1018,5,5,6.5,3,3
1018,3,4,4.5,3.65,3
1018,3,3,4.5,3.3,3
1018,5,5,8.5,3.3,3
1018,5,5,6.5,3.65,3
1018,5,4,6.5,3.95,3
1018,5,5,8.5,3.3,3
1018,5,5,6.5,2.65,3
1018,5,5,6.5,3.65,3
1018,5,4,6.5,3.3,3
1018,3,3,6.5,3.3,3
1018,4,4,6.5,3.65,3
1018,3,3,6.5,3.3,3
1018,4,4,10.5,3.3,3
1018,4,4,6.5,2.3,3
1018,5,5,6.5,3.65,3
1018,5,5,6.5,3.65,3
1018,5,4,10.5,3.3,3
1018,4,3,6.5,3.3,3
1018,4,4,6.5,3.95,3
1018,4,4,12.5,3.65,3
1018,4,4,6.5,3.3,3
1018,5,5,6.5,3.3,3
1018,5,5,6.5,3.65,3
1018,4,3,1,3.3,3
1019,5,5,6.5,3.65,3
1019,4,4,6.5,3.65,3
1019,4,4,6.5,3,3
1019,5,5,4.5,3.65,3
1019,4,3,4.5,3.3,3
1019,3,3,4.5,3.65,3
1019,4,3,4.5,3.65,3
1019,5,5,10.5,3.95,3
1019,5,5,4.5,3.65,3
1019,5,4,8.5,3.3,3
1019,4,4,4.5,3.65,3
1019,4,4,4.5,3.65,3
1019,5,5,4.5,3.65,3
1019,4,3,4.5,3.3,3
1019,5,4,6.5,3,3
1019,4,4,4.5,3.65,3
1019,5,5,2.5,3.65,3
1019,4,3,4.5,3,3
1019,4,4,1,3,3
1019,5,5,4.5,3.95,3
1019,4,4,4.5,3.3,3
1019,5,5,8.5,3.3,3
1019,5,5,8.5,3.3,3
1019,5,5,4.5,3.95,3
1024,4,4,6.5,3.3,3
1024,5,5,4.5,3.95,3
1024,4,4,4.5,2,3
1024,4,4,4.5,3.3,3
1024,4,4,4.5,2.65,3
1024,5,4,6.5,3.65,3
1024,5,5,4.5,3.65,3
1024,4,4,2.5,3,3
1024,4,4,2.5,3.65,3
1024,3,3,4.5,3.65,3
1024,4,5,4.5,2.3,3
1024,4,3,8.5,3.65,3
1024,3,3,4.5,3.3,3
1024,4,3,4.5,3.95,3
1024,5,5,2.5,3,3
1024,5,5,4.5,3.65,3
1024,5,5,6.5,3,3
1024,4,4,6.5,3.65,3
1024,4,4,8.5,3.65,3
1024,3,4,6.5,3,3
1024,3,4,6.5,3.3,3
1024,5,4,4.5,3,3
1024,5,5,4.5,3.95,3
1024,3,3,4.5,3.65,3
1024,4,4,4.5,3.95,3
1024,5,5,NA,3.65,3
1024,3,4,4.5,3.65,3
1025,4,4,8.5,3,3
1025,5,5,4.5,3.65,3
1025,2,2,10.5,3.3,3
1025,3,4,4.5,3,3
1025,4,5,10.5,3,3
1025,4,4,2.5,3.3,3
1025,1,2,6.5,3.3,3
1025,2,2,4.5,3,3
1025,3,3,6.5,3.65,3
1025,4,4,6.5,3.65,3
1025,3,3,8.5,3.65,3
1025,5,5,6.5,3,3
1025,3,3,2.5,1.65,3
1025,3,3,12.5,2.65,3
1025,4,4,4.5,2.65,3
1025,4,4,2.5,2.65,3
1025,4,3,6.5,2,3
1025,4,4,6.5,2.3,3
1025,3,3,4.5,3,3
1025,5,5,4.5,3.65,3
1025,3,4,6.5,2.65,3
1026,4,4,4.5,3.95,3
1026,3,3,4.5,3,3
1026,5,5,8.5,3.95,3
1026,5,5,4.5,3.95,3
1026,3,3,6.5,3.65,3
1026,1,1,2.5,3.3,3
1026,5,5,4.5,3.65,3
1026,5,5,6.5,2.3,3
1026,3,3,6.5,3.65,3
1026,4,4,6.5,3.65,3
1026,5,5,6.5,3.95,3
1026,5,5,8.5,3.95,3
1026,4,3,8.5,3.65,3
1026,5,5,4.5,3.65,3
1026,3,3,4.5,3.65,3
1026,5,5,10.5,2.65,3
1028,5,5,22.5,3.95,3
1028,5,5,22.5,3.65,3
1029,3,3,10.5,3.3,3
1029,3,4,8.5,3.3,3
1029,2,2,6.5,3,3
1029,3,3,12.5,3.3,3
1029,4,4,10.5,3.3,3
1029,3,3,6.5,3.3,3
1029,5,4,14.5,3,3
1029,3,5,14.5,3.95,3
1029,5,5,6.5,3,3
1029,3,3,12.5,3.65,3
1029,4,4,12.5,3.95,3
1029,3,4,10.5,3.95,3
1029,4,4,12.5,3.95,3
1029,3,3,12.5,3.65,3
1029,3,3,10.5,3,3
1030,4,4,4.5,3.65,3
