"Name,Team",GP,PPG,FTMG,FTAG,FTM,FTA
"Kyle Korver , PHI",72,14.5,2.6,2.9,189,207
"Earl Boykins , MIL-DEN",58,14.6,3.4,3.8,197,218
"Ray Allen , SEA",55,26.4,5.1,5.6,279,309
"Matt Carroll , CHA",71,12.2,2.6,2.9,187,207
"Dirk Nowitzki , DAL",72,24.9,6.6,7.3,476,527
"Damien Wilkins , SEA",75,8.4,1.8,2,133,148
"Wally Szczerbiak , BOS",32,15,3.5,3.9,113,126
"Steve Nash , PHX",69,18.9,2.9,3.2,200,224
"Chauncey Billups , DET",65,17.2,5.7,6.4,371,419
"Jarrett Jack , POR",71,11.7,3,3.5,215,245
"Sam Cassell , LAC",53,12.6,2.9,3.3,152,174
"Ben Gordon , CHI",76,21.2,4.7,5.4,354,407
"Kobe Bryant , LAL",70,31.1,8.6,9.9,601,692
"Caron Butler , WAS",63,19.1,4.5,5.2,283,328
"Ming Yao , HOU",43,24.7,7.3,8.5,314,365
"Richard Hamilton , DET",69,20,4.9,5.7,336,391
"Manu Ginobili , SAS",70,16.5,4.2,4.9,297,346
"Rashard Lewis , SEA",53,22.3,4.5,5.3,239,279
"* Randy Foye , MIN",74,9.5,1.9,2.2,142,166
"Delonte West , BOS",66,11.9,2.4,2.8,157,184
"Maurice Williams , MIL",62,17.3,2.5,3,157,184
"Steve Francis , NYK",38,10.2,3.6,4.2,137,161
"Derek Fisher , UTA",74,10.1,3.1,3.6,227,267
"Andres Nocioni , CHI",48,14.8,2.5,2.9,118,139
"Gilbert Arenas , WAS",74,28.4,8.2,9.7,606,718
"Antonio Daniels , WAS",73,6.7,2.5,3,182,216
"Jerry Stackhouse , DAL",63,11.9,2.7,3.1,167,198
"Cuttino Mobley , LAC",72,13.9,2.6,3.1,187,222
"Kevin Garnett , MIN",73,22.8,5.6,6.7,409,487
"Kevin Martin , SAC",73,20.6,6.1,7.3,447,532
"Jamal Crawford , NYK",58,17.9,3.9,4.7,228,272
"Mike James , MIN",74,9.9,1.9,2.2,139,166
"Leandro Barbosa , PHX",73,17.8,2.4,2.9,177,212
"* Brandon Roy , POR",53,16.6,3.7,4.5,197,236
"Devin Harris , DAL",73,9.8,2.5,3.1,186,223
"Michael Redd , MIL",52,26.8,6.6,7.9,341,409
"Josh Howard , DAL",64,19.5,3.6,4.3,230,277
"Mike Bibby , SAC",74,17.4,3.8,4.6,281,339
"Ricky Davis , MIN",73,16.7,2.9,3.5,214,258
"Kirk Hinrich , CHI",74,16.7,3.1,3.7,226,273
"Chris Paul , NOK",58,17.3,4.8,5.8,279,337
"David West , NOK",45,17,3.4,4.1,153,185
"Marvin Williams , ATL",57,12.5,3.3,4,190,230
"Juwan Howard , HOU",73,9.7,2,2.4,144,175
"Corey Maggette , LAC",67,16.2,6.8,8.2,453,551
"Andre Iguodala , PHI",73,18.2,5.8,7.1,425,518
"Jameer Nelson , ORL",70,13.3,2.3,2.9,164,200
"Zach Randolph , POR",68,23.6,5.8,7.1,394,481
"T.J. Ford , TOR",68,14.3,3.3,4.1,226,277
"Dwyane Wade , MIA",46,28.8,9,11,413,506
"David Lee , NYK",56,11,2.5,3.1,141,173
"Stephen Jackson , GSW-IN68 ",68,15.1,3.3,4,222,273
"Chucky Atkins , MEM",69,12.9,3.3,4,225,277
"Ryan Gomes , BOS",65,11.7,2.5,3.1,164,202
"Jason Terry , DAL",74,17,2.1,2.6,153,189
"Luke Ridnour , SEA",70,11.1,1.8,2.2,127,157
"Gerald Green , BOS",73,9.9,1.5,1.9,113,140
"Carmelo Anthony , DEN",58,29.1,6.9,8.6,401,499
"Allen Iverson , DEN-PHI",58,26.6,7.8,9.7,453,564
"Zydrunas Ilgauskas , CLE72 ",72,11.8,2,2.5,146,182
"Carlos Arroyo , ORL",66,7.9,1.9,2.4,128,160
"Raymond Felton , CHA",72,14.1,2.7,3.4,197,247
"Shawn Marion , PHX",73,17.5,2.5,3.1,182,228
"Paul Pierce , BOS",47,25,6.8,8.6,320,402
