"females","type","lifespan","thorax","sleep"
8,"pregnant",35,.64,22
8,"pregnant",37,.68,9
8,"pregnant",49,.68,49
8,"pregnant",46,.72,1
8,"pregnant",63,.72,23
8,"pregnant",39,.76,83
8,"pregnant",46,.76,23
8,"pregnant",56,.76,15
8,"pregnant",63,.76,9
8,"pregnant",65,.76,81
8,"pregnant",56,.8,12
8,"pregnant",65,.8,15
8,"pregnant",70,.8,37
8,"pregnant",63,.84,24
8,"pregnant",65,.84,26
8,"pregnant",70,.84,17
8,"pregnant",77,.84,14
8,"pregnant",81,.84,14
8,"pregnant",86,.84,6
8,"pregnant",70,.88,25
8,"pregnant",70,.88,18
8,"pregnant",77,.92,26
8,"pregnant",77,.92,24
8,"pregnant",81,.92,29
8,"pregnant",77,.94,27
0,"none",40,.64,18
0,"none",37,.7,6
0,"none",44,.72,19
0,"none",47,.72,7
0,"none",47,.72,16
0,"none",47,.76,13
0,"none",68,.78,35
0,"none",47,.8,2
0,"none",54,.84,35
0,"none",61,.84,6
0,"none",71,.84,15
0,"none",75,.84,14
0,"none",89,.84,18
0,"none",58,.88,50
0,"none",59,.88,25
0,"none",62,.88,10
0,"none",79,.88,33
0,"none",96,.88,43
0,"none",58,.92,35
0,"none",62,.92,17
0,"none",70,.92,27
0,"none",72,.92,22
0,"none",75,.92,16
0,"none",96,.92,20
0,"none",75,.94,37
1,"pregnant",46,.64,23
1,"pregnant",42,.68,4
1,"pregnant",65,.72,20
1,"pregnant",46,.76,42
1,"pregnant",58,.76,9
1,"pregnant",42,.8,32
1,"pregnant",48,.8,66
1,"pregnant",58,.8,28
1,"pregnant",50,.82,10
1,"pregnant",80,.82,4
1,"pregnant",63,.84,12
1,"pregnant",65,.84,17
1,"pregnant",70,.84,12
1,"pregnant",70,.84,23
1,"pregnant",72,.84,40
1,"pregnant",97,.84,18
1,"pregnant",46,.88,10
1,"pregnant",56,.88,38
1,"pregnant",70,.88,7
1,"pregnant",70,.88,23
1,"pregnant",72,.88,36
1,"pregnant",76,.88,9
1,"pregnant",90,.88,21
1,"pregnant",76,.92,62
1,"pregnant",92,.92,36
1,"virgin",21,.68,23
1,"virgin",40,.68,62
1,"virgin",44,.72,28
1,"virgin",54,.76,18
1,"virgin",36,.78,10
1,"virgin",40,.8,28
1,"virgin",56,.8,22
1,"virgin",60,.8,29
1,"virgin",48,.84,15
1,"virgin",53,.84,73
1,"virgin",60,.84,10
1,"virgin",60,.84,5
1,"virgin",65,.84,13
1,"virgin",68,.84,27
1,"virgin",60,.88,20
1,"virgin",81,.88,21
1,"virgin",81,.88,12
1,"virgin",48,.9,49
1,"virgin",48,.9,17
1,"virgin",56,.9,22
1,"virgin",68,.9,71
1,"virgin",75,.9,17
1,"virgin",81,.9,10
1,"virgin",48,.92,24
1,"virgin",68,.92,18
8,"virgin",16,.64,34
8,"virgin",19,.64,6
8,"virgin",19,.68,4
8,"virgin",32,.72,22
8,"virgin",33,.72,28
8,"virgin",33,.74,31
8,"virgin",30,.76,16
8,"virgin",42,.76,27
8,"virgin",42,.76,8
8,"virgin",33,.78,32
8,"virgin",26,.8,20
8,"virgin",30,.8,35
8,"virgin",40,.82,12
8,"virgin",54,.82,14
8,"virgin",34,.84,17
8,"virgin",34,.84,29
8,"virgin",47,.84,31
8,"virgin",47,.84,6
8,"virgin",42,.88,30
8,"virgin",47,.88,27
8,"virgin",54,.88,40
8,"virgin",54,.88,19
8,"virgin",56,.88,8
8,"virgin",60,.88,8
8,"virgin",44,.92,15
