old,new
53700,137000
68500,311100
71600,310900
60700,167600
48100,122200
58100,202700
49200,129900
51900,146800
72200,266900
43100,141600
139400,623800
65700,250300
57400,187200
96000,468000
98000,502600
65000,240700
79900,332900
45000,140500
62200,291400
71700,309600
56600,138100
89400,376500
66200,249600
61200,249600
30900,80300
80100,363300
80100,338100
66100,298300
62500,204200
58900,172400
54400,197400
80600,403400
149800,665500
80000,296800
27500,64600
133200,574400
88300,230100
57900,167400
45100,142400
65600,169200
58700,283900
66900,196100
59100,146000
69800,239400
66100,229900
81000,237000
124600,521700
79800,337200
76900,340800
49500,146200
67100,144400
88000,332600
62100,256300
54900,137600
50100,144000
60000,332100
46300,144400
52200,135800
67100,244300
72500,347000
78200,366500
75700,205800
72300,312200
52500,178500
75100,292300
59200,153300
57700,262300
64900,236600
68100,296800
108200,477600
134400,555900
60000,161100
77900,321600
45800,111200
102100,402100
50800,143700
48200,117700
75600,308100
66200,185700
53500,185100
67100,325200
62200,164400
67800,325200
51300,119300
59800,183600
42700,124500
75200,319400
59700,162500
84100,193700
90700,453000
50000,176800
59200,145500
50200,150900
83000,348400
79100,343100
112700,522200
78000,315600
30900,83500
102000,450300
131100,602900
55200,190400
23000,48100
65700,235100
24100,52000
99700,305100
72400,218200
77500,343600
74500,273400
80200,418300
59900,161700
56700,140500
75700,190400
61100,247300
63900,232600
63900,147700
107500,407500
79100,315400
63800,130200
82100,328200
69800,266100
104900,613300
59600,158400
59900,240500
77300,413900
112500,567000
98600,253300
58300,167200
81100,358800
75200,258900
88500,384900
77700,332900
53600,138700
57400,164000
78100,318200
63100,296400
82900,214800
68700,270000
64600,136200
78700,318000
78100,340900
85900,344900
51100,183900
60200,246500
71500,297700
73300,309000
89700,394600
74200,269900
54300,214300
56400,143400
76200,388100
51300,146900
84500,269500
47900,138000
66100,226500
67000,236800
52200,171400
53500,171400
55300,139400
49900,180100
61100,258200
80500,313400
77500,318000
102800,375600
54400,180400
77900,289100
62600,201300
90800,405200
69400,164000
69700,253600
50000,145400
76000,197600
44300,125900
81200,373700
35200,97400
76800,339200
70000,191200
68600,156700
63900,272000
48700,154000
67900,269800
49000,147400
67400,194100
136600,515700
90200,249400
69400,278000
79500,328800
118300,500800
47100,152600
76300,215300
67200,223400
52000,155400
91300,479700
67800,306600
67100,282600
83900,296000
109100,514100
66400,214800
81000,348800
80000,277800
93400,269600
