Address,Assessed,LastPrice,LastDate,Days
2701,188600,261000,25-Aug-1993,5058
2711,144500,,,
2721,119700,,,
2731,124100,,,
2741,109900,135000,19-Aug-1994,4699
2751,128800,,,
2761,111200,,,
2775,88000,145000,16-Jun-2005,745
2700,157800,212000,17-Feb-1993,5247
2710,142800,217000,15-Sep-1999,2846
2720,137000,205000,11-Sep-2000,2484
2736,144300,199900,9-Jun-1997,3674
2756,117200,,,
2764,120000,158000,8-May-1996,4071
2776,106500,184000,24-Jun-2005,737
2837,89300,167000,12-Aug-2005,688
2845,93100,189500,10-Aug-2006,325
2853,85600,,,
2861,88200,,,
2835,82700,,,
2925,70600,135000,15-Apr-2005,807
2933,101100,,,
2941,86200,159800,15-Feb-2005,866
2830,66100,150000,23-May-2005,769
2838,94300,155000,24-May-2000,2594
2846,100800,,,
2854,85000,,,
2862,96300,,,
2922,100800,,,
2928,104400,174900,2-Jul-2003,1460
2934,79300,126000,8-Mar-1996,4132
