Age,lx,dx,Patx,Condatx,Liveatx,Pbyx,Pto70,Pto100
0,100000,813,0.0081,0.0081,1.0000,0.0081,0.67503,0.00652
1,99187,61,0.0006,0.0006,0.9919,0.0087,0.680562977,0.006573442
2,99126,43,0.0004,0.0004,0.9913,0.0092,0.680981781,0.006577487
3,99083,33,0.0003,0.0003,0.9908,0.0095,0.681277313,0.006580342
4,99051,26,0.0003,0.0003,0.9905,0.0098,0.68149741,0.006582468
5,99025,24,0.0002,0.0002,0.9902,0.0100,0.681676344,0.006584196
6,99001,21,0.0002,0.0002,0.9900,0.0102,0.681841598,0.006585792
7,98980,20,0.0002,0.0002,0.9898,0.0104,0.68198626,0.006587189
8,98960,20,0.0002,0.0002,0.9896,0.0106,0.682124091,0.006588521
9,98940,18,0.0002,0.0002,0.9894,0.0108,0.682261977,0.006589852
10,98922,19,0.0002,0.0002,0.9892,0.0110,0.682386122,0.006591052
11,98903,21,0.0002,0.0002,0.9890,0.0112,0.682517214,0.006592318
12,98882,25,0.0003,0.0003,0.9888,0.0114,0.682662163,0.006593718
13,98857,31,0.0003,0.0003,0.9886,0.0118,0.682834802,0.006595385
14,98826,42,0.0004,0.0004,0.9883,0.0122,0.683048995,0.006597454
15,98784,56,0.0006,0.0006,0.9878,0.0127,0.683339407,0.006600259
16,98728,86,0.0009,0.0009,0.9873,0.0136,0.683727008,0.006604003
17,98642,105,0.0011,0.0011,0.9864,0.0146,0.684323108,0.006609761
18,98537,134,0.0013,0.0014,0.9854,0.0160,0.685052315,0.006616804
19,98403,139,0.0014,0.0014,0.9840,0.0174,0.685985183,0.006625814
20,98264,140,0.0014,0.0014,0.9826,0.0188,0.686955548,0.006635187
21,98124,151,0.0015,0.0015,0.9812,0.0203,0.687935673,0.006644654
22,97973,146,0.0015,0.0015,0.9797,0.0217,0.688995948,0.006654895
23,97827,146,0.0015,0.0015,0.9783,0.0232,0.690024226,0.006664827
24,97681,140,0.0014,0.0014,0.9768,0.0246,0.691055579,0.006674788
