"STATE","OnePar","ReadTo","TV5Hrs","Miss3Days","NAEP"
"Alabama",36,43,28,20,252
"Arizona",31,43,18,20,255
"Arkansas",38,44,28,19,258
"California",29,45,18,18,250
"Colorado",26,56,16,23,265
"Connecticut",27,58,20,19,264
"Delaware",35,53,16,22,266
"DC",68,47,49,27,238
"Florida",36,43,25,26,256
"Georgia",35,46,26,15,257
"Hawaii",28,55,25,22,249
"Idaho",23,49,12,21,264
"Illinois",28,47,21,20,264
"Indiana",26,48,17,19,261
"Iowa",24,53,16,19,267
"Kansas",24,51,14,20,267
"Kentucky",30,52,20,15,264
"Louisiana",44,41,29,24,254
"Maine",33,64,12,21,270
"Maryland",33,51,26,24,261
"Massachusetts",29,58,15,18,274
"Michigan",31,51,20,24,261
"Minnesota",24,57,12,19,268
"Mississippi",42,38,32,23,251
"Missouri",31,47,20,19,265
"Montana",27,51,9,29,269
"Nebraska",23,49,13,19,267
"Nevada",31,43,22,24,253
"New Hampshire",26,61,13,20,270
"New Jersey",25,47,16,20,269
"New Mexico",38,43,19,26,251
"New York",34,48,25,22,265
"North Carolina",34,50,24,19,258
"North Dakota",24,47,11,19,270
"Ohio",33,51,19,19,267
"Oklahoma",34,46,22,20,260
"Oregon",29,56,13,24,263
"Pennsylvania",30,57,16,21,267
"Rhode Island",39,54,16,24,261
"South Carolina",40,47,31,19,257
"South Dakota",27,47,16,18,269
"Tennessee",34,45,25,20,259
"Texas",32,42,21,18,258
"Utah",17,47,9,24,262
"Vermont",26,68,11,18,268
"Virginia",29,51,26,20,268
"Washington",30,54,16,23,265
"West Virginia",29,54,23,23,255
"Wisconsin",28,46,16,21,266
"Wyoming",27,53,13,19,268
