,PT,CMP,ATT,PYD,YPP,TD,INT,RSH,RYD,YPR,TD
San Diego Chargers,492,286,466,3412,7.3,24,9,522,2578,4.9,32
Chicago Bears,427,282,514,3446,6.7,24,22,503,1918,3.8,14
Indianapolis Colts,427,362,557,4397,7.9,31,9,439,1762,4,17
Dallas Cowboys,425,310,506,4067,8,26,21,472,1936,4.1,21
New Orleans Saints,413,373,581,4626,8,27,13,472,1761,3.7,19
Philadelphia Eagles,398,323,544,4309,7.9,31,9,416,1984,4.8,13
New England Patriots,385,326,526,3590,6.8,25,12,499,1969,4,20
Cincinnati Bengals,373,326,523,4066,7.8,28,13,435,1629,3.7,14
Jacksonville Jaguars,371,266,446,3060,6.9,17,14,513,2541,5,23
St. Louis Rams,367,371,592,4328,7.3,24,8,424,1805,4.3,13
New York Giants,355,301,523,3244,6.2,24,18,455,2156,4.7,14
Baltimore Ravens,353,328,525,3535,6.7,21,14,476,1637,3.4,11
Pittsburgh Steelers,353,312,523,4026,7.7,23,23,469,1992,4.2,16
Seattle Seahawks,335,293,512,3369,6.6,26,22,484,1923,4,8
Kansas City Chiefs,331,272,450,3243,7.2,18,12,513,2143,4.2,17
Tennessee Titans,324,226,446,2748,6.2,13,19,469,2214,4.7,15
Denver Broncos,319,256,454,2995,6.6,20,18,488,2152,4.4,12
New York Jets,316,314,488,3352,6.9,17,16,491,1738,3.5,15
Arizona Cardinals,314,322,546,3924,7.2,17,17,419,1338,3.2,12
Washington Redskins,307,274,470,3174,6.8,19,10,490,2216,4.5,13
Detroit Lions,305,373,597,4208,7,21,22,304,1129,3.7,9
Green Bay Packers,301,350,630,3947,6.3,18,18,431,1663,3.9,9
Buffalo Bills,300,269,430,3051,7.1,19,14,420,1552,3.7,9
San Francisco 49ers,298,258,445,2890,6.5,16,16,438,2172,5,12
Atlanta Falcons,292,222,416,2682,6.5,21,15,537,2939,5.5,9
Minnesota Vikings,282,333,541,3402,6.3,13,20,442,1820,4.1,12
Carolina Panthers,270,325,539,3486,6.5,19,17,423,1659,3.9,7
Houston Texans,267,330,482,3032,6.3,14,13,431,1685,3.9,13
Miami Dolphins,260,342,590,3577,6.1,16,19,402,1673,4.2,7
Cleveland Browns,238,318,510,3247,6.4,15,25,372,1335,3.6,7
Tampa Bay Buccaneers,211,296,534,2994,5.6,14,18,404,1523,3.8,6
Oakland Raiders,168,262,483,2850,5.9,7,24,394,1519,3.9,5
