Group,Post
Basal,32
Basal,32
Basal,33
Basal,35
Basal,36
Basal,36
Basal,39
Basal,39
Basal,40
Basal,40
Basal,41
Basal,41
Basal,42
Basal,43
Basal,44
Basal,45
Basal,45
Basal,45
Basal,46
Basal,46
Basal,49
Basal,54
DRTA,30
DRTA,31
DRTA,37
DRTA,40
DRTA,41
DRTA,42
DRTA,43
DRTA,47
DRTA,48
DRTA,48
DRTA,48
DRTA,49
DRTA,49
DRTA,49
DRTA,49
DRTA,50
DRTA,53
DRTA,53
DRTA,54
DRTA,55
DRTA,55
DRTA,57
Strat,33
Strat,33
Strat,34
Strat,38
Strat,41
Strat,42
Strat,42
Strat,42
Strat,43
Strat,44
Strat,45
Strat,45
Strat,47
Strat,48
Strat,48
Strat,48
Strat,49
Strat,49
Strat,49
Strat,50
Strat,51
Strat,53
