TEAM,LG,W,L,G,R,OR,RDIFF,AB,H,DBL,TPL,HR,BB,SO,SB,CS,BA,SLG,OBA
"Anaheim","AL",92,70,162,836,734,102,5675,1603,272,37,162,450,942,143,46,.282,.429,.341
"Boston","AL",98,64,162,949,768,181,5720,1613,373,25,222,659,1189,68,30,.282,.472,.36
"Baltimore","AL",78,84,162,842,830,12,5736,1614,319,18,169,528,949,101,41,.281,.432,.345
"Cleveland","AL",80,82,162,858,857,1,5676,1565,345,29,184,606,1009,94,55,.276,.444,.351
"Detroit","AL",72,90,162,827,844,-17,5623,1531,284,54,201,518,1144,86,50,.272,.449,.337
"Seattle","AL",63,99,162,698,823,-125,5722,1544,276,20,136,492,1058,110,42,.27,.396,.331
"Oakland","AL",91,71,162,793,742,51,5728,1545,336,15,189,608,1061,47,22,.27,.433,.343
"New York","AL",101,61,162,897,808,89,5527,1483,281,20,242,670,982,84,33,.268,.458,.353
"Chicago","AL",83,79,162,865,831,34,5534,1481,284,19,242,499,1030,78,51,.268,.457,.333
"Texas","AL",89,73,162,860,794,66,5615,1492,323,34,227,500,1099,69,36,.266,.457,.329
"Minnesota","AL",92,70,162,780,715,65,5623,1494,310,24,191,513,982,116,46,.266,.431,.332
"Toronto","AL",67,94,161,719,823,-104,5531,1438,290,34,145,513,1083,58,31,.26,.403,.328
"Kansas City","AL",58,104,162,720,905,-185,5538,1432,261,29,150,461,1057,67,48,.259,.397,.322
"Tampa Bay","AL",70,91,161,714,842,-128,5483,1416,278,46,145,469,944,132,42,.258,.405,.32
"St. Louis","NL",105,57,162,855,659,196,5555,1544,319,24,214,548,1085,111,47,.278,.46,.344
"Colorado","NL",68,94,162,833,923,-90,5577,1531,331,34,202,568,1181,44,33,.275,.455,.345
"San Diego","NL",87,75,162,768,705,63,5573,1521,304,32,139,566,910,52,25,.273,.414,.342
"San Francisco","NL",91,71,162,850,770,80,5546,1500,314,33,183,705,874,43,23,.27,.438,.357
"Atlanta","NL",96,66,162,803,668,135,5570,1503,304,37,178,587,1158,86,32,.27,.434,.343
"Chicago","NL",89,73,162,789,665,124,5628,1508,308,29,235,489,1080,66,28,.268,.458,.328
"Philadelphia","NL",86,76,162,840,781,59,5643,1505,303,23,215,645,1133,100,27,.267,.443,.345
"Houston","NL",92,70,162,803,698,105,5468,1458,294,36,187,590,999,89,30,.267,.436,.342
"Florida","NL",83,79,162,718,700,18,5486,1447,275,32,148,499,968,96,43,.264,.406,.329
"Los Angeles","NL",93,69,162,761,684,77,5542,1450,226,30,203,536,1092,102,41,.262,.423,.332
"Pittsburgh","NL",72,89,161,680,744,-64,5483,1428,267,39,142,415,1066,63,40,.26,.401,.321
"Arizona","NL",51,111,162,615,899,-284,5544,1401,295,38,135,441,1022,53,32,.253,.393,.31
"Cincinnati","NL",76,86,162,750,907,-157,5518,1380,287,28,194,599,1335,77,25,.25,.418,.331
"New York","NL",71,91,162,684,731,-47,5532,1376,289,20,185,512,1159,107,23,.249,.409,.317
"Montreal","NL",67,95,162,635,769,-134,5474,1361,276,27,151,496,925,109,38,.249,.392,.313
"Milwaukee","NL",67,94,161,634,757,-123,5483,1358,295,32,135,540,1312,138,40,.248,.387,.321
