,Metropolitan Area,2004,2005,2006
10420,"Akron, OH ",116.9,120.5,114.6
10580,"Albany-Schenectady-Troy, NY",161.3,183.5,195.4
10740,"Albuquerque, NM",145.4,169.2,184.2
10900,"Allentown-Bethlehem-Easton, PA-NJ ",207.3,243.4,248.1
11100,"Amarillo, TX",97.1,107.1,114.9
31100,"Anaheim-Santa Ana, CA  (Orange Co.)",627.3,691.9,709
11540,"Appleton, WI",122.9,129.6,129.2
12060,"Atlanta-Sandy Springs-Marietta, GA ",156.9,167.2,171.8
12100,"Atlantic City, NJ",197.9,256.1,254.8
12420,"Austin-Round Rock, TX ",154.7,163.8,173.7
12580,"Baltimore-Towson, MD",217,265.3,279.9
12700,"Barnstable Town, MA",377.2,398.3,389.5
12940,"Baton Rouge, LA",127.7,146.2,169.5
13140,"Beaumont-Port Arthur, TX ",93.5,98.5,112.7
13780,"Binghamton, NY ",85.3,94.4,96.9
13820,"Birmingham-Hoover, AL ",146.6,157,165.1
13900,"Bismarck, ND",113.8,124.9,134.9
14060,"Bloomington-Normal, IL ",147.8,159.2,152.2
14260,"Boise City-Nampa, ID ",135.9,147,
14460,"Boston-Cambridge-Quincy, MA-NH**",389.7,413.2,402.2
14500,"Boulder, CO ",325.3,348.4,366.4
14860,"Bridgeport-Stamford-Norwalk, CT ",441.3,482.4,473.7
15380,"Buffalo-Niagara Falls, NY ",95,99,97.9
15940,"Canton-Massillon, OH ",115.2,102.2,109.3
15980,"Cape Coral-Fort Myers, FL",187.2,269.2,268.2
16300,"Cedar Rapids, IA",129.5,131.8,133.8
16580," Champaign-Urbana, IL ",127.2,137.7,143
16700,"Charleston-North Charleston, SC ",183.5,197,212.4
16620,"Charleston, WV",111.3,118.4,119.4
16740,"Charlotte-Gastonia-Concord, NC-SC ",168,180.9,190.6
16860,"Chattanooga, TN-GA",125.4,131.9,136
16980,"Chicago-Naperville-Joliet, IL ",240.1,264.2,273.5
17140,"Cincinnati-Middletown, OH-KY-IN ",142.5,145.9,143.2
17460,"Cleveland-Elyria-Mentor, OH ",136.4,138.9,134.4
17820,"Colordo Springs, CO",187.6,205.9,218.2
17900,"Columbia, SC",123.4,135,141.6
18140,"Columbus, OH",146.7,152,148.1
18580,"Corpus Christi, TX",112.7,125.2,131.8
19060,"Cumberland, MD-WV ",72.7,87.4,95.7
19100,"Dallas-Fort Worth-Arlington, TX ",138.2,147.6,149.5
19180,"Danville, IL ",62.2,67.7,
19340,"Davenport-Moline-Rock Island, IA-IL ",107.8,117.9,119.7
19380,"Dayton, OH ",115.8,119.7,116.7
19460,"Decatur, IL ",75.5,82.1,85.4
19660,"Deltona-Daytona Beach-Ormond Beach, FL ",148.6,192.5,205.8
19740,"Denver-Aurora, CO",239.1,247.1,249.5
19780,"Des Moines, IA",140.8,145.5,145.1
19820,"Detroit-Warren-Livonia, MI ",161,163.8,151.7
20100," Dover, DE ",150.1,180.4,208
20500,"Durham, NC ",149,,172.8
21300,"Elmira, NY ",78.8,77.1,86.8
21340,"El Paso, TX",94.7,111.8,127.6
21500,"Erie, PA ",98.6,100,101.3
21660,"Eugene-Springfield, OR",164.9,197.6,230.6
22020,"Fargo, ND-MN ",124.2,132.8,136.5
22140,"Farmington, NM ",135,155,172
23060,"Ft. Wayne, IN",96.6,102.3,99.7
23540,"Gainesville, FL",159,184,213.2
23844,"Gary-Hammond, IN",122.6,129.8,128.1
24020,"Glens Falls, NY ",129.3,153.1,161.6
24340,"Grand Rapids, MI",132.9,137.8,134.5
24580,"Green Bay, WI",143.3,154.8,151.3
24660,"Greensboro-High Point, NC ",139.8,147.8,149.4
24860,"Greenville, SC ",135.8,145.4,152
25060,"Gulfport-Biloxi, MS",113.9,131.4,145.8
25180,"Hagerstown-Martinsburg, MD-WV ",165.9,208.7,223.1
25540,"Hartford-West Hartford-East Hartford, CT",231.6,253.3,258.1
26180,"Honolulu, HI",460,590,630
26420,"Houston-Baytown-Sugar Land, TX ",136,143,149.1
26900,"Indianapolis, IN",121.7,123.8,119.3
27140,"Jackson, MS ",118.1,133.8,147.1
