ACT,GPA
20,3.3
22,3.409
27,3.224
26,3.58
24,3.263
26,3.764
28,3.103
26,3.325
31,3.807
29,3.784
29,2.94
25,3.236
26,3.638
29,3.929
21,2.93
26,3.033
28,3.58
20,3.1
30,2.674
26,3.472
23,2.403
27,3.735
20,2.995
24,3.602
30,3.344
28,2.962
32,3.99
22,3.358
27,3.795
21,2.744
27,2.919
26,3.631
30,2.624
29,2.943
23,2.513
31,3.178
24,3.319
29,3.306
30,3.947
22,2.526
28,2.984
20,2.382
25,2.968
33,3.713
31,3.239
31,3.947
29,3.727
31,3.483
34,4
35,3.981
30,3.544
26,2.481
29,3.319
27,3.222
29,3.594
22,2.896
34,3.928
24,2.566
23,3.051
29,3.308
28,3.195
26,3.137
32,3.619
21,2.208
27,3.685
26,3.136
25,2.794
27,3.646
22,2.803
33,3.616
29,3.879
28,3.384
28,3.744
22,2.559
33,3.98
29,3.764
28,3.643
25,3.409
32,3.598
31,3.811
