Group,Discoloration
Treatment,1
Treatment,1
Treatment,2
Treatment,3
Treatment,3
Treatment,3
Treatment,4
Treatment,4
Treatment,4
Treatment,5
Treatment,5
Treatment,5
Treatment,5
Treatment,5
Treatment,5
Treatment,6
Treatment,6
Treatment,6
Treatment,6
Treatment,7
Treatment,7
Treatment,8
Treatment,9
Treatment,0
Treatment,10
Control,2
Control,3
Control,3
Control,4
Control,5
Control,5
Control,6
Control,6
Control,6
Control,6
Control,6
Control,6
Control,7
Control,7
Control,7
Control,7
Control,8
Control,8
Control,8
Control,8
Control,9
Control,9
Control,9
Control,10
Control,10
