No,First,Last,Pos,Ht,HtIn,Wt,Team
2,Anthony,Wright,QB,6-1,73,211,NYG
9,Lawrence,Tynes,K,6-1,73,202,NYG
10,Eli,Manning,QB,6-4,76,225,NYG
12,Steve,Smith,WR,5-11,71,197,NYG
13,Jared,Lorenzen,QB,6-4,76,285,NYG
17,Plaxico,Burress,WR,6-5,77,232,NYG
18,Jeff,Feagles,P,6-1,73,215,NYG
22,Reuben,Droughns,RB,5-11,71,220,NYG
23,Corey,Webster,CB,6-0,72,202,NYG
25,R.W.,McQuarters,CB,5-10,70,194,NYG
26,Danny,Ware,RB,6-0,72,234,NYG
27,Brandon,Jacobs,RB,6-4,76,264,NYG
28,Gibril,Wilson,S,6-0,72,209,NYG
29,Sam,Madison,CB,5-11,71,180,NYG
31,Aaron,Ross,CB,6-0,72,193,NYG
33,Geoffrey,Pope,CB,6-0,72,186,NYG
35,Kevin,Dockery,CB,5-8,68,188,NYG
37,James,Butler,S,6-3,75,215,NYG
39,Madison,Hedgecock,RB,6-3,75,266,NYG
43,Michael,Johnson,S,6-2,74,211,NYG
44,Ahmad,Bradshaw,RB,5-9,69,198,NYG
51,Zak,DeOssie,LB,6-4,76,250,NYG
52,Torrance,Daniels,LB,6-3,75,248,NYG
53,Reggie,Torbor,LB,6-2,74,250,NYG
55,Kawika,Mitchell,LB,6-1,73,253,NYG
57,Chase,Blackburn,LB,6-3,75,247,NYG
58,Antonio,Pierce,LB,6-1,73,238,NYG
59,Gerris,Wilkinson,LB,6-3,75,231,NYG
60,Shaun,O'Hara,C,6-3,75,303,NYG
61,Adam,Koets,T,6-5,77,300,NYG
65,Grey,Ruegamer,G,6-4,76,299,NYG
66,David,Diehl,G,6-5,77,319,NYG
67,Kareem,McKenzie,T,6-6,78,327,NYG
69,Rich,Seubert,G,6-3,75,310,NYG
71,Dave,Tollefson,DE,6-4,76,263,NYG
72,Osi,Umenyiora,DE,6-3,75,261,NYG
75,Manuel,Wright,DT,6-5,77,345,NYG
76,Chris,Snee,G,6-3,75,317,NYG
77,Kevin,Boothe,G,6-5,77,315,NYG
79,Guy,Whimper,T,6-5,77,302,NYG
81,Amani,Toomer,WR,6-3,75,203,NYG
83,Sinorice,Moss,WR,5-8,68,185,NYG
85,David,Tyree,WR,6-0,72,206,NYG
86,Jerome,Collins,TE,6-4,76,267,NYG
87,Domenik,Hixon,WR,6-2,74,192,NYG
88,Michael,Matthews,TE,6-4,76,270,NYG
89,Kevin,Boss,TE,6-6,78,253,NYG
91,Justin,Tuck,DE,6-5,77,274,NYG
92,Michael,Strahan,DE,6-5,77,255,NYG
93,Jay,Alford,DT,6-3,75,304,NYG
96,Barry,Cofield,DT,6-4,76,306,NYG
98,Fred,Robbins,DT,6-4,76,317,NYG
99,Russell,Davis,DT,6-4,76,315,NYG
3,Stephen,Gostkowski,K,6-1,73,210,NE
6,Chris,Hanson,P,6-2,74,202,NE
7,Matt,Gutierrez,QB,6-4,76,230,NE
10,Jabar,Gaffney,WR,6-1,73,200,NE
12,Tom,Brady,QB,6-4,76,225,NE
15,Kelley,Washington,WR,6-3,75,215,NE
16,Matt,Cassel,QB,6-4,76,230,NE
17,Chad,Jackson,WR,6-1,73,215,NE
18,Donte',Stallworth,WR,6-0,72,200,NE
21,Randall,Gay,CB,5-11,71,190,NE
22,Asante,Samuel,CB,5-10,70,185,NE
23,Willie,Andrews,CB,5-10,70,190,NE
24,Mel,Mitchell,S,6-1,73,225,NE
26,Eugene,Wilson,S,5-10,70,195,NE
27,Ellis,Hobbs,CB,5-9,69,195,NE
28,Antwain,Spann,CB,6-0,72,190,NE
31,Brandon,Meriweather,S,5-11,71,200,NE
33,Kevin,Faulk,RB,5-8,68,202,NE
36,James,Sanders,S,5-10,70,210,NE
37,Rodney,Harrison,S,6-1,73,220,NE
38,Kyle,Eckel,RB,5-11,71,245,NE
39,Laurence,Maroney,RB,5-11,71,220,NE
41,Raymond,Ventrone,S,5-10,70,200,NE
44,Heath,Evans,RB,6-0,72,250,NE
50,Mike,Vrabel,LB,6-4,76,261,NE
52,Eric,Alexander,LB,6-2,74,240,NE
53,Larry,Izzo,LB,5-10,70,228,NE
54,Tedy,Bruschi,LB,6-1,73,247,NE
55,Junior,Seau,LB,6-3,75,250,NE
58,Pierre,Woods,LB,6-5,77,250,NE
61,Stephen,Neal,G,6-4,76,305,NE
65,Wesley,Britt,T,6-8,80,320,NE
66,Lonie,Paxton,C,6-2,74,260,NE
67,Dan,Koppen,C,6-2,74,296,NE
68,Ryan,O'Callaghan,T,6-7,79,330,NE
70,Logan,Mankins,G,6-4,76,310,NE
71,Russ,Hochstein,G,6-4,76,305,NE
72,Matt,Light,T,6-4,76,305,NE
74,Billy,Yates,G,6-2,74,305,NE
75,Vince,Wilfork,DT,6-2,74,325,NE
77,Nick,Kaczur,T,6-4,76,315,NE
80,Troy,Brown,WR,5-10,70,196,NE
81,Randy,Moss,WR,6-4,76,210,NE
82,Stephen,Spach,TE,6-4,76,250,NE
83,Wes,Welker,WR,5-9,69,185,NE
84,Benjamin,Watson,TE,6-3,75,255,NE
88,Kyle,Brady,TE,6-6,78,280,NE
90,LeKevin,Smith,DT,6-1,73,308,NE
93,Richard,Seymour,DT,6-6,78,310,NE
94,Ty,Warren,DT,6-5,77,300,NE
95,Rashad,Moore,DT,6-3,75,325,NE
96,Adalius,Thomas,LB,6-2,74,270,NE
97,Jarvis,Green,DE,6-3,75,285,NE
