gender,class,gpa,height,pulse,childrank,numchildren,haircut,randomnum,speedtickets,cds,smoker,hourssleep,selfhandedness,momhandedness,dadhandedness,region,oncampus,cupscoffee,birthday,overtwenty
F,So,3.6,,,2,3,2,6,0,15,Non,8,R,L,R,Suburban,Y,1,Th,Y
F,So,3.4,,,4,4,10,7,0,10,Non,8,R,R,R,Rural,Y,0,Fr,N
M,Fr,3.0,71,68,2,4,0.00,17,2,53,Non,5.5,R,R,R,Suburban,Y,0,Th,N
M,So,2.6,72,100,2,1,15,3,3,170,Smoke,7,L,R,R,Suburban,Y,2,We,Y
M,So,2.2,68,101,4,3,11,13,0,55,Smoke,8,R,R,R,Suburban,Y,0,Mo,N
M,So,2.4,72,74,2,2,9.99,11,0,101,Non,6,R,R,R,Suburban,Y,0,Th,N
M,Fr,2.987,70,,1,4,10,17,1,,Smoke,8,R,R,R,Suburban,Y,0,Mo,N
M,Fr,2.75,74,,3,3,10,18,0,,Non,7,R,R,L,Rural,Y,0,Mo,N
F,Fr,2.75,68,,3,3,20,14,0,,Non,7,R,R,L,Rural,Y,0,Th,N
F,Fr,3.22,67,72,3,3,0,11,0,30,Non,10,R,R,L,Suburban,Y,0,We,N
F,Fr,2.30,67,110,2,3,0,7,0,22,Non,8,L,R,R,Suburban,Y,1,Tu,Y
M,Ju,3.8,74,60,4,6,15,12,1,15,Non,7,L,R,R,Suburban,Y,0,Tu,Y
M,So,3.1,74,72,1,2,20,19,2,50,Non,7.5,R,R,R,Suburban,Y,1,Mo,Y
F,So,4.0,68,51,4,1,55,3,0,25,Non,7,R,R,R,Suburban,Y,0,Sa,Y
F,So,3.4,68,68,4,4,12,32,1,47,Non,8.5,R,R,R,Rural,Y,0,We,Y
F,So,3.0,68,80,3,3,12,18,0,29,Non,7,R,R,R,Suburban,Y,0,We,Y
M,So,3.5,69,59,1,2,8,17,0,75,Non,7,R,R,R,Suburban,Y,0,Mo,N
M,Fr,3.9,72,65,1,2,15,12,0,52,Non,6,R,R,R,Suburban,Y,0,Su,N
M,Sr,3.5,78,144,1,2,13,4,2,40,Non,7,R,R,R,Suburban,N,0,Tu,Y
F,Ju,3.8,66,120,4,6,60,10,0,10,Non,8,R,R,R,Rural,N,0,Mo,Y
M,So,2.4,65,72,2,3,0,54,0,10,Non,,R,R,R,Suburban,Y,0,Tu,Y
M,Ju,2.8,72,64,5,5,12,18,0,8,Non,8,R,R,L,Suburban,N,0,Mo,Y
M,Ju,3.8,72,68,4,1,0,1,2,15,Non,6.5,R,R,R,Rural,N,0,Mo,Y
F,So,3.872,69,72,1,3,5.00,9,0,30,Non,7.5,R,R,R,Suburban,Y,0,We,N
M,So,3.63,71,76,1,3,0.00,14,0,240,Non,8,R,R,R,Suburban,Y,0,Su,Y
F,Ju,3.1,70,66,1,2,25,16,0,20,Non,6,R,R,L,Suburban,N,0,Tu,Y
F,Sr,3.8,69,68,1,2,35,14,2,50,Non,8.5,R,R,R,Suburban,N,0,Th,Y
M,Sr,2.7,67,102,3,4,12,10,1,65,Non,9,R,L,R,Suburban,N,0,We,Y
M,So,3.33,70,,1,2,11,8,0,100,Non,5.5,R,R,R,Suburban,Y,0,Th,N
