Pitcher(s),Inter-arrival Time
Christy Mathewson,537
Jimmy Callahan,1614
Chick Fraser,1102
Cy Young,208
Jesse Tannehill,685
Christy Mathewson,815
Weldon Henley,60
Frank Smith,544
Bill Dinneen,162
John Lush,215
Mal Eason,326
Frank Pfeffer,930
Nick Maddox,967
Cy Young,620
Hooks Wiltse,30
Nap Rucker,451
Dusty Rhoades,108
Frank Smith,21
Addie Joss,92
Addie Joss,1314
Chief Bender,125
Smokey Joe Wood,1756
Ed Walsh,276
George Mullin,746
Earl Hamilton,431
Jeff Tesreau,92
Joe Benz,1931
George Davis,586
Rube Marquard,260
Jimmy Lavender,944
Tom Hughes,671
Rube Foster,27
Joe Bush,522
Hub Leonard,29
Ed Cicotte,292
George Mogridge,63
Fred Toney,37
Ernie Koob,16
Bob Groom,3
Babe Ruth (0),309
Hub Leonard,1107
Hod Eller,1109
Ray Caldwell,893
Walter Johnson,638
Charlie Robertson,2072
Jesse Barnes,40
Sam Jones,2088
Howard Ehmke,13
Jesse Haines,877
Dazzy Vance,1662
Ted Lyons,1081
Carl Hubbell,2880
Wes Ferrell,2427
Bob Burke,748
Paul Dean,4009
Vern Kennedy,1065
Bill Dietrich,1754
Johnny Vander Meer,1316
Johnny Vander Meer,25
Monte Pearson,605
Bob Feller,1474
Tex Carleton,66
Lon Warneke,2175
Jim Tobin,2740
Clyde Shoun,126
Dick Fowler,2143
Ed Head,205
Bob Feller,44
Ewell Blackwell,1567
Don Black,166
Bill McCahan,465
Bob Lemon,695
Rex Barney,553
Vern Bickford,2257
Cliff Chambers,535
Bob Feller,400
Allie Reynolds,74
Allie Reynolds,612
Virgil Trucks,221
Carl Erskine,252
Virgil Trucks,534
Bobo Holloman,389
Jim Wilson,1520
Sam Jones,1023
Carl Erskine,1187
Mel Parnell,475
Sal Maglie,572
Bob Keegan,979
Jim Bunning,989
Hoyt Wilhelm,482
Don Cardwell,1477
Lew Burdette,720
Warren Spahn,225
Warren Spahn,216
Bo Belinsky,1527
Earl Wilson,501
Sandy Koufax,39
Bill Monbouquette,295
Jack Kralick,263
Sandy Koufax,594
Don Nottebart,56
Juan Marichal,266
Ken Johnson,1086
Sandy Koufax,386
Jim Bunning,171
Jim Maloney,2208
Sandy Koufax,210
Dave Morehead,58
Sonny Siebert,666
Steve Barber (8 2/3),1243
Don Wilson,458
Dean Chance,795
Joel Horlen,631
Tom Phoebus,323
Catfish Hunter,108
George Culver,769
Gaylord Perry,511
Ray Washburn,10
Bill Stoneman,193
Jim Maloney,135
Don Wilson,13
Jim Palmer,1132
Ken Holtzman,59
Bob Moose,378
Dock Ellis,800
Clyde Wright,240
Bill Singer,187
Vida Blue,735
Ken Holtzman,710
Rick Wise,220
Bob Gibson,605
Burt Hooton,530
Milt Pappas,1489
Bill Stoneman,328
Steve Busby,227
Nolan Ryan,181
Nolan Ryan,701
Jim Bibby,156
Phil Niekro,78
Steve Busby,1386
Dick Bosman,356
Nolan Ryan,780
Nolan Ryan,592
Ed Halicki,990
"Vida Blue (5),",393
Larry Dierker,969
John Odom (5),208
John Candelaria,152
John Montefusco,575
Jim Colborn,438
Dennis Eckersley,180
Bert Blyleven,1406
Bob Forsch,225
Tom Seaver,681
Ken Forsch,1338
Jerry Reuss,2967
Charlie Lea,1559
Len Barker,52
Nolan Ryan,176
Dave Righetti,3937
Bob Forsch,1022
Mike Warren,35
Jack Morris,88
Mike Witt,2054
Joe Cowley,4029
Mike Scott,62
Juan Nieves,225
Tom Browning,1896
Mark Langston (7),2329
Randy Johnson,593
Nolan Ryan,112
Dave Stewart,213
Fernando Valenzuela,1
Terry Mulholland,561
Dave Stieb,214
Nolan Ryan,643
Tommy Greene,242
"Bob Milacki (6),",581
Dennis Martinez,175
Wilson Alvarez,167
Bret Saberhagen,190
"Kent Mercker (6),",240
Kevin Gross,1784
Chris Bosio,771
Jim Abbott,1695
Darryl Kile,52
Kent Mercker,370
Scott Erickson,233
Kenny Rogers,1132
Ramon Martinez,1169
Al Leiter,1526
Dwight Gooden,37
Hideo Nomo,1579
Kevin Brown,1014
Francisco Cordova (9),380
David Wells,1654
Jose Jimenez,2884
David Cone,285
Eric Milton,765
Hideo Nomo,2762
A.J. Burnett,499
Bud Smith,1525
Derrick Lowe,820
Kevin Millwood,2345
Oswalt and 5 Astros,588
Randy Johnson,2043
