Sec,Write,Spoon,Fold,Sex,Class,Sleep,Cash,Color,SorQ,Speed,Width,SheetCol,SheetSorQ
D,R,R,L,F,J,7,16,G,Q,95,8,G,S
D,L,L,L,F,F,7,10,B,S,90,8,G,S
D,R,R,L,F,S,7,0,B,S,80,8,G,S
D,R,R,L,M,J,8,0,G,,90,10,G,S
D,L,L,L,M,S,6,0,G,S,112,10,G,S
D,R,R,L,F,S,6.5,0,G,Q,95,7,G,S
D,R,R,R,F,J,7,10,G,S,85,7,P,S
D,R,L,R,M,S,6,0,B,Q,100,9,P,S
D,R,R,L,M,J,6.5,2,G,S,140,8,P,S
D,R,R,R,F,F,8,20,B,Q,110,8.5,P,S
D,R,R,R,F,S,6.5,0,R,S,120,9,P,S
D,R,R,L,F,F,6.5,4,G,Q,95,8,B,S
D,R,R,L,F,O,4,40,G,Q,85,7,P,S
D,R,R,R,M,J,4.5,13,B,S,112,9,B,S
D,R,R,L,M,R,8,74,B,Q,90,8,B,S
D,R,R,L,M,J,7,0,G,Q,110,9,B,S
D,R,R,L,M,S,6.5,8,G,Q,95,10,B,S
D,R,R,L,M,S,6.5,0,B,S,105,9,G,Q
D,R,R,R,M,S,8,6,B,S,110,9.5,G,Q
D,R,R,R,F,S,5.5,10,G,S,90,8.5,G,Q
D,R,R,L,F,S,6.5,0,G,Q,95,7.5,G,Q
D,R,L,L,F,F,8.5,18,B,S,95,8.5,G,Q
D,R,R,R,M,S,6.5,57,B,Q,143,8,G,Q
D,R,R,R,M,J,7,31,G,S,85,9,P,Q
D,R,R,L,M,J,20,35,B,S,120,8,P,Q
D,R,R,L,F,S,7,0,R,Q,120,8,P,Q
D,R,R,R,F,R,7,0,G,S,98,8.5,P,Q
D,L,L,L,F,F,8,0,R,S,85,7.5,P,Q
D,R,R,R,M,S,6,40,B,S,80,8,B,Q
D,R,R,L,M,S,7,7,R,Q,130,10,B,Q
D,R,R,L,M,S,8,0,B,S,97,9,B,Q
D,R,R,L,M,S,8,22,B,S,95,10,B,Q
D,R,R,L,M,F,4.5,110,B,S,95,8,B,Q
E,R,R,L,F,J,8.5,0,G,Q,80,8,B,Q
E,R,R,L,F,S,7.5,30,B,Q,80,8,B,Q
E,R,R,R,F,R,7,0,B,Q,80,7.5,B,Q
E,L,L,L,M,S,5.5,0,B,Q,140,9.5,B,Q
E,R,R,L,M,S,8.5,0,G,S,115,9,B,Q
E,R,R,L,M,S,7.5,24,B,S,128,9,B,Q
E,R,R,R,F,J,5.5,25,G,S,90,7.5,P,Q
E,R,R,R,F,R,7.5,0,B,S,100,7.5,P,Q
E,R,R,L,F,J,7,1,R,S,85,8,P,Q
E,R,R,L,F,R,7,5,R,S,117,7,P,Q
E,R,R,R,F,S,6,0,B,S,75,9,P,Q
E,R,R,L,F,R,6,0,B,Q,110,7.5,P,Q
E,R,R,L,F,F,6,27,B,S,0,7.5,G,Q
E,R,R,L,M,S,8,20,G,S,100,9,G,Q
E,R,R,R,M,J,8,2,B,S,120,16,G,Q
E,R,R,L,M,R,7,48,B,Q,110,10,G,Q
E,R,R,R,F,S,7,0,R,Q,83,8,G,Q
E,R,R,L,F,F,7,0,B,S,85,8,G,Q
E,R,R,R,F,J,6.5,4,B,S,90,9,B,S
E,R,R,L,M,F,7,108,B,S,85,9,B,S
E,R,R,L,M,J,7.5,1,R,Q,125,9,B,S
E,R,R,R,F,F,6,0,G,Q,120,7,B,S
E,R,R,R,F,R,4.5,0,G,S,100,7,B,S
E,L,L,R,F,J,9,0,G,Q,80,8,B,S
E,R,R,L,F,S,6.5,1,G,S,93,7,P,S
E,R,R,R,F,J,7,100,G,S,10,8,P,S
E,R,R,L,F,R,7.5,23,B,Q,97,8,P,S
E,R,R,R,F,S,8.5,15,R,S,85,9,P,S
E,R,R,R,F,J,8,100,B,S,120,7.5,P,S
E,L,L,R,F,J,7.5,28,G,Q,85,8,P,S
E,R,R,L,M,R,7.5,0,R,S,129,9.5,G,S
E,R,R,L,M,R,6.5,44,G,S,95,9.5,G,S
E,R,R,L,F,J,7.5,0,R,S,90,7,G,S
E,L,L,L,M,R,6.5,8,G,S,95,9,G,S
E,R,R,R,F,F,6,18,B,S,80,8,G,S
243,R,R,R,F,R,6.5,16,G,S,80,8,,S
243,R,R,R,F,F,8,0,B,Q,90,9,,S
243,R,R,L,F,R,7.5,0,R,Q,75,8,,S
243,R,R,L,F,J,7.5,2,G,Q,79,8,,Q
243,R,R,L,M,R,8,51,B,S,110,10,,Q
243,R,R,L,F,F,7.5,0,B,Q,75,9,,Q
243,L,L,R,M,J,7,33,R,Q,80,9,,Q
243,R,R,R,M,J,4.5,200,G,S,110,10,,S
243,R,R,L,M,S,7.5,5,B,Q,75,9,,Q
243,R,R,R,M,J,5,80,R,Q,97,9,,Q
243,R,R,R,M,J,7,38,B,S,103,10,,S
243,L,L,R,M,J,6,12,B,Q,123,9,,S
243,R,R,R,M,J,6,1,B,S,112,9,,Q
243,R,R,L,M,J,7,20,B,S,80,8,,S
243,R,R,R,M,R,6,43,G,Q,170,11,,S
243,R,R,L,M,J,5.5,94,B,Q,80,9,,S
243,L,R,L,M,J,5,3,B,S,85,9,,Q
243,R,R,R,F,J,7,0,B,Q,80,9,,Q
243,R,R,L,F,S,6,0,B,S,94,7,,S
G,R,R,L,M,S,6,20,B,S,82,9,,Q
G,R,R,L,M,F,7,0,B,S,100,9,,Q
G,R,R,L,F,F,4,53,B,S,65,8,,Q
G,R,R,L,M,S,8,327,B,Q,100,9,,S
G,L,L,R,F,F,7,1,G,Q,90,9,,Q
G,R,R,R,M,F,6,34,B,S,115,9,,S
G,R,R,L,M,F,6.5,15,G,S,100,10, ,S
G,R,R,R,M,F,6,150,R,Q,110,9,,Q
G,R,R,L,F,S,6.5,0,G,S,85,8,,S
G,R,R,L,F,S,5.5,23,R,Q,0,8,,Q
G,R,R,L,F,F,7.5,0,R,S,85,9,,S
G,R,R,R,F,J,7.5,8,G,Q,95,9,,Q
G,R,R,L,F,S,5.5,63,G,S,80,8,,Q
G,R,R,L,F,S,3,0,R,S,107,8,,S
G,R,R,R,M,S,6.5,0,B,S,110,10,,S
G,R,R,L,M,J,10,8,R,Q,85,9,,Q
G,R,R,L,F,F,7,0,B,S,92,8,,S
G,L,L,R,M,S,5,0,G,Q,135,11,,Q
G,R,R,L,M,F,6,27,B,Q,150,9,,S
G,R,R,L,M,R,7.5,4,R,Q,97,10,,S
G,R,R,R,F,S,7,0,G,Q,90,9,,Q
G,R,R,L,M,S,8.5,14,G,Q,115,10,,Q
G,R,R,L,F,F,7,0,B,Q,85,8,,S
