section,form,citizenship,states,seePlay?,surprise?,program,january,firstLetter
D,B,US,40,Y,N,B,D,Y
D,B,US,35,N,N,B,D,Y
D,B,US,23,N,N,B,D,Y
D,B,US,14,N,S,B,D,Y
B,A,US,15,N,S,A,A,N
B,B,US,18,Y,N,A,D,Y
B,B,Other,14,Y,N,B,A,Y
B,A,US,9,Y,S,B,A,N
D,B,US,29,N,N,A,D,Y
D,B,US,23,N,N,B,A,N
B,A,US,21,N,N,A,A,Y
D,A,US,11,Y,N,B,A,Y
D,B,US,20,Y,S,B,D,Y
B,A,US,23,N,N,A,A,Y
B,B,US,32,N,N,A,D,Y
B,B,US,27,Y,N,B,D,Y
D,B,US,22,Y,N,A,D,Y
B,B,US,19,N,N,B,D,Y
D,B,US,18,N,N,B,D,N
B,A,US,25,Y,S,B,D,Y
D,A,US,17,N,N,A,A,N
D,A,US,23,Y,N,A,A,Y
D,B,US,24,N,N,A,D,Y
D,A,US,10,Y,N,A,A,Y
D,B,US,31,N,N,A,D,N
B,A,US,23,Y,N,B,A,N
D,A,US,24,Y,N,A,A,Y
B,A,US,13,Y,N,B,A,N
D,A,US,31,Y,N,B,A,Y
D,B,US,44,N,N,A,D,Y
D,A,US,25,Y,S,A,A,N
D,A,US,38,N,N,A,A,N
B,B,Other,4,Y,S,B,D,Y
B,B,US,23,Y,S,B,D,N
B,B,US,19,N,N,B,D,N
D,A,US,28,Y,S,A,A,Y
D,B,US,22,Y,N,B,D,N
D,B,US,33,N,N,A,D,Y
D,B,US,23,N,N,A,D,Y
B,A,US,16,Y,S,A,A,Y
B,A,US,25,N,N,B,A,Y
B,B,US,38,N,S,B,D,Y
D,A,US,38,N,N,A,A,Y
B,A,US,21,N,N,A,A,Y
B,A,US,29,N,N,A,A,Y
D,A,Other,7,Y,S,B,A,Y
B,B,US,31,Y,N,A,D,N
B,A,US,13,Y,N,B,A,Y
D,A,US,34,Y,S,B,D,Y
D,A,US,23,Y,N,A,A,Y
D,B,US,10,Y,N,B,D,Y
