mph,calories,incline,ind_slow
1.5,174,0,1
1.5,207,2,1
1.5,240,4,1
2.0,205,0,1
2.0,249,2,1
2.0,294,4,1
2.5,236,0,1
2.5,291,2,1
2.5,347,4,1
3.0,267,0,1
3.0,333,2,1
3.0,400,4,1
3.5,372,0,0
3.5,436,2,0
3.5,503,4,0
4.0,482,0,0
4.0,542,2,0
4.0,607,4,0
4.5,592,0,0
4.5,649,2,0
4.5,709,4,0
5.0,701,0,0
5.0,756,2,0
5.0,812,4,0
5.5,763,0,0
5.5,824,2,0
5.5,885,4,0
6.0,825,0,0
6.0,892,2,0
6.0,959,4,0
6.5,887,0,0
6.5,960,2,0
6.5,1032,4,0
7.0,949,0,0
7.0,1027,2,0
7.0,1105,4,0
7.5,1011,0,0
7.5,1094,2,0
7.5,1178,4,0
8.0,1073,0,0
8.0,1163,2,0
8.0,1252,4,0
8.5,1135,0,0
8.5,1230,2,0
8.5,1325,4,0
9.0,1197,0,0
9.0,1298,2,0
9.0,1398,4,0
9.5,1259,0,0
9.5,1365,2,0
9.5,1470,4,0
10.0,1321,0,0
10.0,1433,2,0
10.0,1544,4,0
